pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FC,2024-04-15,89.6,-1.52,5.03,"Chavez, Jesse",643289,445926,field_out,hit_into_play,,,,,14,"Mauricio Dubón grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,R,R,HOU,ATL,X,4,ground_ball,3,2,2024,-0.02,1.29,1.330878472991227,2.224524438602823,,676801,,2,9,Bot,147.96,150.06,,,,,7.123467364667351,-130.1938146047996,-3.634659548640545,-1.8367731271376888,29.46677151503665,-16.94391691357142,3.24,1.54,30,84.9,-2,89.9,2380,6.7,746406,518595,621566,645277,663586,606115,594807,671739,660670,53.76,0.197,0.236,0.0,1,0,0,2,80,8,Cutter,1,6,1,6,6,1,1,6,Standard,Standard,207,-0.002,-0.297,63.5,8.2,0.216,0.297,88.0,-5,-5,0.002,0.002,40,29,41,30,1,3,2,1,2,1,1.57,0.02,0.02,22.4,6.753828406241287,10.720101003397176,20.47156849692517,55.31797689448537,25.5398130516242,mauricio dubón,jesse chavez
FC,2024-04-15,89.4,-1.48,5.06,"Chavez, Jesse",643289,445926,,foul,,,,,14,Foul,R,R,R,HOU,ATL,S,,,3,2,2024,-0.21,1.13,1.566814456661431,1.1965613420707366,,676801,,2,9,Bot,,,,,,,7.985914881770426,-129.76768910757252,-5.848981539683887,-4.147850595582842,29.284501615022045,-18.32468107648743,3.24,1.54,14,33.1,1,89.6,2259,6.7,746406,518595,621566,645277,663586,606115,594807,671739,660670,53.77,,,,,,,,80,7,Cutter,1,6,1,6,6,1,1,6,Standard,Standard,218,0.0,0.0,62.5,8.6,,0.0,88.0,-5,-5,0.002,0.002,40,29,41,30,1,3,2,1,2,1,1.75,0.21,0.21,20.6,6.558607030174996,1.6912061693881149,29.02046418769369,56.7296827523394,26.47150177030534,mauricio dubón,jesse chavez
FC,2024-04-15,89.0,-1.66,5.02,"Chavez, Jesse",643289,445926,,foul,,,,,7,Foul,R,R,R,HOU,ATL,S,,,3,2,2024,-0.45,1.32,-0.3086336369168194,2.002723146742385,,676801,,2,9,Bot,,,,,,,4.261620977847104,-129.53754359435015,-4.101813119669428,-5.9820592313131895,28.965416722525056,-16.692477790500824,3.24,1.54,4,91.8,-29,88.7,2249,6.3,746406,518595,621566,645277,663586,606115,594807,671739,660670,54.24,,,,,,,,80,6,Cutter,1,6,1,6,6,1,1,6,Standard,Standard,212,0.0,0.0,71.0,8.1,,0.0,91.8,-5,-5,0.002,0.002,40,29,41,30,1,3,2,1,2,1,1.57,0.45,0.45,27.7,20.463805275514492,-13.760598082663709,33.49643635023866,35.8570651984019,37.56755192445699,mauricio dubón,jesse chavez
SI,2024-04-15,90.8,-1.51,5.11,"Chavez, Jesse",643289,445926,,called_strike,,,,,14,Called Strike,R,R,R,HOU,ATL,S,,,3,1,2024,-1.42,0.71,0.9114168314746988,1.836525518009519,,676801,,2,9,Bot,,,,,,,9.1424723986979,-131.88989979793928,-3.774910239015429,-18.565053729494647,29.339881039849622,-23.225579745638548,3.03,1.44,,,,91.0,2016,6.6,746406,518595,621566,645277,663586,606115,594807,671739,660670,53.87,,,,,,,,80,5,Sinker,1,6,1,6,6,1,1,6,Standard,Standard,226,-0.001,-0.059,,,,0.059,,-5,-5,0.003,0.003,40,29,41,30,1,3,2,1,2,1,2.07,1.42,1.42,25.7,,,,,,mauricio dubón,jesse chavez
FC,2024-04-15,88.9,-1.54,5.03,"Chavez, Jesse",643289,445926,,ball,,,,,12,Ball,R,R,R,HOU,ATL,B,,,2,1,2024,-0.31,1.28,1.252455415160967,2.8179066697603994,,676801,,2,9,Bot,,,,,,,7.536346712078017,-129.34911770585722,-2.0856229261869887,-5.052258048712361,27.107593538820456,-17.52044347005213,3.03,1.37,,,,89.3,2246,6.5,746406,518595,621566,645277,663586,606115,594807,671739,660670,53.96,,,,,,,,80,4,Cutter,1,6,1,6,6,1,1,6,Standard,Standard,213,0.001,0.045,,,,-0.045,,-5,-5,0.002,0.002,40,29,41,30,1,3,2,1,2,1,1.6,0.31,0.31,27.3,,,,,,mauricio dubón,jesse chavez
CU,2024-04-15,75.8,-1.34,5.39,"Chavez, Jesse",643289,445926,,ball,,,,,14,Ball,R,R,R,HOU,ATL,B,,,1,1,2024,1.29,-0.73,2.5930441982896197,-0.0264900156736809,,676801,,2,9,Bot,,,,,,,5.942195412345194,-110.09234037372632,-2.7735048695776103,9.105443849550433,23.374169241200164,-37.70945626874307,2.99,1.3,,,,75.8,2597,6.8,746406,518595,621566,645277,663586,606115,594807,671739,660670,53.66,,,,,,,,80,3,Curveball,1,6,1,6,6,1,1,6,Standard,Standard,49,0.0,0.039,,,,-0.039,,-5,-5,0.002,0.002,40,29,41,30,1,3,2,1,2,1,4.78,-1.29,-1.29,37.7,,,,,,mauricio dubón,jesse chavez
FC,2024-04-15,89.0,-1.55,5.03,"Chavez, Jesse",643289,445926,,foul,,,,,9,Foul,R,R,R,HOU,ATL,S,,,1,0,2024,-0.13,1.01,0.3620746520505197,1.982336461419236,,676801,,2,9,Bot,,,,,,,4.969068437706971,-129.48114661989206,-3.5551596151272467,-2.568287881307382,27.4699123087337,-20.226949140824424,3.24,1.54,168,73.2,22,89.0,2227,6.3,746406,518595,621566,645277,663586,606115,594807,671739,660670,54.18,,,,,,,,80,2,Cutter,1,6,1,6,6,1,1,6,Standard,Standard,214,0.0,-0.043,69.6,8.1,,0.043,88.0,-5,-5,0.002,0.002,40,29,41,30,1,3,2,1,2,1,1.87,0.13,0.13,21.0,7.761436251138665,-1.7714714613018565,35.190634812555864,42.96325804786481,23.515974401812088,mauricio dubón,jesse chavez
SI,2024-04-15,91.1,-1.34,5.21,"Chavez, Jesse",643289,445926,,ball,,,,,11,Ball,R,R,R,HOU,ATL,B,,,0,0,2024,-1.41,0.73,-0.8436244322557829,3.417882099390772,,676801,,2,9,Bot,,,,,,,4.294745111127296,-132.59208780289717,-0.1446424604800189,-17.54017600286774,29.88572985438485,-23.776331669723398,3.03,1.51,,,,91.1,2016,6.4,746406,518595,621566,645277,663586,606115,594807,671739,660670,54.12,,,,,,,,80,1,Sinker,1,6,1,6,6,1,1,6,Standard,Standard,228,0.0,0.014,,,,-0.014,,-5,-5,0.002,0.002,40,29,41,30,1,3,2,1,2,1,2.03,1.41,1.41,22.4,,,,,,mauricio dubón,jesse chavez
FC,2024-04-15,88.1,-1.58,5.11,"Chavez, Jesse",547989,445926,strikeout,swinging_strike,,,,,5,José Abreu strikes out swinging.,R,R,R,HOU,ATL,S,2,,3,2,2024,0.2,1.01,-0.1275823293393512,2.3240718037380588,,676801,,1,9,Bot,,,,,,,3.1264223431662943,-128.25379869708274,-2.7513469253855045,1.5291105677756898,27.876144817980244,-20.65581574706785,3.39,1.58,,,,88.1,2218,6.4,746406,518595,621566,645277,663586,606115,594807,671739,660670,54.09,,0.0,0.0,1,0,0,,79,10,Cutter,1,6,1,6,6,1,1,6,Standard,Strategic,209,-0.008,-0.291,77.0,7.2,,0.291,,-5,-5,0.01,0.01,40,37,41,37,1,3,2,1,2,2,1.93,-0.2,-0.2,23.0,5.431871781755982,-6.228733073108796,35.571530112244645,39.20754047402097,32.72174761526141,josé abreu,jesse chavez
SI,2024-04-15,90.9,-1.38,5.17,"Chavez, Jesse",547989,445926,,foul,,,,,12,Foul,R,R,R,HOU,ATL,S,,,3,2,2024,-1.4,0.86,0.9246467946976736,3.1013066517044114,,676801,,1,9,Bot,,,,,,,8.855604614445182,-132.05866834536897,-1.079167399391975,-18.29743856990084,29.064996930797964,-22.08937858121209,3.39,1.58,293,99.5,16,91.4,2052,6.8,746406,518595,621566,645277,663586,606115,594807,671739,660670,53.73,,,,,,,,79,9,Sinker,1,6,1,6,6,1,1,6,Standard,Standard,222,0.0,0.0,69.8,6.7,,0.0,99.5,-5,-5,0.01,0.01,40,37,41,37,1,3,2,1,2,2,1.91,1.4,1.4,25.5,-7.557450454496233,20.046364532906253,22.978387737304978,52.65551216522573,17.317738002774682,josé abreu,jesse chavez
