pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FF,2024-09-08,91.0,-3.51,4.45,"Sewald, Paul",665161,623149,strikeout,called_strike,,,,,6,Jeremy Peña called out on strikes.,R,R,R,HOU,AZ,S,2,,0,2,2024,-1.13,1.14,0.502755835324767,2.612571877462293,,673237,,2,9,Bot,,,,,,,12.554684792020904,-131.97444498935192,-1.1358296277867848,-15.890175969302472,27.825720282964,-18.7623975772961,3.63,1.74,,,,91.4,2574,6.7,746345,680728,656976,641645,553993,672695,545341,664983,682998,53.79,,0.0,0.0,1,0,0,,88,3,4-Seam Fastball,6,12,6,12,12,6,6,12,Standard,Standard,241,-0.001,-0.195,,,,0.195,,-6,-6,0.001,0.001,34,26,34,27,1,4,6,1,,2,1.63,1.13,1.13,11.1,,,,,,jeremy peña,paul sewald
FF,2024-09-08,91.9,-3.57,4.43,"Sewald, Paul",665161,623149,,foul,,,,,5,Foul,R,R,R,HOU,AZ,S,,,0,1,2024,-1.14,1.04,-0.1668129872160566,2.920829043759565,,673237,,2,9,Bot,,,,,,,11.156452218480428,-133.45317843437783,-0.2134669651735393,-16.003914337967036,28.99863725934818,-19.873465524594238,3.61,1.73,217,94.6,12,92.3,2575,6.7,746345,680728,656976,641645,553993,672695,545341,664983,682998,53.82,,,,,,,,88,2,4-Seam Fastball,6,12,6,12,12,6,6,12,Standard,Standard,242,0.0,-0.067,67.8,6.4,,0.067,94.6,-6,-6,0.001,0.001,34,26,34,27,1,4,6,1,,2,1.67,1.14,1.14,8.2,-9.99659329995148,20.34383218242681,30.01116731450855,37.60353942458361,10.45270568056857,jeremy peña,paul sewald
ST,2024-09-08,82.7,-3.62,4.6,"Sewald, Paul",665161,623149,,foul,,,,,5,Foul,R,R,R,HOU,AZ,S,,,0,0,2024,0.75,0.69,0.2526641660527662,2.8625005497998552,,673237,,2,9,Bot,,,,,,,7.357179393844156,-120.1486487910025,1.2760069247448873,5.657046670751463,25.483900440490064,-26.028772222140063,3.61,1.73,189,69.4,40,82.4,2568,6.4,746345,680728,656976,641645,553993,672695,545341,664983,682998,54.14,,,,,,,,88,1,Sweeper,6,12,6,12,12,6,6,12,Standard,Standard,89,0.0,-0.04,70.6,7.1,,0.04,88.0,-6,-6,0.001,0.001,34,26,34,27,1,4,6,1,,2,2.68,-0.75,-0.75,17.0,-2.652820861680685,18.054345096409318,24.21894816896189,44.03825854183259,15.174017535680264,jeremy peña,paul sewald
ST,2024-09-08,82.8,-3.58,4.61,"Sewald, Paul",673237,623149,double,hit_into_play,,,,,9,Yainer Diaz doubles (24) on a fly ball to right fielder Corbin Carroll. Kyle Tucker scores.,R,R,R,HOU,AZ,X,9,fly_ball,0,1,2024,0.85,0.55,0.5135168433630506,1.8349704936857616,,,663656,2,9,Bot,210.77,93.63,,,,,7.695425023071915,-120.35608151576058,-0.8398010757442625,6.571645182968334,25.819290760432622,-26.959790149930804,3.1,1.47,333,95.5,27,82.5,2604,6.4,746345,680728,656976,641645,553993,672695,545341,664983,682998,54.08,0.2580999999999999,0.4556,1.25,1,1,1,5,87,2,Sweeper,5,12,5,12,12,6,6,12,Standard,Standard,79,0.0,0.912,66.9,7.3,0.8545,-0.912,95.5,-7,-7,0.001,0.001,34,25,34,26,1,4,6,1,,2,2.81,-0.85,-0.85,18.6,11.92698764337043,14.237557295329692,33.82480259226308,43.9052738440364,27.58032058996088,yainer diaz,paul sewald
FF,2024-09-08,90.4,-3.47,4.47,"Sewald, Paul",673237,623149,,swinging_strike,,,,,6,Swinging Strike,R,R,R,HOU,AZ,S,,,0,0,2024,-0.98,1.22,0.500696291376403,2.544161220721538,,,663656,2,9,Bot,,,,,,,12.038457952670107,-131.11430003465483,-1.3849538065970963,-14.021569681898583,29.79736242708878,-18.07080228505572,3.1,1.47,,,,90.5,2524,6.7,746345,680728,656976,641645,553993,672695,545341,664983,682998,53.82,,,,,,,,87,1,4-Seam Fastball,5,12,5,12,12,5,5,12,Standard,Standard,242,0.0,-0.047,73.6,6.9,,0.047,,-7,-7,0.001,0.001,34,25,34,26,1,4,6,1,,2,1.6,0.98,0.98,13.8,3.552504108362784,25.910301646806257,30.974612492117146,45.54168491971421,19.81499269867128,yainer diaz,paul sewald
ST,2024-09-08,83.9,-3.63,4.57,"Sewald, Paul",694376,623149,field_out,hit_into_play,,,,,9,Shay Whitcomb flies out to left fielder Randal Grichuk.,R,R,R,HOU,AZ,X,7,fly_ball,0,2,2024,0.67,0.8,0.7021142547795691,1.7773484200492735,,,663656,1,9,Bot,75.45,85.32,,,,,8.69575147875154,-121.82381029314098,-1.5156040986647012,4.628248633092696,27.51307473870631,-24.1946007089876,3.25,1.55,308,89.0,38,83.4,2638,6.4,746345,680728,656976,641645,553993,672695,545341,664983,682998,54.1,0.016,0.024,0.0,1,0,0,3,86,3,Sweeper,5,12,5,12,12,5,5,12,Standard,Standard,101,0.0,-0.163,66.6,8.5,0.04,0.163,89.0,-7,-7,0.001,0.001,34,25,34,26,1,0,6,2,,14,2.49,-0.67,-0.67,16.1,18.20179493354913,-10.839089320721625,25.712390029944476,46.4646377180416,36.63232930547173,shay whitcomb,paul sewald
ST,2024-09-08,83.1,-3.62,4.49,"Sewald, Paul",694376,623149,,foul,,,,,9,Foul,R,R,R,HOU,AZ,S,,,0,1,2024,0.65,0.65,0.4721879203151108,1.7810332863743756,,,663656,1,9,Bot,,,,,,,8.138050829838484,-120.82997236141662,-0.9684034481474668,4.615942358922435,24.9270649177816,-25.83218534133077,3.25,1.55,4,34.8,-22,83.1,2624,6.5,746345,680728,656976,641645,553993,672695,545341,664983,682998,54.04,,,,,,,,86,2,Sweeper,5,12,5,12,12,5,5,12,Standard,Standard,85,0.0,-0.052,74.8,8.8,,0.052,88.0,-7,-7,0.001,0.001,34,25,34,26,1,0,6,2,,14,2.67,-0.65,-0.65,12.6,22.62545974168802,-23.58249566435882,31.611490993499714,44.010780334632905,42.77207573277365,shay whitcomb,paul sewald
ST,2024-09-08,83.0,-3.61,4.61,"Sewald, Paul",694376,623149,,called_strike,,,,,4,Called Strike,R,R,R,HOU,AZ,S,,,0,0,2024,0.95,0.53,-0.3667978812064664,2.430141424715807,,,663656,1,9,Bot,,,,,,,5.576168935503841,-120.67586904036229,0.5478350981623351,7.978618275991003,26.536949845144218,-27.42807378735606,3.28,1.51,,,,82.7,2515,6.4,746345,680728,656976,641645,553993,672695,545341,664983,682998,54.06,,,,,,,,86,1,Sweeper,5,12,5,12,12,5,5,12,Standard,Standard,93,0.0,-0.04,,,,0.04,,-7,-7,0.001,0.001,34,25,34,26,1,0,6,2,,14,2.82,-0.95,-0.95,17.3,,,,,,shay whitcomb,paul sewald
FF,2024-09-08,92.7,-3.54,4.43,"Sewald, Paul",663656,623149,single,hit_into_play,,,,,5,Kyle Tucker singles on a fly ball to left fielder Randal Grichuk.,R,L,R,HOU,AZ,X,7,fly_ball,1,2,2024,-0.96,1.1,0.1892554434474433,2.523703570602021,,,,1,9,Bot,62.44,126.02,,,,,11.622441988931282,-134.4586374148605,-1.4236720257235178,-14.216470555677876,30.116915257770465,-18.768477063619923,3.49,1.62,216,68.4,38,92.6,2589,6.5,746345,680728,656976,641645,553993,672695,545341,664983,682998,54.03,0.626,0.615,0.9,1,1,0,4,85,4,4-Seam Fastball,5,12,5,12,12,5,5,12,Infield shade,Standard,242,0.0,0.495,69.2,6.9,0.729,-0.495,88.0,-7,-7,0.001,0.001,34,27,34,27,1,4,6,2,,2,1.58,0.96,-0.96,11.9,1.7858055707191545,5.516745077123055,42.703891667938464,32.713654529966426,17.664729321014615,kyle tucker,paul sewald
FF,2024-09-08,92.3,-3.52,4.41,"Sewald, Paul",663656,623149,,ball,,,,,3,Ball,R,L,R,HOU,AZ,B,,,0,2,2024,-0.84,1.11,0.5247734451973456,3.4005932325829007,,,,1,9,Bot,,,,,,,12.127164344186548,-133.83531586205913,0.9017103702155564,-12.76651463746215,29.442086854405744,-19.340564719908443,3.45,1.7,,,,92.3,2607,6.5,746345,680728,656976,641645,553993,672695,545341,664983,682998,53.98,,,,,,,,85,3,4-Seam Fastball,5,12,5,12,12,5,5,12,Infield shade,Standard,239,0.0,0.02,,,,-0.02,,-7,-7,0.001,0.001,34,27,34,27,1,4,6,2,,2,1.59,0.84,-0.84,14.0,,,,,,kyle tucker,paul sewald
