pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FS,2024-08-14,87.3,-2.37,5.28,"Yates, Kirby",646240,489446,field_out,hit_into_play,,,,,7,Rafael Devers lines out to center fielder Leody Taveras.,R,L,R,BOS,TEX,X,8,line_drive,0,0,2024,-0.94,0.43,-0.6520188705483154,1.8937148375397823,680776,,,2,10,Bot,152.4,76.31,,,,,6.091051630395977,-126.9485537851306,-2.8810561240472383,-11.392499631782195,26.683165564788997,-27.09269893646912,3.43,1.57,328,105.1,15,87.5,1297,6.5,746919,641680,663993,543760,669701,608369,694671,665750,677649,53.98,0.653,0.713,0.0,1,0,0,5,89,1,Split-Finger,7,9,7,9,9,7,7,9,Infield shade,Standard,254,-0.051,-0.271,70.1,8.2,1.016,0.271,105.1,-2,-2,0.051,0.051,37,27,37,28,1,4,2,1,1,1,2.57,0.94,-0.94,24.5,11.514604616320328,1.7015170366257193,25.947826419348296,43.17605513767679,32.84985325669531,rafael devers,kirby yates
FF,2024-08-14,94.1,-2.4,5.4,"Yates, Kirby",657136,489446,strikeout,swinging_strike,,,,,12,Connor Wong strikes out swinging.,R,R,R,BOS,TEX,S,2,,1,2,2024,-0.93,1.44,0.6087526066455513,3.460330188675268,680776,,,1,10,Bot,,,,,,,9.771582851686194,-136.64269986924717,-2.455559423259545,-13.867455226717968,31.81313834600811,-13.843445910455891,3.29,1.43,,,,93.1,2371,6.0,746919,641680,663993,543760,669701,608369,694671,665750,677649,54.55,,0.0,0.0,1,0,0,,88,4,4-Seam Fastball,7,9,7,9,9,7,7,9,Standard,Strategic,225,-0.06,-0.318,69.9,6.1,,0.318,,-2,-2,0.111,0.111,37,28,37,28,1,0,2,1,1,1,1.16,0.93,0.93,25.5,4.5417880310074015,28.975617439750746,21.50569996038534,43.15966583479279,17.281967995844703,connor wong,kirby yates
FF,2024-08-14,93.6,-2.35,5.34,"Yates, Kirby",657136,489446,,foul,,,,,2,Foul,R,R,R,BOS,TEX,S,,,1,1,2024,-1.2,1.36,0.0829925142101655,2.783627668822591,680776,,,1,10,Bot,,,,,,,8.882773496948865,-136.04728840666877,-3.823817830557022,-16.832370844374335,29.9524664088166,-14.607946407949038,3.29,1.43,169,76.7,10,93.2,2330,6.1,746919,641680,663993,543760,669701,608369,694671,665750,677649,54.37,,,,,,,,88,3,4-Seam Fastball,7,9,7,9,9,7,7,9,Standard,Strategic,231,-0.016,-0.114,69.2,6.7,,0.114,88.0,-2,-2,0.127,0.127,37,28,37,28,1,0,2,1,1,1,1.25,1.2,1.2,24.6,5.1027650071098485,10.061827015634636,34.73925328503212,36.85760730534989,27.75369175400629,connor wong,kirby yates
FS,2024-08-14,86.4,-2.34,5.34,"Yates, Kirby",657136,489446,,ball,,,,,13,Ball,R,R,R,BOS,TEX,B,,,0,1,2024,-0.75,-0.14,-2.057073232696768,2.0687959094982107,680776,,,1,10,Bot,,,,,,,2.207758473867383,-125.87887167369384,-1.3533397049025868,-8.438440389845043,22.77818502890301,-33.65844260754224,3.25,1.47,,,,87.1,1206,6.4,746919,641680,663993,543760,669701,608369,694671,665750,677649,54.1,,,,,,,,88,2,Split-Finger,7,9,7,9,9,7,7,9,Standard,Strategic,257,0.008,0.025,,,,-0.025,,-2,-2,0.119,0.119,37,28,37,28,1,0,2,1,1,1,3.16,0.75,0.75,26.8,,,,,,connor wong,kirby yates
FF,2024-08-14,94.1,-2.4,5.29,"Yates, Kirby",657136,489446,,called_strike,,,,,6,Called Strike,R,R,R,BOS,TEX,S,,,0,0,2024,-1.07,1.47,0.5522480068916806,2.3524101683989422,680776,,,1,10,Bot,,,,,,,10.033601268205148,-136.63001956498368,-5.171977594743439,-15.63921459306373,29.439728050515644,-12.721007813494714,3.29,1.49,,,,94.1,2381,6.3,746919,641680,663993,543760,669701,608369,694671,665750,677649,54.15,,,,,,,,88,1,4-Seam Fastball,7,9,7,9,9,7,7,9,Standard,Strategic,228,-0.012,-0.049,,,,0.049,,-2,-2,0.131,0.131,37,28,37,28,1,0,2,1,1,1,1.11,1.07,1.07,25.5,,,,,,connor wong,kirby yates
FS,2024-08-14,85.6,-2.46,5.33,"Yates, Kirby",677800,489446,field_out,hit_into_play,,,,,13,"Wilyer Abreu grounds out softly, second baseman Marcus Semien to first baseman Nathaniel Lowe. Jarren Duran to 3rd.",R,L,R,BOS,TEX,X,4,ground_ball,1,2,2024,-1.09,0.05,-1.1360212056609196,1.397998249388361,,680776,,0,10,Bot,148.86,157.79,,,,,5.335555887083306,-124.55607423309596,-3.106778572138273,-12.39955427559731,24.83458146183944,-31.262453890123066,3.37,1.56,3,70.3,-28,86.0,1314,6.5,746919,641680,663993,543760,669701,608369,694671,665750,677649,53.96,0.058,0.054,0.0,1,0,0,2,87,4,Split-Finger,7,9,7,9,9,7,7,9,Infield shade,Standard,259,-0.058,-0.123,76.2,8.1,0.069,0.123,88.0,-2,-2,0.189,0.189,37,25,37,25,1,4,2,1,1,1,3.06,1.09,-1.09,24.2,15.526729911916622,-1.2209526210022523,31.459067687069087,47.3708055423741,34.03670715421161,wilyer abreu,kirby yates
FF,2024-08-14,94.0,-2.56,5.39,"Yates, Kirby",677800,489446,,ball,,,,,11,Ball,R,L,R,BOS,TEX,B,,,0,2,2024,-1.22,1.37,-1.2736314195888052,3.823018351256015,,680776,,0,10,Bot,,,,,,,5.985414375182183,-136.73040393229647,-1.3355215406628032,-16.615604435450155,31.300961992290357,-14.989235787860736,3.29,1.64,,,,93.1,2411,5.9,746919,641680,663993,543760,669701,608369,694671,665750,677649,54.63,,,,,,,,87,3,4-Seam Fastball,7,9,7,9,9,7,7,9,Infield shade,Standard,222,0.008,0.031,,,,-0.031,,-2,-2,0.181,0.181,37,25,37,25,1,4,2,1,1,1,1.22,1.22,-1.22,24.9,,,,,,wilyer abreu,kirby yates
FF,2024-08-14,93.9,-2.5,5.3,"Yates, Kirby",677800,489446,,swinging_strike,,,,,13,Swinging Strike,R,L,R,BOS,TEX,S,,,0,1,2024,-1.17,1.48,-1.045021440646874,2.0831733822789475,,680776,,0,10,Bot,,,,,,,6.287838241189958,-136.52197000857728,-5.8164654736791865,-15.983783014400723,30.70122946007276,-12.561700232270814,3.37,1.56,,,,93.1,2389,5.9,746919,641680,663993,543760,669701,608369,694671,665750,677649,54.62,,,,,,,,87,2,4-Seam Fastball,7,9,7,9,9,7,7,9,Infield shade,Standard,228,-0.017,-0.067,74.9,7.1,,0.067,,-2,-2,0.198,0.198,37,25,37,25,1,4,2,1,1,1,1.11,1.17,-1.17,29.8,2.0996479698882844,18.002438223302214,34.52756138178385,47.133306899239656,14.231383809794362,wilyer abreu,kirby yates
FS,2024-08-14,86.5,-2.59,5.36,"Yates, Kirby",677800,489446,,foul,,,,,8,Foul,R,L,R,BOS,TEX,S,,,0,0,2024,-0.91,-0.09,-0.0850333003861164,1.761366619651005,,680776,,0,10,Bot,,,,,,,7.768762915371836,-125.86400501691872,-2.233951583351598,-11.135770501741836,23.376969814345827,-32.89773826518593,3.37,1.56,219,71.1,30,86.4,1408,6.0,746919,641680,663993,543760,669701,608369,694671,665750,677649,54.48,,,,,,,,87,1,Split-Finger,7,9,7,9,9,7,7,9,Infield shade,Standard,257,-0.013,-0.035,77.1,6.7,,0.035,88.0,-2,-2,0.211,0.211,37,25,37,25,1,4,2,1,1,1,3.11,0.91,-0.91,25.0,-7.293710136136788,18.588557716658965,41.40809703496355,34.82085343482824,24.15849453443497,wilyer abreu,kirby yates
FF,2024-08-14,97.2,-2.68,5.51,"Kelly, Zack",666969,677161,strikeout,swinging_strike,,,,,4,Adolis García strikes out swinging.,R,R,R,BOS,TEX,S,2,,3,2,2024,-0.82,1.2,-0.4688759056246233,2.7719042920165453,665750,669701,,2,10,Top,,,,,,,7.91098039805665,-141.40840651407305,-4.655887880725127,-12.671322520849092,29.944297525831978,-15.132844618766493,3.49,1.67,,,,98.9,2242,7.1,746919,643376,663853,666152,646240,678882,608701,680776,677800,53.42,,0.0,0.0,1,0,0,,86,6,4-Seam Fastball,7,9,9,7,9,7,9,7,Standard,Standard,222,0.044,-0.273,68.0,6.9,,0.273,,-2,2,0.167,0.833,29,31,29,31,1,5,2,1,2,1,1.2,0.82,0.82,39.4,7.565067827359646,4.0386068649399975,30.526280726401204,27.463788246209543,25.36213486073992,adolis garcía,zack kelly
