pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
CH,2024-03-30,89.8,1.48,5.87,"Burke, Brock",666624,656271,grounded_into_double_play,hit_into_play,,,,,9,"Christopher Morel grounds into a double play, third baseman Josh Jung to second baseman Marcus Semien to first baseman Jared Walsh. Miguel Amaya out at 2nd. Christopher Morel out at 1st.",R,R,L,TEX,CHC,X,5,ground_ball,2,1,2024,1.55,0.73,0.3427026780021591,1.9024885271437035,,,665804,1,9,Top,103.82,163.86,,,,,-6.243731086243871,-130.61700026221314,-5.496642474572479,19.02912245010558,27.70883093476466,-22.799680578931355,3.51,1.59,91,100.7,4,91.8,2189,7.5,745037,668800,665120,543760,673962,669701,694497,665750,608671,52.98,0.532,0.492,0.0,1,0,0,4,74,4,Changeup,11,2,2,11,2,11,2,11,Strategic,Standard,122,0.001,-0.349,,,0.597,0.349,100.7,9,-9,0.999,0.001,27,25,28,25,1,3,,2,2,1,2.1,1.55,-1.55,36.8,,,,,,christopher morel,brock burke
CH,2024-03-30,89.5,1.67,5.9,"Burke, Brock",666624,656271,,ball,,,,,12,Ball,R,R,L,TEX,CHC,B,,,1,1,2024,1.51,0.75,2.264647482855082,3.028796433119615,,,665804,1,9,Top,,,,,,,-1.7739363749507102,-130.29775664228472,-2.663310578419911,17.57100295038804,29.0013806761051,-23.25801085446856,3.68,1.71,,,,90.6,2147,7.1,745037,668800,665120,543760,673962,669701,694497,665750,608671,53.41,,,,,,,,74,3,Changeup,11,2,2,11,2,11,2,11,Strategic,Standard,126,0.0,0.046,,,,-0.046,,9,-9,0.999,0.001,27,25,28,25,1,3,,2,2,1,2.1,1.51,-1.51,38.7,,,,,,christopher morel,brock burke
CH,2024-03-30,88.8,1.68,5.88,"Burke, Brock",666624,656271,,swinging_strike,,,,,9,Swinging Strike,R,R,L,TEX,CHC,S,,,1,0,2024,1.51,0.71,0.7887584152713145,1.783528560137487,,,665804,1,9,Top,,,,,,,-5.435456330247882,-129.08264538214988,-5.518171266241367,18.024533902860544,27.17965842318409,-23.301878409338418,3.51,1.59,,,,90.1,2153,7.2,745037,668800,665120,543760,673962,669701,694497,665750,608671,53.33,,,,,,,,74,2,Changeup,11,2,2,11,2,11,2,11,Strategic,Standard,124,0.0,-0.047,,,,0.047,,9,-9,0.999,0.001,27,25,28,25,1,3,,2,2,1,2.19,1.51,-1.51,33.5,,,,,,christopher morel,brock burke
FF,2024-03-30,95.7,1.44,6.03,"Burke, Brock",666624,656271,,ball,,,,,13,Ball,R,R,L,TEX,CHC,B,,,0,0,2024,1.05,1.32,-0.9624411657702356,1.81357023931432,,,665804,1,9,Top,,,,,,,-8.849138817442778,-138.81711071425354,-8.575617784403006,15.624989229899276,31.233395930984138,-13.338239904895236,3.77,1.85,,,,96.9,2208,7.2,745037,668800,665120,543760,673962,669701,694497,665750,608671,53.34,,,,,,,,74,1,4-Seam Fastball,11,2,2,11,2,11,2,11,Strategic,Standard,139,0.0,0.036,,,,-0.036,,9,-9,0.999,0.001,27,25,28,25,1,3,,2,2,1,1.19,1.05,-1.05,39.7,,,,,,christopher morel,brock burke
FF,2024-03-30,96.3,1.51,6.06,"Burke, Brock",665804,656271,walk,ball,,,,,14,Miguel Amaya walks.,R,R,L,TEX,CHC,B,,,3,1,2024,1.06,1.22,1.171061512276513,2.205137306539376,,,,1,9,Top,,,,,,,-3.355621933967807,-139.9799833205814,-7.496635210784047,14.635723184812152,33.10708919704836,-14.598831229474898,3.36,1.69,,,,97.6,2216,7.2,745037,668800,665120,543760,673962,669701,694497,665750,608671,53.31,,0.689131,0.7,1,0,0,,73,5,4-Seam Fastball,11,2,2,11,2,11,2,11,Standard,Standard,135,0.0,0.256,,,,-0.256,,9,-9,0.999,0.001,27,25,28,25,1,0,,,2,1,1.25,1.06,-1.06,41.3,,,,,,miguel amaya,brock burke
CH,2024-03-30,89.8,1.69,5.96,"Burke, Brock",665804,656271,,ball,,,,,14,Ball,R,R,L,TEX,CHC,B,,,2,1,2024,1.49,0.76,0.3004892218888135,0.8481529130764045,,,,1,9,Top,,,,,,,-6.691244712123648,-130.4114383676042,-8.323567548944277,18.45109165486813,28.645068898833912,-21.899413326983623,3.41,1.6,,,,90.7,2154,7.1,745037,668800,665120,543760,673962,669701,694497,665750,608671,53.42,,,,,,,,73,4,Changeup,11,2,2,11,2,11,2,11,Standard,Standard,127,0.0,0.122,,,,-0.122,,9,-9,0.999,0.001,27,25,28,25,1,0,,,2,1,2.09,1.49,-1.49,33.7,,,,,,miguel amaya,brock burke
FF,2024-03-30,95.2,1.51,6.03,"Burke, Brock",665804,656271,,called_strike,,,,,6,Called Strike,R,R,L,TEX,CHC,S,,,2,0,2024,0.99,1.38,0.754976894108082,2.408097256274627,,,,1,9,Top,,,,,,,-4.287554197826448,-138.43512084592246,-7.011365538587313,13.633928367331274,33.73762971067876,-13.082884695973169,3.18,1.46,,,,96.4,2278,7.2,745037,668800,665120,543760,673962,669701,694497,665750,608671,53.25,,,,,,,,73,3,4-Seam Fastball,11,2,2,11,2,11,2,11,Standard,Standard,135,0.0,-0.065,,,,0.065,,9,-9,0.999,0.001,27,25,28,25,1,0,,,2,1,1.16,0.99,-0.99,38.6,,,,,,miguel amaya,brock burke
CH,2024-03-30,89.8,1.42,5.89,"Burke, Brock",665804,656271,,ball,,,,,13,Ball,R,R,L,TEX,CHC,B,,,1,0,2024,1.47,0.76,-0.8660072697751764,1.5138740321282709,,,,1,9,Top,,,,,,,-8.931520822741067,-130.3364157886703,-6.547094098126192,18.604695437024738,27.754736380339,-22.2284467350652,3.39,1.67,,,,91.2,2144,7.3,745037,668800,665120,543760,673962,669701,694497,665750,608671,53.19,,,,,,,,73,2,Changeup,11,2,2,11,2,11,2,11,Standard,Standard,123,0.0,0.072,,,,-0.072,,9,-9,0.999,0.001,27,25,28,25,1,0,,,2,1,2.08,1.47,-1.47,36.8,,,,,,miguel amaya,brock burke
SL,2024-03-30,84.1,1.57,6.07,"Burke, Brock",665804,656271,,ball,,,,,14,Ball,R,R,L,TEX,CHC,B,,,0,0,2024,-0.02,0.2,1.701351426456432,2.068414562063679,,,,1,9,Top,,,,,,,0.3440552185263705,-122.4337488808981,-3.234375537684176,-0.2663965760193492,25.286393273519217,-29.7475563359663,3.23,1.48,,,,83.3,2203,5.8,745037,668800,665120,543760,673962,669701,694497,665750,608671,54.65,,,,,,,,73,1,Slider,11,2,2,11,2,11,2,11,Standard,Standard,202,0.0,0.039,,,,-0.039,,9,-9,0.999,0.001,27,25,28,25,1,0,,,2,1,3.03,-0.02,0.02,36.2,,,,,,miguel amaya,brock burke
CH,2024-03-30,88.9,1.62,5.91,"Burke, Brock",673548,656271,strikeout,swinging_strike,,,,,9,Seiya Suzuki strikes out swinging.,R,R,L,TEX,CHC,S,2,,2,2,2024,1.43,0.81,0.4414255126224762,1.91416605694131,,,,0,9,Top,,,,,,,-5.893958056098039,-129.32906424674934,-5.44659909035718,17.317715347705875,27.704048369506324,-22.09412064004363,3.09,1.41,,,,88.8,2127,6.3,745037,668800,665120,543760,673962,669701,694497,665750,608671,54.23,,0.0,0.0,1,0,0,,72,6,Changeup,11,2,2,11,2,11,2,11,Standard,Standard,128,0.0,-0.227,,,,0.227,,9,-9,0.999,0.001,27,29,28,30,1,3,,2,2,1,2.08,1.43,-1.43,36.5,,,,,,seiya suzuki,brock burke
FF,2024-03-30,94.6,1.46,6.13,"Burke, Brock",673548,656271,,foul,,,,,2,Foul,R,R,L,TEX,CHC,S,,,2,2,2024,0.91,1.33,0.0610192825096717,2.8186844895819685,,,,0,9,Top,,,,,,,-5.778427414519853,-137.6367596807019,-6.021266917593807,12.85443025390322,30.12878456728795,-14.084528795626367,3.09,1.41,151,81.0,74,96.2,2218,7.2,745037,668800,665120,543760,673962,669701,694497,665750,608671,53.33,,,,,,,,72,5,4-Seam Fastball,11,2,2,11,2,11,2,11,Standard,Standard,141,0.0,0.0,,,,0.0,88.0,9,-9,0.999,0.001,27,29,28,30,1,3,,2,2,1,1.21,0.91,-0.91,39.4,,,,,,seiya suzuki,brock burke
