pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
SL,2024-04-27,87.7,-2.36,4.36,"Díaz, Alexis",677649,664747,field_out,hit_into_play,,,,,14,"Ezequiel Duran grounds out, shortstop Elly De La Cruz to first baseman Spencer Steer.",R,R,R,TEX,CIN,X,6,ground_ball,0,1,2024,0.34,0.13,1.2987712120327983,2.0606079373195167,669701,694671,,2,9,Bot,117.99,144.12,,,,,8.340033098293347,-127.45444552689878,0.336835300346995,1.9953140203903248,25.80608410925534,-31.00074709152049,3.44,1.64,5,65.4,-21,89.7,2706,7.6,745020,571912,668715,663697,669289,682829,666181,669352,656413,52.92,0.039,0.054,0.0,1,0,0,2,74,2,Slider,4,8,4,8,8,4,4,8,Standard,Standard,112,-0.018,-0.236,68.8,7.9,0.047,0.236,88.0,-4,-4,0.018,0.018,27,25,28,25,1,1,3,2,2,5,2.83,-0.34,-0.34,3.0,10.180394153485445,-0.616896482425389,19.7610526218651,48.77815997459293,32.293727501627494,ezequiel duran,alexis díaz
SL,2024-04-27,86.1,-2.54,4.39,"Díaz, Alexis",677649,664747,,called_strike,,,,,5,Called Strike,R,R,R,TEX,CIN,S,,,0,0,2024,0.29,0.23,-0.2581934696132835,2.7567356726140373,669701,,694671,2,9,Bot,,,,,,,4.961772516234674,-125.40618425581408,1.9352488549041011,2.0823788897753555,24.449174335293414,-30.291419362350503,3.43,1.58,,,,88.5,2555,7.7,745020,571912,668715,663697,669289,682829,666181,669352,656413,52.84,,,,,,,,74,1,Slider,4,8,4,8,8,4,4,8,Standard,Standard,148,0.002,-0.046,,,,0.046,,-4,-4,0.016,0.016,27,25,28,25,1,1,3,2,2,5,2.83,-0.29,-0.29,5.7,,,,,,ezequiel duran,alexis díaz
FF,2024-04-27,94.0,-2.5,4.19,"Díaz, Alexis",668800,664747,field_out,hit_into_play,,,,,11,Andrew Knizner pops out softly to pitcher Alexis Díaz.,R,R,R,TEX,CIN,X,1,popup,2,2,2024,-1.02,0.89,-1.098237715917577,3.122360450150212,669701,,694671,1,9,Bot,130.74,177.31,,,,,6.028572692297088,-136.79591259848783,0.9813079871537076,-14.0850527960062,28.845929799646083,-21.324634733792468,3.27,1.53,65,35.6,57,96.3,2661,7.5,745020,571912,668715,663697,669289,682829,666181,669352,656413,52.98,0.053,0.053,0.0,1,0,0,1,73,5,4-Seam Fastball,4,8,4,8,8,4,4,8,Standard,Standard,235,-0.031,-0.052,59.4,5.7,0.053,0.052,88.0,-4,-4,0.047,0.047,27,29,28,29,1,1,3,2,2,1,1.68,1.02,1.02,0.7,-1.4793711680380954,1.929573952934168,27.49134971060692,19.441959631580215,22.85784452661245,andrew knizner,alexis díaz
SL,2024-04-27,86.9,-2.44,4.41,"Díaz, Alexis",668800,664747,,foul,,,,,12,Foul,R,R,R,TEX,CIN,S,,,2,1,2024,0.09,0.32,1.0570418318332784,3.0072684348022083,669701,,694671,1,9,Bot,,,,,,,8.39832900585113,-126.29151269318044,2.250652185861259,-0.7341561399262188,25.40862560047391,-29.46707094196793,3.27,1.53,,,,89.0,2578,7.6,745020,571912,668715,663697,669289,682829,666181,669352,656413,52.87,,,,,,,,73,4,Slider,4,8,4,8,8,4,4,8,Standard,Standard,171,-0.01,-0.074,71.4,7.6,,0.074,,-4,-4,0.057,0.057,27,29,28,29,1,1,3,2,2,1,2.71,-0.09,-0.09,5.8,12.198905448810915,-14.278502837683506,18.25786605553269,44.71811574590953,45.0806539892024,andrew knizner,alexis díaz
SL,2024-04-27,86.4,-2.47,4.32,"Díaz, Alexis",668800,664747,,ball,,,,,14,Ball,R,R,R,TEX,CIN,B,,,1,1,2024,0.01,0.21,2.3353926363236672,1.1433505075776051,669701,,694671,1,9,Bot,,,,,,,11.70815841748606,-125.3726279401518,-1.7868425187687735,-2.221573241358072,24.44943358262383,-29.827838431424222,3.23,1.57,,,,88.6,2569,7.7,745020,571912,668715,663697,669289,682829,666181,669352,656413,52.8,,,,,,,,73,3,Slider,4,8,4,8,8,4,4,8,Standard,Standard,204,0.008,0.024,,,,-0.024,,-4,-4,0.049,0.049,27,29,28,29,1,1,3,2,2,1,2.85,-0.01,-0.01,7.0,,,,,,andrew knizner,alexis díaz
FF,2024-04-27,93.2,-2.41,4.22,"Díaz, Alexis",668800,664747,,called_strike,,,,,11,Called Strike,R,R,R,TEX,CIN,S,,,1,0,2024,-1.01,0.98,-0.275631936634606,3.358493351119291,669701,,694671,1,9,Bot,,,,,,,7.909357231246631,-135.46583154859854,1.4774666498934712,-14.11476189024816,29.55979555562144,-20.652600492868554,3.13,1.47,,,,95.6,2626,7.7,745020,571912,668715,663697,669289,682829,666181,669352,656413,52.77,,,,,,,,73,2,4-Seam Fastball,4,8,4,8,8,4,4,8,Standard,Standard,242,-0.008,-0.062,,,,0.062,,-4,-4,0.057,0.057,27,29,28,29,1,1,3,2,2,1,1.65,1.01,1.01,-0.2,,,,,,andrew knizner,alexis díaz
FF,2024-04-27,93.8,-2.31,4.27,"Díaz, Alexis",668800,664747,,ball,,,,,11,Ball,R,R,R,TEX,CIN,B,,,0,0,2024,-0.95,0.95,-0.1464317579976407,3.575241623500778,669701,,694671,1,9,Bot,,,,,,,7.887832534226937,-136.3721184530073,1.9109384939145675,-13.568815471437205,30.54262401490247,-21.041858393335083,3.16,1.47,,,,95.9,2669,7.6,745020,571912,668715,663697,669289,682829,666181,669352,656413,52.93,,,,,,,,73,1,4-Seam Fastball,4,8,4,8,8,4,4,8,Standard,Standard,237,0.006,0.024,,,,-0.024,,-4,-4,0.051,0.051,27,29,28,29,1,1,3,2,2,1,1.65,0.95,0.95,2.0,,,,,,andrew knizner,alexis díaz
FF,2024-04-27,85.4,3.28,6.12,"Suter, Brent",694671,608718,single,hit_into_play,,,,,5,Wyatt Langford singles on a line drive to center fielder Bubba Thompson. Josh Smith to 3rd.,R,R,L,TEX,CIN,X,8,line_drive,3,2,2024,-0.36,1.18,-0.1928070460410658,2.7258238511321835,,669701,,1,9,Bot,124.57,109.21,,,,,-7.6271576677867134,-124.16941486140875,-4.175330814604478,-2.281611062219896,24.302218648954955,-19.26230390276368,3.37,1.58,247,84.7,17,87.4,2237,7.6,745020,571912,668715,663697,669289,682829,666181,669352,656413,52.94,0.955,0.91,0.9,1,1,0,4,72,6,4-Seam Fastball,4,8,4,8,8,4,4,8,Standard,Standard,179,0.026,0.541,77.4,6.2,1.11,-0.541,88.0,-4,-4,0.025,0.025,34,22,35,23,2,3,3,1,4,1,1.94,-0.36,0.36,59.6,-1.787363651327673,7.286241724058235,31.928764881545305,34.37164538234035,26.370670867067485,wyatt langford,brent suter
CH,2024-04-27,77.2,3.53,6.1,"Suter, Brent",694671,608718,,ball,,,,,14,Ball,R,R,L,TEX,CIN,B,,,2,2,2024,0.94,0.91,0.5865001818776812,1.5234602831660915,,669701,,1,9,Bot,,,,,,,-8.101761913648883,-112.17806078569237,-4.488263145656455,9.431561610807844,20.290521074319784,-23.84866835499192,3.34,1.67,,,,78.4,1524,7.2,745020,571912,668715,663697,669289,682829,666181,669352,656413,53.32,,,,,,,,72,5,Changeup,4,8,4,8,8,4,4,8,Standard,Standard,155,0.006,0.074,,,,-0.074,,-4,-4,0.019,0.019,34,22,35,23,2,3,3,1,4,1,2.92,0.94,-0.94,49.4,,,,,,wyatt langford,brent suter
SL,2024-04-27,79.7,3.41,6.32,"Suter, Brent",694671,608718,,foul,,,,,4,Foul,R,R,L,TEX,CIN,S,,,2,1,2024,-0.63,-0.12,-0.3003060432548953,2.2284729101138465,,669701,,1,9,Bot,,,,,,,-7.064635778959177,-115.96071865041664,-2.0360503965888954,-4.311284392230948,21.942066337809628,-33.07412763601612,3.37,1.58,135,55.2,44,80.8,2219,7.1,745020,571912,668715,663697,669289,682829,666181,669352,656413,53.44,,,,,,,,72,4,Slider,4,8,4,8,8,4,4,8,Standard,Standard,266,-0.005,-0.082,76.4,6.9,,0.082,88.0,-4,-4,0.024,0.024,34,22,35,23,2,3,3,1,4,1,3.71,-0.63,0.63,55.9,6.38469862835685,1.5373130522105611,35.783183946696724,32.96924247614891,30.7897967593235,wyatt langford,brent suter
