pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FC,2024-08-25,99.1,-0.93,6.12,"Clase, Emmanuel",663993,661403,strikeout,swinging_strike,,,,,2,Nathaniel Lowe strikes out swinging.,R,L,R,CLE,TEX,S,2,,2,2,2024,0.08,1.32,-0.2679908651431152,3.1224578102227727,,,,2,9,Top,,,,,,,1.6187494451446165,-144.3263311574982,-5.911764533815038,0.8276722867857539,31.18314631769017,-12.5931405328305,3.36,1.51,,,,99.9,2730,6.5,746595,595978,647304,665926,608070,677587,680757,657041,678877,53.99,,0.0,0.0,1,0,0,,66,5,Cutter,4,2,2,4,2,4,2,4,Strategic,Strategic,187,0.011,-0.219,76.4,7.0,,0.219,,2,-2,0.989,0.011,26,28,26,29,1,3,5,1,1,2,0.99,-0.08,0.08,50.1,2.9879547278178324,20.30990592425348,27.295769395622237,42.796742611333535,18.99757801583553,nathaniel lowe,emmanuel clase
FC,2024-08-25,99.6,-0.62,5.98,"Clase, Emmanuel",663993,661403,,ball,,,,,14,Ball,R,L,R,CLE,TEX,B,,,1,2,2024,0.07,0.98,1.2297204152982788,0.96006288815964,,,,2,9,Top,,,,,,,4.941249278213188,-144.85241437041373,-10.839622171903846,0.0009180833088671,28.59660012873612,-16.17497589223648,3.35,1.55,,,,100.9,2688,6.7,746595,595978,647304,665926,608070,677587,680757,657041,678877,53.82,,,,,,,,66,4,Cutter,4,2,2,4,2,4,2,4,Strategic,Strategic,181,-0.002,0.039,,,,-0.039,,2,-2,0.991,0.009,26,28,26,29,1,3,5,1,1,2,1.29,-0.07,0.07,51.2,,,,,,nathaniel lowe,emmanuel clase
FC,2024-08-25,100.6,-0.37,6.13,"Clase, Emmanuel",663993,661403,,foul,,,,,6,Foul,R,L,R,CLE,TEX,S,,,1,1,2024,0.11,1.44,0.6768940671893887,2.418389705390825,,,,2,9,Top,,,,,,,2.643088675678407,-146.43182334052372,-8.43953026807425,1.032658316031111,32.31917964546044,-9.707566094475416,3.36,1.51,137,75.9,74,101.5,2753,6.6,746595,595978,647304,665926,608070,677587,680757,657041,678877,53.86,,,,,,,,66,3,Cutter,4,2,2,4,2,4,2,4,Strategic,Strategic,184,0.002,-0.064,76.9,7.4,,0.064,88.0,2,-2,0.989,0.011,26,28,26,29,1,3,5,1,1,2,0.8,-0.11,0.11,53.1,9.09350367886696,2.026148420904659,33.65720610426032,32.37683561908009,32.126719137791206,nathaniel lowe,emmanuel clase
FC,2024-08-25,100.5,-0.52,6.1,"Clase, Emmanuel",663993,661403,,swinging_strike,,,,,2,Swinging Strike,R,L,R,CLE,TEX,S,,,1,0,2024,-0.03,1.46,0.2112002406318204,3.1154534977748933,,,,2,9,Top,,,,,,,2.110533388203552,-146.32077079903368,-6.426638130692629,-0.8502365818446629,32.98307307867126,-9.900019636195012,3.36,1.51,,,,101.2,2760,6.5,746595,595978,647304,665926,608070,677587,680757,657041,678877,53.96,,,,,,,,66,2,Cutter,4,2,2,4,2,4,2,4,Strategic,Strategic,184,0.003,-0.051,76.7,6.9,,0.051,,2,-2,0.986,0.014,26,28,26,29,1,3,5,1,1,2,0.79,0.03,-0.03,53.4,1.920457491077522,22.591408570883228,31.118706847139357,36.63503466993736,20.752945713662243,nathaniel lowe,emmanuel clase
FC,2024-08-25,100.2,-0.29,6.12,"Clase, Emmanuel",663993,661403,,ball,,,,,14,Ball,R,L,R,CLE,TEX,B,,,0,0,2024,0.34,1.4,1.3701185143289578,1.334637378143422,,,,2,9,Top,,,,,,,3.790178621403812,-145.61613576163998,-11.22876622104933,3.9952348670087736,32.67474752070667,-9.799982230896331,3.4,1.6,,,,100.8,2778,6.6,746595,595978,647304,665926,608070,677587,680757,657041,678877,53.91,,,,,,,,66,1,Cutter,4,2,2,4,2,4,2,4,Strategic,Strategic,176,-0.002,0.04,,,,-0.04,,2,-2,0.988,0.012,26,28,26,29,1,3,5,1,1,2,0.86,-0.34,0.34,51.7,,,,,,nathaniel lowe,emmanuel clase
FC,2024-08-25,100.7,-0.44,6.24,"Clase, Emmanuel",673962,661403,strikeout,swinging_strike,,,,,5,Josh Jung strikes out swinging.,R,R,R,CLE,TEX,S,2,,1,2,2024,0.29,1.29,0.0127455678861124,2.573506653503082,,,,1,9,Top,,,,,,,0.554012023347816,-146.627994172853,-7.998712145372514,4.128039346551226,31.845673289092563,-11.917636442947138,3.64,1.67,,,,101.6,2787,6.6,746595,595978,647304,665926,608070,677587,680757,657041,678877,53.91,,0.0,0.0,1,0,0,,65,4,Cutter,4,2,2,4,2,4,2,4,Strategic,Strategic,172,0.019,-0.182,77.2,7.2,,0.182,,2,-2,0.969,0.031,26,26,26,26,1,3,5,1,1,2,0.94,-0.29,-0.29,56.2,11.701525732229769,4.918160542505812,38.45930881582642,35.31615888568795,29.680483231654897,josh jung,emmanuel clase
SL,2024-08-25,93.6,-0.59,6.08,"Clase, Emmanuel",673962,661403,,ball,,,,,14,Ball,R,R,R,CLE,TEX,B,,,0,2,2024,0.39,0.5,0.5144919860367966,1.2660007593110507,,,,1,9,Top,,,,,,,2.025597031332663,-136.2319097903998,-7.884514564423973,4.436038821964413,27.234279938909157,-24.501079496026755,3.73,1.88,,,,94.6,2766,6.7,746595,595978,647304,665926,608070,677587,680757,657041,678877,53.83,,,,,,,,65,3,Slider,4,2,2,4,2,4,2,4,Strategic,Strategic,109,-0.003,0.02,,,,-0.02,,2,-2,0.972,0.028,26,26,26,26,1,3,5,1,1,2,2.08,-0.39,-0.39,58.1,,,,,,josh jung,emmanuel clase
SL,2024-08-25,92.0,-0.53,6.06,"Clase, Emmanuel",673962,661403,,swinging_strike,,,,,9,Swinging Strike,R,R,R,CLE,TEX,S,,,0,1,2024,0.54,0.57,0.6073644033359163,1.9401988942565385,,,,1,9,Top,,,,,,,1.7319145744129385,-134.04160441066074,-5.947599206032174,6.19308158035073,25.757658695251717,-24.27662714734766,3.64,1.67,,,,93.1,2728,6.6,746595,595978,647304,665926,608070,677587,680757,657041,678877,53.89,,,,,,,,65,2,Slider,4,2,2,4,2,4,2,4,Strategic,Strategic,100,0.005,-0.057,70.1,8.4,,0.057,,2,-2,0.967,0.033,26,26,26,26,1,3,5,1,1,2,2.09,-0.54,-0.54,55.7,27.339985335044094,-28.107743954809123,32.20964943532789,43.61312076532327,51.96945714097883,josh jung,emmanuel clase
FC,2024-08-25,100.7,-0.66,6.12,"Clase, Emmanuel",673962,661403,,foul,,,,,5,Foul,R,R,R,CLE,TEX,S,,,0,0,2024,0.24,1.25,0.0914713742084515,2.3990157880194687,,,,1,9,Top,,,,,,,1.508841685636776,-146.56628684306344,-8.096679919740302,3.22691628036381,30.17834033662559,-12.463403825584912,3.64,1.67,237,77.7,48,102.0,2711,6.7,746595,595978,647304,665926,608070,677587,680757,657041,678877,53.83,,,,,,,,65,1,Cutter,4,2,2,4,2,4,2,4,Strategic,Standard,178,0.004,-0.037,73.8,7.3,,0.037,88.0,2,-2,0.963,0.037,26,26,26,26,1,3,5,1,1,2,0.97,-0.24,-0.24,53.4,9.04310591520165,6.92154142147442,39.580779348729486,37.57266245669009,29.30112856637796,josh jung,emmanuel clase
FC,2024-08-25,99.7,-0.58,6.21,"Clase, Emmanuel",666969,661403,strikeout,called_strike,,,,,9,Adolis García called out on strikes.,R,R,R,CLE,TEX,S,2,,0,2,2024,0.08,1.08,0.672417219942994,1.9445773103101052,,,,0,9,Top,,,,,,,3.275538556754149,-145.1589966250705,-9.0096771295755,0.4692113252038189,28.726386191365005,-15.09422302103308,3.28,1.57,,,,100.9,2602,6.6,746595,595978,647304,665926,608070,677587,680757,657041,678877,53.91,,0.0,0.0,1,0,0,,64,3,Cutter,4,2,2,4,2,4,2,4,Strategic,Standard,187,0.025,-0.163,,,,0.163,,2,-2,0.938,0.062,26,31,26,31,1,3,5,1,1,2,1.18,-0.08,-0.08,50.6,,,,,,adolis garcía,emmanuel clase
