pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FF,2024-05-12,95.4,0.67,5.91,"Beeks, Jalen",673995,656222,field_out,hit_into_play,,,,,1,Davis Wendzel pops out softly to first baseman Elehuris Montero in foul territory.,R,R,L,COL,TEX,X,3,popup,0,2,2024,0.24,1.21,-0.7604453566435473,3.3527422108952707,,,677649,2,9,Top,140.34,194.34,,,,,-4.332339295057086,-138.98171412849646,-3.925870954427777,3.979600559113972,27.38558578303005,-15.713643291908848,3.32,1.51,42,55.3,80,96.8,2235,6.8,746555,553869,660707,663898,641857,678662,687597,686668,595909,53.75,0.003,0.002,0.0,1,0,0,1,70,5,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,154,0.023,-0.17,64.1,5.8,0.003,0.17,88.0,2,-2,0.977,0.023,30,27,31,27,1,0,2,2,1,30,1.26,0.24,-0.24,54.0,5.233825907864544,-3.2207893390746687,27.820058019523405,23.266630373381844,28.724366462798574,davis wendzel,jalen beeks
FC,2024-05-12,86.8,1.0,5.94,"Beeks, Jalen",673995,656222,,foul,,,,,4,Foul,R,R,L,COL,TEX,S,,,0,2,2024,-0.39,0.64,-0.8044329691608632,2.3518071353602013,,,677649,2,9,Top,,,,,,,-3.524399097411653,-126.50145582339866,-3.844133018309403,-3.720683053984328,20.814098399769847,-24.751984126420968,3.32,1.51,13,98.3,-10,87.8,2287,6.4,746555,553869,660707,663898,641857,678662,687597,686668,595909,54.1,,,,,,,,70,4,Cutter,3,1,1,3,1,3,1,3,Standard,Standard,186,0.0,0.0,71.8,7.6,,0.0,98.3,2,-2,0.977,0.023,30,27,31,27,1,0,2,2,1,30,2.33,-0.39,0.39,47.7,22.69414823296024,-31.80088504708052,36.08123721802249,22.35847331127489,46.60696253496079,davis wendzel,jalen beeks
FF,2024-05-12,96.9,0.73,5.89,"Beeks, Jalen",673995,656222,,foul,,,,,12,Foul,R,R,L,COL,TEX,S,,,0,2,2024,0.35,1.15,0.044393785930831,3.4616956815891067,,,677649,2,9,Top,,,,,,,-2.6420799154817947,-141.27676722025305,-3.6900178289538426,5.213233994826868,26.84668417689149,-16.088493771640394,3.32,1.51,142,62.3,29,98.4,2175,6.7,746555,553869,660707,663898,641857,678662,687597,686668,595909,53.82,,,,,,,,70,3,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,148,0.0,0.0,57.4,4.7,,0.0,88.0,2,-2,0.977,0.023,30,27,31,27,1,0,2,2,1,30,1.24,0.35,-0.35,49.4,-9.452446186614829,34.60709701813945,30.10364314192317,31.78173113750244,17.885301159455782,davis wendzel,jalen beeks
FF,2024-05-12,95.2,0.51,6.0,"Beeks, Jalen",673995,656222,,swinging_strike,,,,,1,Swinging Strike,R,R,L,COL,TEX,S,,,0,1,2024,0.54,1.19,-0.4383157686113307,3.245143124730445,,,677649,2,9,Top,,,,,,,-3.731058091499124,-138.82820307347154,-4.410642234215526,7.698684687684199,25.040845610903244,-15.94050467045654,3.32,1.51,,,,96.9,2180,6.7,746555,553869,660707,663898,641857,678662,687597,686668,595909,53.8,,,,,,,,70,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,148,0.008,-0.054,64.4,4.9,,0.054,,2,-2,0.969,0.031,30,27,31,27,1,0,2,2,1,30,1.28,0.54,-0.54,52.5,-14.27188256626104,29.274378358857128,35.91547581998335,28.69074408679025,17.194513993154114,davis wendzel,jalen beeks
CH,2024-05-12,87.5,0.91,6.03,"Beeks, Jalen",673995,656222,,called_strike,,,,,6,Called Strike,R,R,L,COL,TEX,S,,,0,0,2024,1.15,0.47,0.6017335789661932,2.285475986359842,,,677649,2,9,Top,,,,,,,-3.126432745255672,-127.48476666601964,-3.950143904579108,13.26414921177286,23.09498874408555,-26.424922714050183,3.14,1.35,,,,87.8,2060,6.2,746555,553869,660707,663898,641857,678662,687597,686668,595909,54.33,,,,,,,,70,1,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,128,0.005,-0.047,,,,0.047,,2,-2,0.964,0.036,30,27,31,27,1,0,2,2,1,30,2.47,1.15,-1.15,49.5,,,,,,davis wendzel,jalen beeks
FF,2024-05-12,95.2,0.68,5.98,"Beeks, Jalen",677649,656222,single,hit_into_play,,,,,7,Ezequiel Duran singles on a line drive to right fielder Jake Cave.,R,R,L,COL,TEX,X,9,line_drive,0,0,2024,0.53,1.1,-0.4007081928051045,1.4716281341881132,,,,2,9,Top,190.15,109.59,,,,,-4.048976656806699,-138.61238773940806,-8.821803194144508,7.614696724676489,25.11726196761096,-16.330055206479408,3.4,1.59,196,87.0,12,96.7,2330,6.7,746555,553869,660707,663898,641857,678662,687597,686668,595909,53.79,0.75,0.71,0.9,1,1,0,4,69,1,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,146,-0.024,0.333,74.2,6.6,0.867,-0.333,88.0,2,-2,0.988,0.012,30,25,31,25,1,3,2,1,1,1,1.37,0.53,-0.53,54.5,-10.85275364459168,14.762134967718287,35.63140960812143,29.83726464720144,27.357552428311298,ezequiel duran,jalen beeks
FF,2024-05-12,95.9,0.66,5.93,"Beeks, Jalen",543257,656222,grounded_into_double_play,hit_into_play,,,,,5,"Robbie Grossman grounds into a double play, shortstop Ezequiel Tovar to second baseman Brendan Rodgers to first baseman Elehuris Montero. Jonah Heim out at 2nd. Robbie Grossman out at 1st.",R,R,L,COL,TEX,X,6,ground_ball,2,2,2024,0.62,1.05,0.0632982268467715,2.4862764837899505,,,641680,0,9,Top,118.24,156.67,,,,,-3.003759254011493,-139.73513941273703,-6.016158529529661,8.794811010975957,26.834715986239484,-17.329772456427815,3.08,1.43,10,99.4,-13,97.4,2238,6.7,746555,553869,660707,663898,641857,678662,687597,686668,595909,53.76,0.263,0.257,0.0,1,0,0,2,68,5,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,149,0.137,-0.34,66.9,5.8,0.317,0.34,99.4,2,-2,0.851,0.149,30,34,31,35,1,3,2,2,1,5,1.4,0.62,-0.62,53.3,-1.660215019538475,10.029242424858822,34.72954017742456,34.87479046100313,30.96712997533878,robbie grossman,jalen beeks
FF,2024-05-12,93.3,0.83,5.96,"Beeks, Jalen",543257,656222,,called_strike,,,,,3,Called Strike,R,R,L,COL,TEX,S,,,2,1,2024,0.42,1.14,0.5657358782884307,3.061430981176894,,,641680,0,9,Top,,,,,,,-1.5921656370939403,-136.00054173293358,-4.337095966122868,5.514344237180574,24.748514226772656,-17.257127303365326,3.12,1.37,,,,94.6,2111,6.6,746555,553869,660707,663898,641857,678662,687597,686668,595909,53.92,,,,,,,,68,4,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,152,0.019,-0.048,,,,0.048,,2,-2,0.832,0.168,30,34,31,35,1,3,2,2,1,5,1.44,0.42,-0.42,53.2,,,,,,robbie grossman,jalen beeks
FF,2024-05-12,95.2,0.7,5.9,"Beeks, Jalen",543257,656222,,ball,,,,,11,Ball,R,R,L,COL,TEX,B,,,1,1,2024,0.39,1.22,-1.1664343098962875,2.5952621077033986,,,641680,0,9,Top,,,,,,,-5.830055840423907,-138.6365529560422,-5.89797500113762,6.181339532624678,26.346355253211225,-15.303779719916756,3.19,1.4,,,,96.7,2296,6.8,746555,553869,660707,663898,641857,678662,687597,686668,595909,53.71,,,,,,,,68,3,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,150,-0.015,0.043,,,,-0.043,,2,-2,0.847,0.153,30,34,31,35,1,3,2,2,1,5,1.26,0.39,-0.39,54.7,,,,,,robbie grossman,jalen beeks
FF,2024-05-12,95.3,0.66,5.98,"Beeks, Jalen",543257,656222,,called_strike,,,,,12,Called Strike,R,R,L,COL,TEX,S,,,1,0,2024,0.56,1.06,0.4910424620375063,3.4487990636408354,,,641680,0,9,Top,,,,,,,-1.7169641669518567,-138.94140638493403,-3.543398713239619,7.708267761561264,25.617940460887688,-17.74076313393972,3.32,1.44,,,,96.8,2286,6.7,746555,553869,660707,663898,641857,678662,687597,686668,595909,53.83,,,,,,,,68,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,150,0.015,-0.049,,,,0.049,,2,-2,0.832,0.168,30,34,31,35,1,3,2,2,1,5,1.4,0.56,-0.56,54.8,,,,,,robbie grossman,jalen beeks
