pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FC,2024-07-25,94.9,-2.66,5.83,"Robertson, David",650391,502085,strikeout,called_strike,,,,,8,Eloy Jiménez called out on strikes.,R,R,R,TEX,CWS,S,2,,0,2,2024,0.35,1.47,0.112246641663488,1.658218214773695,,,,2,9,Top,,,,,,,6.459746517937833,-137.82106113378154,-8.484680452334352,2.93150689435215,32.37620167623071,-11.76396956073137,3.42,1.66,,,,94.7,2725,6.4,744984,668800,663993,543760,669701,608369,608671,665750,666969,54.1,,0.0,0.0,1,0,0,,66,3,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,190,0.024,-0.157,,,,0.157,,1,-1,0.976,0.024,39,27,39,28,1,3,3,1,4,1,1.09,-0.35,-0.35,46.7,,,,,,eloy jiménez,david robertson
FC,2024-07-25,93.6,-2.7,5.78,"Robertson, David",650391,502085,,called_strike,,,,,9,Called Strike,R,R,R,TEX,CWS,S,,,0,1,2024,0.25,1.45,0.3584766121071057,1.937704324518024,,,,2,9,Top,,,,,,,7.338004733328321,-135.9361749515576,-7.327757246225464,1.4415215668397918,31.27198444442137,-12.79663265834438,3.48,1.67,,,,93.5,2684,6.5,744984,668800,663993,543760,669701,608369,608671,665750,666969,54.03,,,,,,,,66,2,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,195,0.007,-0.058,,,,0.058,,1,-1,0.969,0.031,39,27,39,28,1,3,3,1,4,1,1.18,-0.25,-0.25,45.1,,,,,,eloy jiménez,david robertson
FC,2024-07-25,92.9,-2.6,5.92,"Robertson, David",650391,502085,,swinging_strike,,,,,2,Swinging Strike,R,R,R,TEX,CWS,S,,,0,0,2024,0.47,1.3,0.2179781005056777,3.339237477730633,,,,2,9,Top,,,,,,,6.172555164815391,-135.10099076932943,-3.612441147624327,4.280944218229761,32.51635565686679,-15.72161839877745,3.44,1.63,,,,92.4,2659,6.3,744984,668800,663993,543760,669701,608369,608671,665750,666969,54.23,,,,,,,,66,1,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,181,0.006,-0.041,74.6,6.0,,0.041,,1,-1,0.963,0.037,39,27,39,28,1,3,3,1,4,1,1.37,-0.47,-0.47,50.8,-2.2060184964334164,22.656035060893736,18.92149529061274,40.81223122791778,19.034064417613383,eloy jiménez,david robertson
CH,2024-07-25,87.0,-2.79,5.78,"Robertson, David",643217,502085,field_out,hit_into_play,,,,,13,Andrew Benintendi flies out to left fielder Travis Jankowski.,R,L,R,TEX,CWS,X,7,fly_ball,1,1,2024,-1.29,0.45,-0.732766216547426,1.2118261825291,,,,1,9,Top,74.17,94.16,,,,,7.577804830963058,-126.48269316307696,-5.729989659290433,-15.38018210596978,25.05890979203801,-26.310235362778897,3.35,1.54,290,83.5,32,87.1,2148,6.4,744984,668800,663993,543760,669701,608369,608671,665750,666969,54.13,0.024,0.027,0.0,1,0,0,3,65,3,Changeup,2,1,1,2,1,2,1,2,Standard,Standard,220,0.052,-0.243,56.1,7.2,0.042,0.243,88.0,1,-1,0.911,0.0889999999999999,39,29,39,30,1,0,3,1,4,1,2.55,1.29,-1.29,45.5,13.599637377952424,7.799492169350709,40.72444705337631,39.42247220194684,28.801201824540197,andrew benintendi,david robertson
FC,2024-07-25,93.2,-2.78,5.86,"Robertson, David",643217,502085,,ball,,,,,11,Ball,R,L,R,TEX,CWS,B,,,0,1,2024,0.34,1.27,-1.0255626764201078,2.607413387517452,,,,1,9,Top,,,,,,,3.753923769080605,-135.66235210310947,-5.377449643830322,3.399514483517984,30.64205870343881,-15.463348143919497,3.38,1.63,,,,93.1,2619,6.3,744984,668800,663993,543760,669701,608369,608671,665750,666969,54.2,,,,,,,,65,2,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,186,-0.005,0.024,,,,-0.024,,1,-1,0.916,0.0839999999999999,39,29,39,30,1,0,3,1,4,1,1.35,-0.34,0.34,43.0,,,,,,andrew benintendi,david robertson
FC,2024-07-25,93.0,-2.75,5.91,"Robertson, David",643217,502085,,foul,,,,,1,Foul,R,L,R,TEX,CWS,S,,,0,0,2024,0.06,1.52,-0.4635160247439491,2.7982167193747225,,,,1,9,Top,,,,,,,5.711717376631499,-135.22536753202198,-5.516409779051916,-0.4557567080860655,29.440518447253226,-12.509777553935306,3.35,1.54,245,87.6,54,92.9,2654,6.3,744984,668800,663993,543760,669701,608369,608671,665750,666969,54.25,,,,,,,,65,1,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,192,0.008,-0.037,67.6,6.5,,0.037,88.0,1,-1,0.908,0.0919999999999999,39,29,39,30,1,0,3,1,4,1,1.12,-0.06,0.06,43.9,13.32213166579896,10.424468814924252,31.959695393131916,36.41223292630298,26.274210618208052,andrew benintendi,david robertson
SL,2024-07-25,85.8,-2.72,5.77,"Robertson, David",683734,502085,field_out,hit_into_play,,,,,5,Andrew Vaughn flies out to shortstop Corey Seager.,R,R,R,TEX,CWS,X,6,fly_ball,1,1,2024,0.85,1.11,0.2165701802363101,2.5605010639699524,,,,0,9,Top,90.06,132.79,,,,,5.235224211492725,-124.80805105117832,-3.5599428800071324,7.736861397528852,26.435585073307323,-20.02931304117644,3.24,1.52,190,81.4,59,85.6,2576,6.3,744984,668800,663993,543760,669701,608369,608671,665750,666969,54.21,0.026,0.029,0.0,1,0,0,3,64,3,Slider,2,1,1,2,1,2,1,2,Standard,Standard,108,0.069,-0.243,74.1,7.8,0.039,0.243,88.0,1,-1,0.839,0.161,39,26,39,26,1,3,3,1,4,1,2.0,-0.85,-0.85,46.7,17.680880986741176,-14.464002612674848,25.13782116480496,42.68185697760264,41.342710975059816,andrew vaughn,david robertson
SL,2024-07-25,85.7,-2.64,5.77,"Robertson, David",683734,502085,,ball,,,,,14,Ball,R,R,R,TEX,CWS,B,,,0,1,2024,0.58,0.7,1.145016918228363,0.581566764357166,,,,0,9,Top,,,,,,,7.77390236902381,-124.57955291531408,-7.444506063261228,4.569467843383208,23.35396640744606,-23.567961494461866,3.33,1.61,,,,86.0,2685,6.4,744984,668800,663993,543760,669701,608369,608671,665750,666969,54.14,,,,,,,,64,2,Slider,2,1,1,2,1,2,1,2,Standard,Standard,103,-0.007,0.025,,,,-0.025,,1,-1,0.846,0.154,39,26,39,26,1,3,3,1,4,1,2.39,-0.58,-0.58,45.4,,,,,,andrew vaughn,david robertson
FC,2024-07-25,92.4,-2.65,5.91,"Robertson, David",683734,502085,,foul,,,,,6,Foul,R,R,R,TEX,CWS,S,,,0,0,2024,0.37,1.33,0.3644087683966325,2.5714147070291107,,,,0,9,Top,,,,,,,6.870220696181936,-134.3862691406692,-5.5625557389219065,2.9684528924066687,30.04081644581901,-15.096865933167782,3.24,1.52,217,75.5,25,92.3,2665,6.3,744984,668800,663993,543760,669701,608369,608671,665750,666969,54.17,,,,,,,,64,1,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,190,0.011,-0.037,72.3,7.4,,0.037,88.0,1,-1,0.835,0.165,39,26,39,26,1,3,3,1,4,1,1.35,-0.37,-0.37,50.4,8.419008958623696,4.620163209192723,27.284352727765555,46.405601059553504,26.922130922854137,andrew vaughn,david robertson
FF,2024-07-25,97.7,-2.43,5.73,"Kopech, Michael",543257,656629,strikeout,called_strike,,,,,3,Robbie Grossman called out on strikes.,R,L,R,TEX,CWS,S,2,,2,2,2024,-0.92,1.58,0.5312909111377286,2.5212961537268743,,669701,663993,2,8,Bot,,,,,,,10.17782224454578,-141.6839027487685,-6.7664439947470365,-14.89394251353487,35.0027793346397,-9.486962890198056,2.91,1.35,,,,97.9,2661,6.8,744984,686676,683734,681460,669222,657557,502054,673357,667452,53.71,,0.0,0.0,1,0,0,,63,6,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,212,-0.024,-0.204,,,,0.204,,1,1,0.859,0.859,28,34,28,35,1,3,3,1,6,1,0.84,0.92,-0.92,46.7,,,,,,robbie grossman,michael kopech
