pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
SI,2024-06-04,96.1,-1.64,5.73,"Foley, Jason",694671,671345,field_out,hit_into_play,,,,,11,"Wyatt Langford grounds out softly, pitcher Jason Foley to first baseman Mark Canha.",R,R,R,TEX,DET,X,1,ground_ball,2,2,2024,-1.44,0.64,-1.5480609078742027,2.9772567788000384,,,677649,2,9,Bot,123.58,178.1,,,,,3.5299622364777807,-139.87177726743954,-3.139449081236326,-19.636435312858996,32.984792021045976,-23.28393565152936,3.36,1.55,5,42.2,-28,96.3,1960,6.5,745010,608348,592192,690993,663837,656716,668731,682985,672761,54.0,0.266,0.274,0.0,1,0,0,1,69,5,Sinker,1,3,1,3,3,1,1,3,Standard,Strategic,233,-0.046,-0.234,60.9,4.8,0.299,0.234,88.0,-2,-2,0.046,0.046,28,22,29,23,1,3,2,1,4,1,1.84,1.44,1.44,28.6,-14.352860469339566,10.218043088583974,34.44199554081388,20.65227611561092,19.297564440246283,wyatt langford,jason foley
SL,2024-06-04,87.9,-1.24,5.87,"Foley, Jason",694671,671345,,blocked_ball,,,,,14,Ball In Dirt,R,R,R,TEX,DET,B,,,1,2,2024,0.09,0.18,1.8879720133970217,0.5022448578297372,,,677649,2,9,Bot,,,,,,,7.421844632588986,-127.56369877697072,-7.200267186185345,-0.7102881987491408,29.178802420450552,-28.820405264900632,3.36,1.56,,,,87.9,2216,6.7,745010,608348,592192,690993,663837,656716,668731,682985,672761,53.83,,,,,,,,69,4,Slider,1,3,1,3,3,1,1,3,Standard,Strategic,106,0.0,0.038,,,,-0.038,,-2,-2,0.046,0.046,28,22,29,23,1,3,2,1,4,1,2.82,-0.09,-0.09,36.5,,,,,,wyatt langford,jason foley
SI,2024-06-04,97.1,-1.28,5.9,"Foley, Jason",694671,671345,,ball,,,,,14,Ball,R,R,R,TEX,DET,B,,,0,2,2024,-1.21,0.91,2.397171962434121,1.024936994728184,,,677649,2,9,Bot,,,,,,,12.609274035792764,-140.65538168375076,-9.575419033200516,-18.956958170479982,31.774822925401743,-17.92611608169282,3.45,1.64,,,,97.0,2002,6.5,745010,608348,592192,690993,663837,656716,668731,682985,672761,54.04,,,,,,,,69,3,Sinker,1,3,1,3,3,1,1,3,Standard,Strategic,235,0.0,0.027,,,,-0.027,,-2,-2,0.046,0.046,28,22,29,23,1,3,2,1,4,1,1.53,1.21,1.21,33.7,,,,,,wyatt langford,jason foley
SL,2024-06-04,87.9,-1.5,5.89,"Foley, Jason",694671,671345,,called_strike,,,,,9,Called Strike,R,R,R,TEX,DET,S,,,0,1,2024,0.25,0.0,0.7429686280232172,1.940807590679824,,,677649,2,9,Bot,,,,,,,4.9342678781020055,-127.88452181971957,-3.414566341597087,1.655422777339875,28.609432287324854,-31.680100207197373,3.41,1.74,,,,88.2,2252,6.6,745010,608348,592192,690993,663837,656716,668731,682985,672761,53.85,,,,,,,,69,2,Slider,1,3,1,3,3,1,1,3,Standard,Strategic,91,0.0,-0.054,,,,0.054,,-2,-2,0.046,0.046,28,22,29,23,1,3,2,1,4,1,2.98,-0.25,-0.25,35.9,,,,,,wyatt langford,jason foley
SL,2024-06-04,88.0,-1.59,5.91,"Foley, Jason",694671,671345,,called_strike,,,,,5,Called Strike,R,R,R,TEX,DET,S,,,0,0,2024,0.13,0.15,-0.0255096412757583,2.235586454588185,,,677649,2,9,Bot,,,,,,,3.547438102566645,-128.0600537167623,-3.0959887581410754,0.6827903143131794,28.33135790317311,-30.100498417188877,3.42,1.7,,,,88.5,2243,6.7,745010,608348,592192,690993,663837,656716,668731,682985,672761,53.77,,,,,,,,69,1,Slider,1,3,1,3,3,1,1,3,Standard,Strategic,108,0.0,-0.047,,,,0.047,,-2,-2,0.046,0.046,28,22,29,23,1,3,2,1,4,1,2.81,-0.13,-0.13,35.7,,,,,,wyatt langford,jason foley
FC,2024-06-04,87.9,1.36,6.06,"Holton, Tyler",677649,663947,single,hit_into_play,,,,,11,Ezequiel Duran singles on a fly ball to center fielder Riley Greene. Josh Smith scores.,R,R,L,TEX,DET,X,8,fly_ball,2,1,2024,-0.3,0.64,-0.8991160305162003,3.06494498418171,,669701,,2,9,Bot,114.68,109.9,,,,,-4.890564233440386,-127.93768955357476,-2.482676195427579,-2.2657870413979717,26.013881409933774,-24.86870029501215,3.32,1.57,223,80.2,52,88.7,2287,6.7,745010,608348,592192,690993,663837,656716,668731,682985,672761,53.77,0.029,0.028,0.9,1,1,0,3,68,4,Cutter,0,3,0,3,3,1,1,3,Standard,Standard,178,0.027,0.661,68.0,6.5,0.041,-0.661,88.0,-3,-3,0.019,0.019,28,25,28,25,1,3,2,1,3,1,2.31,-0.3,0.3,51.4,4.168639655563201,-7.668834412379367,20.37655335908067,23.488287887581777,31.22236879401371,ezequiel duran,tyler holton
CH,2024-06-04,83.8,1.75,5.81,"Holton, Tyler",677649,663947,,ball,,,,,12,Ball,R,R,L,TEX,DET,B,,,1,1,2024,1.19,0.33,1.4961723913157725,3.144396919937148,,669701,,2,9,Bot,,,,,,,-2.968447385507623,-122.00683189346135,-0.3742065236573259,12.461529088978878,25.687515734590047,-29.01637541998127,3.4,1.7,,,,84.1,1508,6.6,745010,608348,592192,690993,663837,656716,668731,682985,672761,53.89,,,,,,,,68,3,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,101,0.003,0.039,,,,-0.039,,-3,-3,0.016,0.016,28,25,28,25,1,3,2,1,3,1,2.93,1.19,-1.19,38.2,,,,,,ezequiel duran,tyler holton
FC,2024-06-04,87.2,1.36,5.99,"Holton, Tyler",677649,663947,,foul,,,,,11,Foul,R,R,L,TEX,DET,S,,,1,0,2024,-0.38,0.5,-1.0907426891709189,2.6224991195401284,,669701,,2,9,Bot,,,,,,,-5.165437845240787,-126.97976641904611,-3.038143684510432,-3.163819203962988,23.709344459718043,-26.371792341502758,3.32,1.57,83,69.0,15,88.3,2174,6.7,745010,608348,592192,690993,663837,656716,668731,682985,672761,53.79,,,,,,,,68,2,Cutter,0,3,0,3,3,0,0,3,Standard,Standard,188,-0.003,-0.043,77.0,6.7,,0.043,88.0,-3,-3,0.019,0.019,28,25,28,25,1,3,2,1,3,1,2.47,-0.38,0.38,52.3,-0.0595624244150747,2.537196928645854,32.07461305257964,21.4014909048759,30.917256297427016,ezequiel duran,tyler holton
FC,2024-06-04,89.4,1.27,6.09,"Holton, Tyler",677649,663947,,ball,,,,,11,Ball,R,R,L,TEX,DET,B,,,0,0,2024,-0.16,0.64,-1.5963094521889485,3.2201317330517747,,669701,,2,9,Bot,,,,,,,-6.720432632082148,-130.1398061661728,-2.4435402966271784,-0.4779812900922979,25.717649316457813,-24.59536434494968,3.28,1.59,,,,89.4,2202,6.1,745010,608348,592192,690993,663837,656716,668731,682985,672761,54.37,,,,,,,,68,1,Cutter,0,3,0,3,3,0,0,3,Standard,Standard,172,0.003,0.014,,,,-0.014,,-3,-3,0.016,0.016,28,25,28,25,1,3,2,1,3,1,2.2,-0.16,0.16,52.3,,,,,,ezequiel duran,tyler holton
CH,2024-06-04,85.0,1.6,5.79,"Holton, Tyler",543257,663947,field_out,hit_into_play,,,,,8,"Robbie Grossman grounds out, shortstop Zach McKinstry to first baseman Mark Canha.",R,R,L,TEX,DET,X,6,ground_ball,1,1,2024,1.13,0.39,-0.0602442179754134,1.688754411903497,,669701,,1,9,Bot,120.52,143.62,,,,,-6.17938772754985,-123.66827151747272,-4.08371834350214,12.822827990898803,24.71710162054901,-27.567531506536422,3.07,1.41,17,99.5,-5,85.3,1731,6.5,745010,608348,592192,690993,663837,656716,668731,682985,672761,53.99,0.271,0.32,0.0,1,0,0,2,67,3,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,107,-0.034,-0.243,69.2,6.3,0.273,0.243,99.5,-3,-3,0.05,0.05,28,34,28,35,1,0,2,1,3,3,2.77,1.13,-1.13,47.4,-5.884140218576197,0.8577817990224669,42.96337485065391,36.14356950302398,35.801871927711446,robbie grossman,tyler holton
