pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
SI,2024-05-22,98.6,-2.04,6.45,"García, Luis",676694,472610,field_out,hit_into_play,,,,,11,"Jake Meyers grounds out, shortstop Kyren Paris to first baseman Nolan Schanuel.",R,R,R,HOU,LAA,X,6,ground_ball,0,2,2024,-1.18,1.01,-0.4274854174458231,3.40072072655026,,,,2,9,Bot,108.92,162.23,,,,,7.140705299792118,-143.25268905956233,-5.151989476645117,-17.882198797323802,36.078525521739934,-17.304900519871815,3.27,1.52,7,66.9,-24,98.6,2343,6.6,746386,642136,694384,641645,650859,677347,621493,666160,666176,53.93,0.026,0.084,0.0,1,0,0,2,67,3,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,208,-0.047,-0.157,65.1,6.2,0.026,0.157,88.0,-1,-1,0.047,0.047,37,28,37,28,1,3,1,1,3,2,1.36,1.18,1.18,49.0,14.448983654530776,12.660099214186491,22.290466519803104,34.878351639173715,24.54801060886756,jake meyers,luis garcía
ST,2024-05-22,82.2,-2.39,6.28,"García, Luis",676694,472610,,swinging_strike,,,,,9,Swinging Strike,R,R,R,HOU,LAA,S,,,0,1,2024,0.96,0.56,0.5814315183156228,1.406304816169988,,,,2,9,Bot,,,,,,,4.881486056446072,-119.5893384090332,-5.577662473571819,8.23183430111563,24.22455344048409,-25.94110345325661,3.27,1.52,,,,82.4,2528,6.5,746386,642136,694384,641645,650859,677347,621493,666160,666176,53.96,,,,,,,,67,2,Sweeper,1,2,1,2,2,1,1,2,Standard,Standard,70,0.0,-0.058,75.5,7.8,,0.058,,-1,-1,0.047,0.047,37,28,37,28,1,3,1,1,3,2,2.83,-0.96,-0.96,47.5,27.773293603876084,-18.012197267337523,36.268235625211496,46.804741378005424,53.88864929226152,jake meyers,luis garcía
SI,2024-05-22,97.5,-2.08,6.56,"García, Luis",676694,472610,,swinging_strike,,,,,11,Swinging Strike,R,R,R,HOU,LAA,S,,,0,0,2024,-1.08,1.15,-0.5351108061919991,4.087355995037048,,,,2,9,Bot,,,,,,,6.6478116518306845,-141.73057774535127,-3.7308690624625975,-16.099191234651993,35.5142192611716,-16.000883981840662,3.27,1.52,,,,97.4,2418,6.5,746386,642136,694384,641645,650859,677347,621493,666160,666176,54.01,,,,,,,,67,1,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,202,0.0,-0.041,41.0,5.3,,0.041,,-1,-1,0.047,0.047,37,28,37,28,1,3,1,1,3,2,1.27,1.08,1.08,48.9,5.774988359252241,25.824130627534217,20.412153609020272,33.95969114338948,16.69530358413313,jake meyers,luis garcía
FS,2024-05-22,88.6,-1.98,6.45,"García, Luis",572138,472610,strikeout,swinging_strike,,,,,13,Jon Singleton strikes out swinging.,R,L,R,HOU,LAA,S,2,,2,2,2024,-1.23,0.66,-0.0753663879462789,0.8623572353413054,,,,1,9,Bot,,,,,,,7.218722699950849,-128.5116933913444,-8.882603599556337,-15.191427487706385,28.781572260776127,-23.04906113570288,3.2,1.44,,,,88.1,1446,6.3,746386,642136,694384,641645,650859,677347,621493,666160,666176,54.16,,0.0,0.0,1,0,0,,66,5,Split-Finger,1,2,1,2,2,1,1,2,Infield shade,Standard,216,-0.061,-0.225,69.4,8.0,,0.225,,-1,-1,0.108,0.108,37,32,37,33,1,3,1,1,3,2,2.28,1.23,-1.23,52.5,23.97203181413048,-21.534268196624907,39.63838301573618,38.65634108668043,45.26983329978067,jon singleton,luis garcía
SI,2024-05-22,96.8,-2.19,6.43,"García, Luis",572138,472610,,ball,,,,,11,Ball,R,L,R,HOU,LAA,B,,,1,2,2024,-1.22,1.0,-1.536977945174077,2.743857301989631,,,,1,9,Bot,,,,,,,4.516960823914383,-140.72052825888494,-6.482528742136092,-17.151954362388953,36.73497443663776,-17.63499458958119,3.2,1.44,,,,96.3,2341,6.4,746386,642136,694384,641645,650859,677347,621493,666160,666176,54.11,,,,,,,,66,4,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,210,0.01,0.043,,,,-0.043,,-1,-1,0.098,0.098,37,32,37,33,1,3,1,1,3,2,1.47,1.22,-1.22,44.9,,,,,,jon singleton,luis garcía
SI,2024-05-22,98.3,-2.06,6.43,"García, Luis",572138,472610,,ball,,,,,11,Ball,R,L,R,HOU,LAA,B,,,0,2,2024,-1.07,1.13,-1.734216107990291,2.8424244292886627,,,,1,9,Bot,,,,,,,3.3704430105897027,-142.9371117439251,-6.829375940954716,-15.34528400040425,36.83890823180203,-15.240775964778411,3.24,1.44,,,,98.0,2312,6.4,746386,642136,694384,641645,650859,677347,621493,666160,666176,54.06,,,,,,,,66,3,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,208,0.007,0.02,,,,-0.02,,-1,-1,0.091,0.091,37,32,37,33,1,3,1,1,3,2,1.25,1.07,-1.07,46.8,,,,,,jon singleton,luis garcía
FS,2024-05-22,85.9,-2.17,6.47,"García, Luis",572138,472610,,called_strike,,,,,4,Called Strike,R,L,R,HOU,LAA,S,,,0,1,2024,-0.86,0.45,-0.8069260296073746,2.597590655750876,,,,1,9,Bot,,,,,,,4.963717561030237,-124.93344730417569,-3.821215971059064,-9.982614091663365,25.99865393197638,-26.83681463930301,3.24,1.44,,,,85.7,1395,6.3,746386,642136,694384,641645,650859,677347,621493,666160,666176,54.22,,,,,,,,66,2,Split-Finger,1,2,1,2,2,1,1,2,Infield shade,Standard,212,-0.014,-0.057,,,,0.057,,-1,-1,0.105,0.105,37,32,37,33,1,3,1,1,3,2,2.65,0.86,-0.86,53.5,,,,,,jon singleton,luis garcía
ST,2024-05-22,82.1,-2.49,6.25,"García, Luis",572138,472610,,called_strike,,,,,5,Called Strike,R,L,R,HOU,LAA,S,,,0,0,2024,0.96,0.12,-0.0742789330383649,2.448993641305896,,,,1,9,Bot,,,,,,,3.631113467015199,-119.52525428414812,-2.246620737400293,8.358068326588366,24.68726738262084,-30.82733194556027,3.24,1.44,,,,82.1,2571,6.4,746386,642136,694384,641645,650859,677347,621493,666160,666176,54.1,,,,,,,,66,1,Sweeper,1,2,1,2,2,1,1,2,Infield shade,Standard,74,-0.01,-0.037,,,,0.037,,-1,-1,0.115,0.115,37,32,37,33,1,3,1,1,3,2,3.28,-0.96,0.96,41.5,,,,,,jon singleton,luis garcía
SI,2024-05-22,98.2,-2.02,6.44,"García, Luis",665161,472610,strikeout,swinging_strike,,,,,13,Jeremy Peña strikes out swinging.,R,R,R,HOU,LAA,S,2,,1,2,2024,-1.25,0.97,-0.473346423093185,1.4559393214980774,,,,0,9,Bot,,,,,,,7.102306485680263,-142.46959649816728,-10.198074092834077,-18.70123077665964,35.0401507183641,-16.749361235708303,3.58,1.7,,,,98.0,2283,6.5,746386,642136,694384,641645,650859,677347,621493,666160,666176,53.97,,0.0,0.0,1,0,0,,65,4,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,209,-0.067,-0.186,73.6,7.9,,0.186,,-1,-1,0.182,0.182,37,26,37,27,1,3,1,1,3,2,1.43,1.25,1.25,48.1,10.389453121187104,-11.519614176473691,38.05929464533892,30.09766255874546,25.665268065191157,jeremy peña,luis garcía
ST,2024-05-22,84.5,-2.34,6.2,"García, Luis",665161,472610,,ball,,,,,14,Ball,R,R,R,HOU,LAA,B,,,0,2,2024,0.98,0.21,2.7116298764790114,-0.0407997671107946,,,,0,9,Bot,,,,,,,9.844787495645583,-122.4943395446944,-8.5871432335217,7.856558764462898,24.518742314647,-28.41509778595021,3.49,1.7,,,,84.6,2613,6.6,746386,642136,694384,641645,650859,677347,621493,666160,666176,53.88,,,,,,,,65,3,Sweeper,1,2,1,2,2,1,1,2,Standard,Standard,74,0.009,0.023,,,,-0.023,,-1,-1,0.173,0.173,37,26,37,27,1,3,1,1,3,2,3.01,-0.98,-0.98,41.3,,,,,,jeremy peña,luis garcía
