pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FC,2024-04-09,89.8,-3.56,5.76,"Suero, Wander",521692,593833,single,hit_into_play,,,,,6,Salvador Perez singles on a sharp line drive to center fielder Jake Meyers. Garrett Hampson scores.,R,R,R,KC,HOU,X,8,line_drive,0,1,2024,0.2,1.52,0.7424383244637325,2.7422341229741285,,641658,,0,10,Bot,78.97,49.23,,,,,10.412657637970042,-130.40856039017908,-4.75609098520654,0.1234917906644092,27.24740791674835,-14.029835851578474,3.64,1.74,353,109.0,18,91.3,2588,7.3,746326,673237,605170,514888,608324,665161,670541,676694,676801,53.19,0.6288095238095239,1.0173333333333334,0.9,1,1,0,6,85,2,Cutter,3,3,3,3,3,4,4,3,Infield shade,Standard,184,0.21,0.552,73.3,8.0,1.8623809523809527,-0.552,109.0,0,0,0.79,0.79,32,34,33,34,1,4,,2,,1,1.32,-0.2,-0.2,41.7,13.804714426060832,-9.636341093966866,29.455242220794887,44.20557465442681,34.761649978897026,salvador pérez,wander suero
FC,2024-04-09,89.8,-3.35,5.72,"Suero, Wander",521692,593833,,called_strike,,,,,8,Called Strike,R,R,R,KC,HOU,S,,,0,0,2024,0.0,1.53,-0.1351190825558686,1.6676232213345743,,641658,,0,10,Bot,,,,,,,8.039790371469989,-130.38518418022304,-7.370063273107905,-1.6145844611683302,26.920049726298046,-13.309067530898302,3.61,1.6,,,,90.9,2492,7.0,746326,673237,605170,514888,608324,665161,670541,676694,676801,53.45,,,,,,,,85,1,Cutter,3,3,3,3,3,3,3,3,Infield shade,Standard,202,-0.015,-0.035,,,,0.035,,0,0,0.805,0.805,32,34,33,34,1,4,,2,,1,1.3,0.0,0.0,37.7,,,,,,salvador pérez,wander suero
CU,2024-04-09,83.9,-2.41,5.89,"McArthur, James",676694,663704,strikeout,swinging_strike_blocked,,,,,14,Jake Meyers strikes out swinging.,R,R,R,KC,HOU,S,2,,0,2,2024,1.05,-0.95,1.6545630737478052,0.0010044841440821,673237,,665161,2,10,Top,,,,,,,7.35556232264248,-121.81065201140837,-5.227801615125308,8.646702490199527,27.578202574962244,-40.584310162913496,3.24,1.54,,,,83.8,2779,6.7,746326,521692,686469,624428,672580,677951,680118,664728,592669,53.79,,0.0,0.0,1,0,0,,84,3,Curveball,3,3,3,3,3,3,3,3,Standard,Standard,39,0.148,-0.158,,,,0.158,,0,0,0.657,0.3429999999999999,27,28,28,28,1,0,2,2,4,1,4.25,-1.05,-1.05,37.8,,,,,,jake meyers,james mcarthur
SL,2024-04-09,87.4,-2.6,5.75,"McArthur, James",676694,663704,,swinging_strike,,,,,3,Swinging Strike,R,R,R,KC,HOU,S,,,0,1,2024,-0.03,0.33,0.5921370799681254,2.851458126495914,673237,,665161,2,10,Top,,,,,,,7.816806816622489,-127.1584330339102,-1.525408963503579,-1.990947419010528,26.383105096499573,-28.487944354504915,3.24,1.54,,,,88.0,2296,6.7,746326,521692,686469,624428,672580,677951,680118,664728,592669,53.82,,,,,,,,84,2,Slider,3,3,3,3,3,3,3,3,Standard,Standard,289,-0.006,-0.082,72.7,7.5,,0.082,,0,0,0.663,0.3369999999999999,27,28,28,28,1,0,2,2,4,1,2.66,0.03,0.03,34.7,27.657641220287847,-29.154126639253203,20.164634166857304,47.59085581916066,44.79816750823081,jake meyers,james mcarthur
SI,2024-04-09,94.2,-2.41,5.92,"McArthur, James",676694,663704,,foul,,,,,4,Foul,R,R,R,KC,HOU,S,,,0,0,2024,-1.47,0.57,-0.5404688433344236,2.509693755213825,673237,,665161,2,10,Top,,,,,,,8.210852579313014,-136.8725939396573,-4.439765576866994,-20.34896505862702,30.391438238871423,-24.14514661360316,3.24,1.54,4,74.9,-29,94.9,2195,6.8,746326,521692,686469,624428,672580,677951,680118,664728,592669,53.7,,,,,,,,84,1,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,222,0.162,-0.046,70.3,6.9,,0.046,88.0,0,0,0.501,0.499,27,28,28,28,1,0,2,2,4,1,2.0,1.47,1.47,33.2,15.503711926531514,-8.031421478358862,30.20468438994911,33.97229598935549,31.160190689042125,jake meyers,james mcarthur
SI,2024-04-09,94.6,-2.45,5.94,"McArthur, James",665161,663704,single,hit_into_play,,,,,4,Jeremy Peña singles on a ground ball to shortstop Bobby Witt Jr. Yainer Diaz to 3rd.,R,R,R,KC,HOU,X,6,ground_ball,1,1,2024,-1.51,0.6,-0.824015757733219,2.811670713860209,,673237,,2,10,Top,100.27,151.21,,,,,7.696753472734362,-137.6240057991593,-3.8482217730137713,-20.8581607761853,30.406482590308173,-23.942253171573352,3.61,1.77,119,79.2,9,95.6,2316,6.9,746326,521692,686469,624428,672580,677951,680118,664728,592669,53.62,0.384,0.366,0.9,1,1,0,4,83,3,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,221,-0.035,0.7,69.0,7.2,0.446,-0.7,88.0,0,0,0.702,0.298,27,26,28,27,1,4,2,1,4,1,1.95,1.51,1.51,34.5,7.639454783459724,-3.510833743806319,32.021842235657694,28.837393279564346,22.674757962136624,jeremy peña,james mcarthur
SI,2024-04-09,94.7,-2.36,5.99,"McArthur, James",665161,663704,,foul,,,,,1,Foul,R,R,R,KC,HOU,S,,,1,0,2024,-1.44,0.85,-0.7950605888241666,3.341150521818798,,673237,,2,10,Top,,,,,,,7.3787306571132545,-137.77390244873592,-3.1759302426845264,-20.02952544939268,30.339306351912374,-20.773143550794416,3.61,1.77,129,57.2,58,95.6,2152,6.8,746326,521692,686469,624428,672580,677951,680118,664728,592669,53.69,,,,,,,,83,2,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,228,-0.001,-0.043,64.0,6.3,,0.043,88.0,0,0,0.703,0.297,27,26,28,27,1,4,2,1,4,1,1.69,1.44,1.44,34.6,-0.9905717929257284,15.893684801175588,28.578327417044637,28.939048510212537,13.617982216906324,jeremy peña,james mcarthur
CU,2024-04-09,82.7,-2.41,5.92,"McArthur, James",665161,663704,,ball,,,,,14,Ball,R,R,R,KC,HOU,B,,,0,0,2024,1.09,-0.99,0.790558524415201,0.9317881714304748,,673237,,2,10,Top,,,,,,,5.200740587361458,-120.37256857147342,-2.896546970015863,9.475340366807382,25.14866144990059,-41.37470027997367,3.67,1.78,,,,83.0,2800,6.6,746326,521692,686469,624428,672580,677951,680118,664728,592669,53.88,,,,,,,,83,1,Curveball,3,3,3,3,3,3,3,3,Standard,Standard,46,0.17,0.014,,,,-0.014,,0,0,0.533,0.4669999999999999,27,26,28,27,1,4,2,1,4,1,4.34,-1.09,-1.09,36.0,,,,,,jeremy peña,james mcarthur
SI,2024-04-09,93.4,-2.56,5.91,"McArthur, James",605170,663704,strikeout,foul_tip,,,,,11,Victor Caratini strikes out on a foul tip.,R,L,R,KC,HOU,S,2,,2,2,2024,-1.4,0.61,-0.2588824008914967,3.569671812799747,,673237,,1,10,Top,,,,,,,9.07872702119128,-135.80625347221854,-1.6622237553512238,-19.235751317448297,27.98153111930716,-24.425130167660758,3.36,1.52,,,,94.4,2154,6.8,746326,521692,686469,624428,672580,677951,680118,664728,592669,53.7,,0.0,0.0,1,0,0,,82,6,Sinker,3,3,3,3,3,3,3,3,Infield shade,Standard,223,0.086,-0.217,72.5,6.2,,0.217,,0,0,0.619,0.381,27,30,28,31,1,0,2,1,4,2,1.99,1.4,-1.4,36.9,10.091999242574277,7.574264948296081,30.967447463241463,34.068901195076855,26.41790886871933,víctor caratini,james mcarthur
CU,2024-04-09,84.4,-2.61,5.92,"McArthur, James",605170,663704,,foul,,,,,12,Foul,R,L,R,KC,HOU,S,,,2,2,2024,1.16,-0.59,0.8521464121880576,2.5542591802252854,,673237,,1,10,Top,,,,,,,5.7746290248853125,-122.84742143205516,-0.2626058149573593,10.494210827730566,25.211296924959065,-38.328511907137255,3.36,1.52,,,,84.7,2798,6.6,746326,521692,686469,624428,672580,677951,680118,664728,592669,53.92,,,,,,,,82,5,Curveball,3,3,3,3,3,3,3,3,Infield shade,Standard,46,0.0,0.0,66.8,6.8,,0.0,,0,0,0.619,0.381,27,30,28,31,1,0,2,1,4,2,3.8,-1.16,1.16,32.5,6.5032383347068405,-5.38837563513226,31.11371406682889,20.16885577710488,33.54888714533502,víctor caratini,james mcarthur
