pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
SI,2024-07-27,94.7,-2.77,6.43,"Treinen, Blake",608324,595014,home_run,hit_into_play,,,,,1,Alex Bregman homers (14) on a fly ball to left field.,R,R,R,HOU,LAD,X,,fly_ball,1,0,2024,-1.39,0.55,-0.4303839000063927,2.9797120802783708,,,,0,9,Bot,30.23,64.17,,,,,9.053239918784568,-137.65272812780387,-4.492025738012885,-19.67887435098729,30.621574545857325,-24.3253539899928,3.39,1.6,407,101.9,33,93.3,2359,5.5,746362,669257,678246,624415,571771,605113,606192,681546,681624,54.96,0.5663793103448276,1.1390000000000002,2.0,1,0,3,6,80,2,Sinker,6,6,6,6,6,7,7,6,Standard,Standard,227,0.354,1.076,73.4,6.9,2.2348275862068965,-1.076,101.9,0,0,0.646,0.646,36,30,36,30,1,4,2,1,3,1,2.0,1.39,1.39,34.0,17.264863197865406,-7.71592739227026,22.162074265278186,30.855584048184824,33.41376607156353,alex bregman,blake treinen
ST,2024-07-27,83.2,-2.95,6.33,"Treinen, Blake",608324,595014,,ball,,,,,14,Ball,R,R,R,HOU,LAD,B,,,0,0,2024,1.19,-0.28,0.5216051180697645,1.1963760425148775,,,,0,9,Bot,,,,,,,5.567247633642792,-121.05202782336026,-4.694033063627511,10.488235247113348,24.61327300900353,-34.15488205538741,3.17,1.47,,,,81.9,2575,5.5,746362,669257,678246,624415,571771,605113,606192,681546,681624,55.01,,,,,,,,80,1,Sweeper,6,6,6,6,6,6,6,6,Standard,Standard,43,0.007,0.038,,,,-0.038,,0,0,0.639,0.639,36,30,36,30,1,4,2,1,3,1,3.58,-1.19,-1.19,33.1,,,,,,alex bregman,blake treinen
SI,2024-07-27,95.1,3.25,5.79,"Hader, Josh",681624,623352,field_out,hit_into_play,,,,,5,Andy Pages flies out to center fielder Jake Meyers.,R,R,L,HOU,LAD,X,8,fly_ball,1,0,2024,0.52,1.69,-0.1651071963625536,2.8274734985435743,,,,2,9,Top,145.67,59.6,,,,,-10.229910300132037,-137.9184936101276,-5.877793465746668,9.137862521381068,34.478912813114555,-9.473652728964144,3.53,1.64,349,93.6,30,95.6,2463,7.0,746362,673237,572138,514888,608324,665161,694388,676694,663550,53.45,0.145,0.222,0.0,1,0,0,3,79,2,Sinker,6,6,6,6,6,6,6,6,Infield shade,Standard,153,0.037,-0.295,74.8,7.5,0.404,0.295,93.6,0,0,0.602,0.398,30,23,30,24,1,2,7,1,2,3,0.87,0.52,-0.52,33.3,9.199474904233169,0.7362818126286232,38.97256413545395,36.193023810953086,25.042173528235733,andy pages,josh hader
SL,2024-07-27,85.4,3.33,5.57,"Hader, Josh",681624,623352,,ball,,,,,14,Ball,R,R,L,HOU,LAD,B,,,0,0,2024,0.1,0.32,0.5729997918403733,1.1468099076444136,,,,2,9,Top,,,,,,,-6.713056696268744,-124.1219532915617,-4.759741262580329,2.4023372215505168,25.50550006487705,-28.087014273558133,3.62,1.71,,,,85.6,2429,6.6,746362,673237,572138,514888,608324,665161,694388,676694,663550,53.93,,,,,,,,79,1,Slider,6,6,6,6,6,6,6,6,Infield shade,Standard,169,-0.003,0.04,,,,-0.04,,0,0,0.605,0.395,30,23,30,24,1,2,7,1,2,3,2.82,0.1,-0.1,33.9,,,,,,andy pages,josh hader
SL,2024-07-27,87.3,3.42,5.57,"Hader, Josh",606192,623352,field_out,hit_into_play,,,,,9,"Teoscar Hernández grounds out, second baseman Jose Altuve to first baseman Jon Singleton.",R,R,L,HOU,LAD,X,4,ground_ball,2,1,2024,-0.02,0.33,0.3566965870007064,1.93695604037553,,,,1,9,Top,128.99,130.62,,,,,-7.397077611530816,-127.02128901533229,-3.2941936648173025,1.276133278449074,26.105973472183603,-28.15187028550605,3.56,1.67,102,77.8,9,88.2,2524,6.9,746362,673237,572138,514888,608324,665161,694388,676694,663550,53.65,0.363,0.336,0.0,1,0,0,2,78,4,Slider,6,6,6,6,6,6,6,6,Infield shade,Standard,125,0.053,-0.302,77.2,8.6,0.409,0.302,88.0,0,0,0.552,0.4479999999999999,30,31,30,32,1,4,7,1,2,1,2.66,-0.02,0.02,29.3,18.61587204209096,2.151796103211177,32.80847396930846,42.16417544852612,35.078814548665804,teoscar hernández,josh hader
SI,2024-07-27,95.4,3.19,5.76,"Hader, Josh",606192,623352,,ball,,,,,13,Ball,R,R,L,HOU,LAD,B,,,1,1,2024,0.64,1.8,-0.4942895873172696,1.1609021880255934,,,,1,9,Top,,,,,,,-11.216367217552454,-138.0730371563855,-10.526788283739856,10.856949419673978,32.543940907145,-6.840681420143086,3.7,1.6,,,,95.8,2482,7.0,746362,673237,572138,514888,608324,665161,694388,676694,663550,53.53,,,,,,,,78,3,Sinker,6,6,6,6,6,6,6,6,Infield shade,Standard,152,-0.008,0.059,,,,-0.059,,0,0,0.56,0.4399999999999999,30,31,30,32,1,4,7,1,2,1,0.75,0.64,-0.64,34.7,,,,,,teoscar hernández,josh hader
SI,2024-07-27,95.7,3.14,5.81,"Hader, Josh",606192,623352,,foul,,,,,2,Foul,R,R,L,HOU,LAD,S,,,1,0,2024,0.46,1.65,-0.1852912090968642,3.157821262123265,,,,1,9,Top,,,,,,,-9.917035501058624,-138.95855714999652,-5.1266515785039335,8.300915202427552,32.408356591718814,-9.79946508595384,3.56,1.67,216,75.2,25,96.5,2407,7.0,746362,673237,572138,514888,608324,665161,694388,676694,663550,53.54,,,,,,,,78,2,Sinker,6,6,6,6,6,6,6,6,Infield shade,Standard,157,0.008,-0.051,71.1,7.3,,0.051,88.0,0,0,0.552,0.4479999999999999,30,31,30,32,1,4,7,1,2,1,0.86,0.46,-0.46,35.5,3.7218986460825065,17.173638507316145,31.752451956072868,34.33193140332648,15.373768589380791,teoscar hernández,josh hader
SL,2024-07-27,85.5,3.27,5.65,"Hader, Josh",606192,623352,,ball,,,,,13,Ball,R,R,L,HOU,LAD,B,,,0,0,2024,-0.02,0.21,-0.7078632808489433,1.278841248518514,,,,1,9,Top,,,,,,,-9.429035162087777,-124.24483226112784,-4.4905581716266,1.5040750838168988,23.240628230579983,-29.34886551373466,3.77,1.68,,,,86.6,2534,6.9,746362,673237,572138,514888,608324,665161,694388,676694,663550,53.61,,,,,,,,78,1,Slider,6,6,6,6,6,6,6,6,Infield shade,Standard,42,-0.006,0.039,,,,-0.039,,0,0,0.558,0.4419999999999999,30,31,30,32,1,4,7,1,2,1,2.9,-0.02,0.02,31.9,,,,,,teoscar hernández,josh hader
SI,2024-07-27,95.1,3.11,5.82,"Hader, Josh",678246,623352,field_out,hit_into_play,,,,,11,Miguel Vargas flies out to left fielder Joey Loperfido in foul territory.,R,R,L,HOU,LAD,X,7,fly_ball,2,0,2024,0.47,1.63,-0.9630641844751916,2.8652728541502928,,,,0,9,Top,46.61,125.9,,,,,-11.811119714858584,-137.9045101078326,-5.71998943144806,8.863849912017109,33.72487369540209,-10.20447467637372,3.4,1.61,265,87.0,50,95.3,2299,6.8,746362,673237,572138,514888,608324,665161,694388,676694,663550,53.7,0.013,0.017,0.0,1,0,0,3,77,3,Sinker,6,6,6,6,6,6,6,6,Infield shade,Standard,151,0.082,-0.361,78.9,8.2,0.024,0.361,88.0,0,0,0.476,0.524,30,24,30,25,1,0,7,1,2,3,0.92,0.47,-0.47,36.3,24.19955233529137,-10.270268883713294,33.3117299274322,25.307018855102417,37.36798994862612,miguel vargas,josh hader
SI,2024-07-27,94.2,3.08,5.76,"Hader, Josh",678246,623352,,ball,,,,,13,Ball,R,R,L,HOU,LAD,B,,,1,0,2024,0.56,1.77,-0.0325907974713838,0.7369621425262719,,,,0,9,Top,,,,,,,-9.378450175478482,-136.45399397197946,-11.28308446293173,9.069291066750816,30.978601097306345,-7.668459928399986,3.43,1.61,,,,94.5,2352,6.8,746362,673237,572138,514888,608324,665161,694388,676694,663550,53.71,,,,,,,,77,2,Sinker,6,6,6,6,6,6,6,6,Infield shade,Standard,155,-0.016,0.069,,,,-0.069,,0,0,0.492,0.508,30,24,30,25,1,0,7,1,2,3,0.83,0.56,-0.56,35.8,,,,,,miguel vargas,josh hader
SI,2024-07-27,93.7,3.14,5.88,"Hader, Josh",678246,623352,,ball,,,,,14,Ball,R,R,L,HOU,LAD,B,,,0,0,2024,0.41,1.84,1.002899969155485,1.3051101803670215,,,,0,9,Top,,,,,,,-6.487818941178411,-136.00820371335138,-10.184792991914318,6.5064438284683535,30.68533493720595,-7.253692046250857,3.5,1.58,,,,94.4,2410,6.9,746362,673237,572138,514888,608324,665161,694388,676694,663550,53.62,,,,,,,,77,1,Sinker,6,6,6,6,6,6,6,6,Infield shade,Standard,153,-0.008,0.038,,,,-0.038,,0,0,0.5,0.5,30,24,30,25,1,0,7,1,2,3,0.78,0.41,-0.41,37.0,,,,,,miguel vargas,josh hader
ST,2024-07-27,82.7,-2.81,6.37,"Treinen, Blake",514888,595014,strikeout,swinging_strike,,,,,14,Jose Altuve strikes out swinging.,R,R,R,HOU,LAD,S,2,,0,2,2024,1.61,-0.08,1.9898946248354663,1.468943095420411,694388,572138,663550,2,8,Bot,,,,,,,7.666450823158443,-120.14261526456458,-4.360112759280657,13.711001262486745,26.96964636848355,-32.14100803298735,2.88,1.28,,,,80.7,2695,5.4,746362,669257,624415,666158,571771,605113,606192,681546,681624,55.12,,0.0,0.0,1,0,0,,76,3,Sweeper,6,6,6,6,6,6,6,6,Standard,Standard,48,-0.09,-0.188,43.2,7.8,,0.188,,0,0,0.59,0.59,36,34,36,34,1,4,2,1,3,1,3.46,-1.61,-1.61,33.9,19.376244978176207,-14.822385665093528,26.03192334388636,59.26392057499892,31.19010371988037,josé altuve,blake treinen
ST,2024-07-27,83.1,-2.95,6.36,"Treinen, Blake",514888,595014,,swinging_strike,,,,,14,Swinging Strike,R,R,R,HOU,LAD,S,,,0,1,2024,1.55,-0.01,1.8976516639930845,1.3351052010387678,694388,572138,663550,2,8,Bot,,,,,,,7.92093254274407,-120.66006181997392,-4.833036744798624,13.21787656018126,26.84977919113136,-31.4222929275534,2.88,1.28,,,,81.2,2547,5.5,746362,669257,624415,666158,571771,605113,606192,681546,681624,55.02,,,,,,,,76,2,Sweeper,6,6,6,6,6,6,6,6,Standard,Standard,45,-0.027,-0.042,59.9,8.4,,0.042,,0,0,0.617,0.617,36,34,36,34,1,4,2,1,3,1,3.37,-1.55,-1.55,31.0,22.15845235014401,-13.297816134666256,25.530692694928085,59.66777080468324,26.454759964360136,josé altuve,blake treinen
ST,2024-07-27,84.3,-2.91,6.22,"Treinen, Blake",514888,595014,,swinging_strike,,,,,14,Swinging Strike,R,R,R,HOU,LAD,S,,,0,0,2024,1.23,-0.1,1.9559752297970607,1.2331663238438968,694388,572138,663550,2,8,Bot,,,,,,,8.722066573377742,-122.42060748021623,-4.863093086560061,10.242502124419945,27.40595639725622,-32.25873444414926,2.88,1.28,,,,82.5,2531,5.5,746362,669257,624415,666158,571771,605113,606192,681546,681624,54.97,,,,,,,,76,1,Sweeper,6,6,6,6,6,6,6,6,Standard,Standard,41,-0.021,-0.044,56.3,8.5,,0.044,,0,0,0.638,0.638,36,34,36,34,1,4,2,1,3,1,3.35,-1.23,-1.23,31.4,28.103579468945345,-27.91651164025445,22.2861893532024,58.31652051320957,36.630506576098185,josé altuve,blake treinen
