pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
SL,2024-07-11,85.5,3.39,5.6,"Hader, Josh",605137,623352,strikeout,swinging_strike,,,,,14,Josh Bell strikes out swinging.,R,R,L,HOU,MIA,S,2,,3,2,2024,-0.04,0.21,1.0641206718727907,2.439374298164961,,,,2,9,Top,,,,,,,-5.427802591448059,-124.43991616973985,-1.5536031035706408,0.7425673771659822,27.16471952255286,-29.887149987206826,3.72,1.82,,,,85.7,2405,6.6,746367,663967,572138,514888,608324,665161,676801,676694,663550,53.9,,0.0,0.0,1,0,0,,73,7,Slider,6,3,3,6,3,6,3,6,Infield shade,Standard,355,0.005,-0.325,60.3,7.3,,0.325,,3,-3,0.995,0.005,30,31,30,32,1,4,2,1,1,1,2.93,-0.04,0.04,31.6,-0.3062343970138197,20.78335887868919,40.39899058843578,48.16726009236743,6.431853259290103,josh bell,josh hader
SI,2024-07-11,95.8,3.17,5.86,"Hader, Josh",605137,623352,,foul,,,,,7,Foul,R,R,L,HOU,MIA,S,,,3,2,2024,0.43,1.69,-0.5750284773094034,2.264227875606459,,,,2,9,Top,,,,,,,-10.932322799427917,-138.84204578278613,-7.669072594836666,8.127603122333394,33.869507839705555,-8.739400777583763,3.72,1.82,212,82.5,54,96.0,2300,6.9,746367,663967,572138,514888,608324,665161,676801,676694,663550,53.65,,,,,,,,73,6,Sinker,6,3,3,6,3,6,3,6,Infield shade,Standard,155,0.0,0.0,65.9,7.5,,0.0,88.0,3,-3,0.995,0.005,30,31,30,32,1,4,2,1,1,1,0.83,0.43,-0.43,38.4,18.68174007591484,5.156534840812294,43.147982129363946,28.34511548092185,19.92581518941558,josh bell,josh hader
SL,2024-07-11,83.8,3.41,5.62,"Hader, Josh",605137,623352,,ball,,,,,14,Ball,R,R,L,HOU,MIA,B,,,2,2,2024,-0.26,-0.05,0.2326407489367218,0.9148959119480952,,,,2,9,Top,,,,,,,-6.892163656988573,-121.78723185040867,-4.307995621014015,-1.029588762860331,26.662606614289,-31.923799148702248,3.7,1.71,,,,84.0,2548,6.8,746367,663967,572138,514888,608324,665161,676801,676694,663550,53.75,,,,,,,,73,5,Slider,6,3,3,6,3,6,3,6,Infield shade,Standard,327,-0.001,0.106,,,,-0.106,,3,-3,0.996,0.004,30,31,30,32,1,4,2,1,1,1,3.33,-0.26,0.26,32.3,,,,,,josh bell,josh hader
SL,2024-07-11,85.7,3.48,5.6,"Hader, Josh",605137,623352,,swinging_strike,,,,,13,Swinging Strike,R,R,L,HOU,MIA,S,,,2,1,2024,-0.19,0.09,-0.0464276957691328,1.0353955955250045,,,,2,9,Top,,,,,,,-8.015713381468156,-124.4447968634513,-4.643560164244031,-0.1862805810762907,27.039791736033003,-30.48202976602357,3.72,1.82,,,,85.9,2470,6.7,746367,663967,572138,514888,608324,665161,676801,676694,663550,53.75,,,,,,,,73,4,Slider,6,3,3,6,3,6,3,6,Infield shade,Standard,271,0.001,-0.084,73.1,9.2,,0.084,,3,-3,0.995,0.005,30,31,30,32,1,4,2,1,1,1,3.05,-0.19,0.19,30.6,33.84309859573491,-46.70203536347103,43.58722598516164,36.62319043005486,56.660159224618674,josh bell,josh hader
SI,2024-07-11,95.7,3.26,5.91,"Hader, Josh",605137,623352,,foul,,,,,6,Foul,R,R,L,HOU,MIA,S,,,2,0,2024,0.51,1.56,0.4882362357114366,2.68915585135934,,,,2,9,Top,,,,,,,-8.520782926904333,-139.056414927485,-6.402256677773457,8.617645449527851,32.20732883117911,-10.719938968845378,3.72,1.82,3,80.4,-42,96.1,2168,6.7,746367,663967,572138,514888,608324,665161,676801,676694,663550,53.84,,,,,,,,73,3,Sinker,6,3,3,6,3,6,3,6,Infield shade,Standard,163,0.001,-0.061,70.5,7.9,,0.061,88.0,3,-3,0.994,0.006,30,31,30,32,1,4,2,1,1,1,0.95,0.51,-0.51,36.5,17.352815334147678,6.409829084250814,32.842446952142105,40.61906710946979,22.28734225223549,josh bell,josh hader
SL,2024-07-11,83.5,3.5,5.58,"Hader, Josh",605137,623352,,ball,,,,,13,Ball,R,R,L,HOU,MIA,B,,,1,0,2024,-0.09,0.1,-0.4896743787902711,0.0172299448073935,,,,2,9,Top,,,,,,,-8.991706121585068,-121.14000833598652,-6.44326189787433,1.1336517185393409,26.536285932605995,-30.00022293639993,3.67,1.78,,,,82.9,2464,6.3,746367,663967,572138,514888,608324,665161,676801,676694,663550,54.15,,,,,,,,73,2,Slider,6,3,3,6,3,6,3,6,Infield shade,Standard,340,-0.001,0.068,,,,-0.068,,3,-3,0.995,0.005,30,31,30,32,1,4,2,1,1,1,3.23,-0.09,0.09,30.9,,,,,,josh bell,josh hader
SI,2024-07-11,94.9,3.21,5.82,"Hader, Josh",605137,623352,,ball,,,,,12,Ball,R,R,L,HOU,MIA,B,,,0,0,2024,0.46,1.74,1.4916649056401998,3.1872666324473378,,,,2,9,Top,,,,,,,-5.574302659122678,-138.02321491204447,-5.099148650789669,7.171237810998165,32.957384003111464,-9.08313189999849,3.79,1.76,,,,95.3,2286,6.7,746367,663967,572138,514888,608324,665161,676801,676694,663550,53.8,,,,,,,,73,1,Sinker,6,3,3,6,3,6,3,6,Infield shade,Standard,153,-0.001,0.04,,,,-0.04,,3,-3,0.996,0.004,30,31,30,32,1,4,2,1,1,1,0.81,0.46,-0.46,37.7,,,,,,josh bell,josh hader
SI,2024-07-11,96.4,3.22,5.82,"Hader, Josh",650559,623352,field_out,hit_into_play,,,,,1,"Bryan De La Cruz grounds out, pitcher Josh Hader to first baseman Jon Singleton.",R,R,L,HOU,MIA,X,1,ground_ball,2,2,2024,0.55,1.73,-0.7045064234247174,3.110007831744245,,,,1,9,Top,124.64,180.98,,,,,-11.714778891193236,-139.85822647722213,-5.520260080428274,9.979379432983114,33.19665083466342,-8.38752765025895,3.62,1.79,7,76.5,-22,96.4,2383,6.6,746367,663967,572138,514888,608324,665161,676801,676694,663550,53.92,0.032,0.076,0.0,1,0,0,2,72,5,Sinker,6,3,3,6,3,6,3,6,Infield shade,Standard,151,0.01,-0.225,58.0,6.0,0.032,0.225,88.0,3,-3,0.986,0.014,30,27,30,28,1,4,2,1,1,1,0.75,0.55,-0.55,35.9,-10.748719741979976,14.417064681719165,48.00429929353911,24.7154150294538,8.664650507438541,bryan de la cruz,josh hader
SL,2024-07-11,85.4,3.51,5.63,"Hader, Josh",650559,623352,,foul,,,,,6,Foul,R,R,L,HOU,MIA,S,,,2,1,2024,-0.03,0.3,0.6400268988972648,2.623136846258168,,,,1,9,Top,,,,,,,-6.790800442366635,-124.2829543318568,-1.4230743323941977,0.990624309396286,24.518089597684995,-28.96138738696433,3.62,1.79,223,82.1,53,86.6,2417,7.0,746367,663967,572138,514888,608324,665161,676801,676694,663550,53.49,,,,,,,,72,4,Slider,6,3,3,6,3,6,3,6,Infield shade,Standard,246,0.003,-0.078,75.2,7.7,,0.078,88.0,3,-3,0.983,0.017,30,27,30,28,1,4,2,1,1,1,2.82,-0.03,0.03,32.8,11.15363573590901,16.45022887429491,36.92405806541899,42.21753965938591,19.84750995974226,bryan de la cruz,josh hader
SI,2024-07-11,95.8,3.22,5.89,"Hader, Josh",650559,623352,,ball,,,,,11,Ball,R,R,L,HOU,MIA,B,,,1,1,2024,0.89,1.38,-0.2049713162638567,4.147031464688401,,,,1,9,Top,,,,,,,-11.137679786315688,-139.10872172410294,-2.0881046078112577,14.141546497344708,33.00388979080156,-14.010726847340711,3.63,1.8,,,,96.3,2199,6.8,746367,663967,572138,514888,608324,665161,676801,676694,663550,53.66,,,,,,,,72,3,Sinker,6,3,3,6,3,6,3,6,Infield shade,Standard,155,-0.003,0.059,,,,-0.059,,3,-3,0.986,0.014,30,27,30,28,1,4,2,1,1,1,1.12,0.89,-0.89,35.2,,,,,,bryan de la cruz,josh hader
