pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FF,2024-06-24,101.3,-0.26,6.44,"Megill, Trevor",666969,656730,strikeout,swinging_strike,,,,,3,Adolis García strikes out swinging.,R,R,R,MIL,TEX,S,2,,1,2,2024,-0.37,1.25,0.5450832107192473,3.1644691448632623,,669701,,2,9,Top,,,,,,,3.1750778890036364,-147.44339076413206,-6.891475861360166,-6.208134745609007,33.682990384384446,-12.577520952573604,3.43,1.68,,,,102.3,2461,6.7,745974,661388,656555,668930,687401,642715,694192,663368,686217,53.77,,0.0,0.0,1,0,0,,77,4,4-Seam Fastball,6,3,3,6,3,6,3,6,Strategic,Standard,200,0.01,-0.213,70.4,7.0,,0.213,,3,-3,0.99,0.01,30,31,31,31,1,4,1,1,2,1,0.97,0.37,0.37,55.0,0.2897666319887536,36.29296789244499,24.593227735486945,40.49216344883508,9.488161073924134,adolis garcía,trevor megill
FF,2024-06-24,99.8,-0.08,6.6,"Megill, Trevor",666969,656730,,swinging_strike,,,,,12,Swinging Strike,R,R,R,MIL,TEX,S,,,1,1,2024,-0.24,1.34,0.7331235698073698,3.62067187854216,,669701,,2,9,Top,,,,,,,2.8183438912808167,-145.28667536670795,-6.053758693647238,-4.0727685861403815,32.04722862836762,-11.917890129585102,3.43,1.68,,,,100.8,2483,6.7,745974,661388,656555,668930,687401,642715,694192,663368,686217,53.82,,,,,,,,77,3,4-Seam Fastball,6,3,3,6,3,6,3,6,Strategic,Standard,195,0.002,-0.06,64.6,7.7,,0.06,,3,-3,0.988,0.012,30,31,31,31,1,4,1,1,2,1,0.93,0.24,0.24,55.8,14.584169705221658,18.029824320598586,19.98233528730212,43.51738871159425,18.865038683898756,adolis garcía,trevor megill
FF,2024-06-24,99.1,-0.37,6.51,"Megill, Trevor",666969,656730,,swinging_strike,,,,,4,Swinging Strike,R,R,R,MIL,TEX,S,,,1,0,2024,-0.4,1.43,-0.5716418305384054,2.439695258579355,,669701,,2,9,Top,,,,,,,0.3980112216199563,-144.12096085920038,-9.106423374488273,-5.735171140575574,33.5339333461803,-10.313725015091718,3.43,1.68,,,,99.7,2455,6.7,745974,661388,656555,668930,687401,642715,694192,663368,686217,53.83,,,,,,,,77,2,4-Seam Fastball,6,3,3,6,3,6,3,6,Strategic,Standard,197,0.003,-0.043,75.4,7.6,,0.043,,3,-3,0.985,0.015,30,31,31,31,1,4,1,1,2,1,0.89,0.4,0.4,56.4,6.206966867216125,-4.947818662714996,34.81318699753665,28.57107729674529,28.15082338799269,adolis garcía,trevor megill
FF,2024-06-24,100.8,-0.16,6.48,"Megill, Trevor",666969,656730,,ball,,,,,12,Ball,R,R,R,MIL,TEX,B,,,0,0,2024,-0.32,1.56,1.1857370939117486,3.4526616390373053,,,669701,2,9,Top,,,,,,,4.553095841694083,-146.6128181644772,-6.833035761650829,-5.7373099328417725,36.01724631082521,-8.250041331161873,3.36,1.56,,,,101.5,2593,6.8,745974,661388,656555,668930,687401,642715,694192,663368,686217,53.72,,,,,,,,77,1,4-Seam Fastball,6,3,3,6,3,6,3,6,Strategic,Standard,199,-0.003,0.034,,,,-0.034,,3,-3,0.988,0.012,30,31,31,31,1,4,1,1,2,1,0.69,0.32,0.32,55.9,,,,,,adolis garcía,trevor megill
FF,2024-06-24,99.4,-0.12,6.54,"Megill, Trevor",669701,656730,hit_by_pitch,hit_by_pitch,,,,,12,Josh Smith hit by pitch.,R,L,R,MIL,TEX,B,,,0,0,2024,-0.14,1.33,1.4352108571548894,3.867359823947112,,,,2,9,Top,,,,,,,4.60649168427725,-144.69866556797544,-5.077230329748897,-2.9707992125832887,32.136693751951505,-12.509047074623426,3.17,1.5,,,,100.2,2522,6.6,745974,661388,656555,668930,687401,642715,694192,663368,686217,53.91,,0.720192,0.7,1,0,0,,76,1,4-Seam Fastball,6,3,3,6,3,6,3,6,Standard,Standard,193,-0.008,0.336,,,,-0.336,,3,-3,0.996,0.004,30,26,31,27,1,4,1,1,2,1,0.97,0.14,-0.14,56.0,,,,,,josh smith,trevor megill
FF,2024-06-24,101.0,-0.13,6.49,"Megill, Trevor",608369,656730,strikeout,foul_tip,,,,,12,Corey Seager strikes out on a foul tip.,R,L,R,MIL,TEX,S,2,,3,2,2024,-0.35,1.33,0.5446147112306242,3.8994765294552742,,,,1,9,Top,,,,,,,2.7327737465681863,-147.14671475952596,-5.126280011455221,-5.7214343194260575,33.23366440040221,-11.76610584661612,3.52,1.54,,,,101.9,2498,6.6,745974,661388,656555,668930,687401,642715,694192,663368,686217,53.89,,0.0,0.0,1,0,0,,75,6,4-Seam Fastball,6,3,3,6,3,6,3,6,Strategic,Standard,198,0.014,-0.332,,,,0.332,,3,-3,0.982,0.018,30,30,31,30,1,4,1,1,2,1,0.89,0.35,-0.35,55.3,,,,,,corey seager,trevor megill
FF,2024-06-24,100.2,-0.18,6.61,"Megill, Trevor",608369,656730,,ball,,,,,12,Ball,R,L,R,MIL,TEX,B,,,2,2,2024,-0.09,1.45,0.4408651322551718,4.641503562625221,,,,1,9,Top,,,,,,,1.9423466096078816,-145.98598785266628,-3.554211992420959,-1.7496722167684942,31.81203304312037,-10.772223933344277,3.54,1.42,,,,101.0,2515,6.5,745974,661388,656555,668930,687401,642715,694192,663368,686217,53.98,,,,,,,,75,5,4-Seam Fastball,6,3,3,6,3,6,3,6,Strategic,Standard,196,-0.004,0.108,,,,-0.108,,3,-3,0.986,0.014,30,30,31,30,1,4,1,1,2,1,0.8,0.09,-0.09,54.1,,,,,,corey seager,trevor megill
KC,2024-06-24,88.0,-0.43,6.51,"Megill, Trevor",608369,656730,,ball,,,,,9,Ball,R,L,R,MIL,TEX,B,,,1,2,2024,0.7,-0.76,0.7635638895436543,1.560547099489487,,,,1,9,Top,,,,,,,1.4571915441093255,-128.12331209140802,-4.360167016704912,7.398445669726115,26.089935783412976,-39.83907643661847,3.49,1.55,,,,88.7,2923,6.6,745974,661388,656555,668930,687401,642715,694192,663368,686217,53.86,,,,,,,,75,4,Knuckle Curve,6,3,3,6,3,6,3,6,Strategic,Standard,27,-0.002,0.043,,,,-0.043,,3,-3,0.988,0.012,30,30,31,30,1,4,1,1,2,1,3.69,-0.7,0.7,53.9,,,,,,corey seager,trevor megill
KC,2024-06-24,88.0,-0.26,6.54,"Megill, Trevor",608369,656730,,ball,,,,,14,Ball,R,L,R,MIL,TEX,B,,,0,2,2024,0.4,-0.88,1.1337451112290262,-0.1250830399176399,,,,1,9,Top,,,,,,,2.556242607161337,-127.92253213661708,-8.197510665746739,3.756098298338809,29.202458816687944,-40.11331931343921,3.46,1.48,,,,88.1,3035,6.7,745974,661388,656555,668930,687401,642715,694192,663368,686217,53.82,,,,,,,,75,3,Knuckle Curve,6,3,3,6,3,6,3,6,Strategic,Standard,10,-0.001,0.02,,,,-0.02,,3,-3,0.989,0.011,30,30,31,30,1,4,1,1,2,1,3.85,-0.4,0.4,56.6,,,,,,corey seager,trevor megill
FF,2024-06-24,100.8,-0.2,6.35,"Megill, Trevor",608369,656730,,called_strike,,,,,5,Called Strike,R,L,R,MIL,TEX,S,,,0,1,2024,-0.46,1.57,0.0041828614780037,2.123289740121202,,,,1,9,Top,,,,,,,1.6912124752533697,-146.50917849789158,-10.185058368182853,-7.080770674797027,36.7888851829084,-7.278655979519902,3.47,1.49,,,,101.2,2667,6.7,745974,661388,656555,668930,687401,642715,694192,663368,686217,53.77,,,,,,,,75,2,4-Seam Fastball,6,3,3,6,3,6,3,6,Strategic,Standard,202,0.002,-0.057,,,,0.057,,3,-3,0.987,0.013,30,30,31,30,1,4,1,1,2,1,0.69,0.46,-0.46,53.3,,,,,,corey seager,trevor megill
