pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FF,2024-05-25,100.6,-2.28,5.99,"Duran, Jhoan",641680,661395,strikeout,swinging_strike,,,,,12,Jonah Heim strikes out swinging.,R,L,R,MIN,TEX,S,2,,0,2,2024,-0.91,1.12,0.069083519504219,3.8555679588851888,,,,2,9,Top,,,,,,,8.69277961813396,-146.31483061280903,-3.259874784897518,-15.182062686255955,34.33540332168561,-15.430032150169753,3.55,1.63,,,,100.6,2030,6.3,745901,680777,467793,666397,650489,621043,622534,621439,596146,54.2,,0.0,0.0,1,0,0,,71,3,4-Seam Fastball,5,3,3,5,3,5,3,5,Infield shade,Standard,229,0.008,-0.157,68.7,6.3,,0.157,,2,-2,0.992,0.008,26,29,26,29,1,3,1,1,2,1,1.13,0.91,-0.91,32.8,4.445054402307558,11.69418462331271,15.127916034804294,37.07903220596265,24.21611625060134,jonah heim,jhoan durán
FF,2024-05-25,99.8,-2.3,5.84,"Duran, Jhoan",641680,661395,,swinging_strike,,,,,8,Swinging Strike,R,L,R,MIN,TEX,S,,,0,1,2024,-1.1,1.2,0.1569043164132815,2.074769783455329,,,,2,9,Top,,,,,,,9.347844673100177,-144.97299031405962,-7.799806002547124,-17.638103051938735,33.31634836044672,-13.580485284870957,3.55,1.63,,,,100.0,2049,6.4,745901,680777,467793,666397,650489,621043,622534,621439,596146,54.06,,,,,,,,71,2,4-Seam Fastball,5,3,3,5,3,5,3,5,Infield shade,Standard,229,0.002,-0.058,72.4,6.9,,0.058,,2,-2,0.99,0.01,26,29,26,29,1,3,1,1,2,1,1.09,1.1,-1.1,33.2,-2.339027791527213,13.092113060368574,36.67220832323967,35.9925125013801,23.264879481849952,jonah heim,jhoan durán
FF,2024-05-25,100.3,-2.41,5.98,"Duran, Jhoan",641680,661395,,swinging_strike,,,,,8,Swinging Strike,R,L,R,MIN,TEX,S,,,0,0,2024,-0.99,1.24,0.0156178670467894,2.0944606459889146,,,,2,9,Top,,,,,,,9.04742573294606,-145.62750987492473,-8.30243333968899,-16.24099095336107,33.51172993906768,-12.76965291154825,3.55,1.63,,,,100.2,2056,6.3,745901,680777,467793,666397,650489,621043,622534,621439,596146,54.17,,,,,,,,71,1,4-Seam Fastball,5,3,3,5,3,5,3,5,Infield shade,Standard,231,0.002,-0.041,70.3,6.5,,0.041,,2,-2,0.988,0.012,26,29,26,29,1,3,1,1,2,1,1.04,0.99,-0.99,32.8,-12.969657565067504,31.91870602059304,38.22110335625789,38.905268334306456,9.89156292326254,jonah heim,jhoan durán
FF,2024-05-25,98.4,-2.5,5.94,"Duran, Jhoan",663993,661395,field_out,hit_into_play,,,,,5,"Nathaniel Lowe grounds out, first baseman Carlos Santana to pitcher Jhoan Duran.",R,L,R,MIN,TEX,X,3,ground_ball,0,0,2024,-0.88,0.92,0.0221326090745951,2.650818776808948,,,,1,9,Top,158.4,166.49,,,,,8.869756396426595,-143.10244759300346,-5.627498642300299,-13.97794574595893,29.90623336117725,-18.44499385122184,3.35,1.44,4,94.5,-32,98.8,1817,6.3,745901,680777,467793,666397,650489,621043,622534,621439,596146,54.16,0.068,0.057,0.0,1,0,0,2,70,1,4-Seam Fastball,5,3,3,5,3,5,3,5,Standard,Standard,234,0.025,-0.256,75.1,7.6,0.069,0.256,94.5,2,-2,0.963,0.037,26,28,26,29,1,3,1,1,2,1,1.42,0.88,-0.88,30.4,8.663192302026646,2.258284523656689,28.850003499693464,38.31941721875626,32.54268270192956,nathaniel lowe,jhoan durán
FS,2024-05-25,97.0,-2.34,6.06,"Duran, Jhoan",665750,661395,field_out,hit_into_play,,,,,8,"Leody Taveras grounds out, first baseman Carlos Santana to pitcher Jhoan Duran.",R,L,R,MIN,TEX,X,3,ground_ball,2,1,2024,-0.58,0.14,0.1364229614151544,1.788576319582006,,,,0,9,Top,148.7,162.85,,,,,7.931047667965028,-141.1568726018118,-6.264033778615413,-9.393502720172815,28.459751796816285,-29.222846031693216,3.58,1.69,2,83.5,-37,97.3,1606,6.2,745901,680777,467793,666397,650489,621043,622534,621439,596146,54.31,0.061,0.061,0.0,1,0,0,2,69,4,Split-Finger,5,3,3,5,3,5,3,5,Standard,Standard,234,0.047,-0.296,77.1,7.3,0.065,0.296,88.0,2,-2,0.916,0.0839999999999999,26,25,26,26,1,3,1,1,2,1,2.26,0.58,-0.58,33.7,-18.08445901116754,-2.19843718592299,40.40298938314325,34.14396144935765,23.978685930154494,leody taveras,jhoan durán
FF,2024-05-25,99.4,-2.48,5.94,"Duran, Jhoan",665750,661395,,ball,,,,,11,Ball,R,L,R,MIN,TEX,B,,,1,1,2024,-1.0,1.01,-0.8529294390993222,3.200205866493873,,,,0,9,Top,,,,,,,6.823009337109924,-144.70075714438067,-4.512706762713068,-15.673074679955462,31.632827695331105,-17.137931930683674,3.62,1.7,,,,99.8,2096,6.3,745901,680777,467793,666397,650489,621043,622534,621439,596146,54.18,,,,,,,,69,3,4-Seam Fastball,5,3,3,5,3,5,3,5,Standard,Standard,231,-0.01,0.053,,,,-0.053,,2,-2,0.926,0.0739999999999999,26,25,26,26,1,3,1,1,2,1,1.29,1.0,-1.0,32.8,,,,,,leody taveras,jhoan durán
KC,2024-05-25,87.5,-2.28,5.99,"Duran, Jhoan",665750,661395,,ball,,,,,14,Ball,R,L,R,MIN,TEX,B,,,0,1,2024,0.39,-0.77,1.7889275092981134,0.081844619104701,,,,0,9,Top,,,,,,,9.064256090985753,-126.99927258018585,-6.505236866205698,2.251418869288634,27.228755647799083,-39.24268163558144,3.7,1.7,,,,87.8,2730,6.8,745901,680777,467793,666397,650489,621043,622534,621439,596146,53.75,,,,,,,,69,2,Knuckle Curve,5,3,3,5,3,5,3,5,Infield shade,Standard,38,-0.004,0.025,,,,-0.025,,2,-2,0.93,0.0699999999999999,26,25,26,26,1,3,1,1,2,1,3.77,-0.39,0.39,32.5,,,,,,leody taveras,jhoan durán
KC,2024-05-25,86.6,-2.52,5.94,"Duran, Jhoan",665750,661395,,called_strike,,,,,7,Called Strike,R,L,R,MIN,TEX,S,,,0,0,2024,0.34,-0.71,-0.7489357024981566,1.8414685090587304,,,,0,9,Top,,,,,,,3.530946493480128,-126.17890414424105,-2.177988759026696,2.9124160002611195,24.623812619700452,-39.567404479763645,3.73,1.7,,,,86.7,2572,6.2,745901,680777,467793,666397,650489,621043,622534,621439,596146,54.29,,,,,,,,69,1,Knuckle Curve,5,3,3,5,3,5,3,5,Standard,Standard,45,0.006,-0.037,,,,0.037,,2,-2,0.924,0.0759999999999999,26,25,26,26,1,3,1,1,2,1,3.73,-0.34,0.34,30.3,,,,,,leody taveras,jhoan durán
FS,2024-05-25,85.8,-2.66,5.16,"Yates, Kirby",666397,489446,strikeout,called_strike,,,,,7,Edouard Julien called out on strikes.,R,L,R,MIN,TEX,S,2,,3,2,2024,-0.96,-0.09,-0.6560426283467582,1.9445296635149525,,650489,,2,8,Bot,,,,,,,6.662832367550973,-124.86610931072627,-1.183358271127696,-11.321825681708749,24.21993312250905,-33.0906925651412,3.38,1.68,,,,85.9,1119,6.3,745901,641680,663993,543760,669701,608369,608671,665750,694497,54.24,,0.0,0.0,1,0,0,,68,7,Split-Finger,5,3,5,3,3,5,5,3,Standard,Standard,267,-0.011,-0.298,,,,0.298,,2,2,0.935,0.935,37,25,37,25,1,4,7,1,3,1,3.18,0.96,-0.96,16.5,,,,,,edouard julien,kirby yates
FF,2024-05-25,93.2,-2.52,5.2,"Yates, Kirby",666397,489446,,foul,,,,,6,Foul,R,L,R,MIN,TEX,S,,,3,2,2024,-1.12,1.22,0.6962382024444116,2.6120086863485645,,650489,,2,8,Bot,,,,,,,10.676127490169565,-135.22303154227998,-3.4925173153176505,-16.16564605039544,30.57868827368265,-16.636724358950328,3.39,1.66,209,86.8,64,92.5,2415,6.1,745901,641680,663993,543760,669701,608369,608671,665750,694497,54.37,,,,,,,,68,6,4-Seam Fastball,5,3,5,3,3,5,5,3,Standard,Standard,233,0.0,0.0,71.7,6.7,,0.0,88.0,2,2,0.935,0.935,37,25,37,25,1,4,7,1,3,1,1.43,1.12,-1.12,17.8,17.191216559589375,10.750671055950358,47.4682166559767,29.52832536805191,29.474790819674997,edouard julien,kirby yates
