pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FS,2024-06-28,90.1,-1.89,5.54,"Garrett, Reed",643289,657585,strikeout,swinging_strike_blocked,,,,,14,Mauricio Dubón strikes out swinging.,R,R,R,NYM,HOU,S,2,,3,2,2024,-1.07,0.13,0.1142951831380563,0.335810661136755,673237,676694,,2,9,Top,,,,,,,7.228740967734726,-130.9374026729777,-7.244782872062296,-13.76807142248356,25.8464783478668,-29.424554067001957,3.34,1.54,,,,90.2,1540,6.3,745804,682626,624413,643446,578428,596019,607043,664056,621438,54.24,,0.0,0.0,1,0,0,,82,6,Split-Finger,7,2,2,7,2,7,2,7,Standard,Standard,232,0.006,-0.273,,,,0.273,,5,-5,0.994,0.006,31,29,31,30,1,4,3,2,1,1,2.67,1.07,1.07,37.9,,,,,,mauricio dubón,reed garrett
FS,2024-06-28,90.4,-1.93,5.52,"Garrett, Reed",643289,657585,,blocked_ball,,,,,13,Ball In Dirt,R,R,R,NYM,HOU,B,,,2,2,2024,-0.98,0.07,-0.2485005865218539,0.0713351078813446,673237,676694,,2,9,Top,,,,,,,6.299668859449209,-131.43998134886854,-7.887828469480818,-12.65177603988929,23.37575862966381,-30.03548961341552,3.35,1.63,,,,91.2,1397,6.5,745804,682626,624413,643446,578428,596019,607043,664056,621438,54.04,,,,,,,,82,5,Split-Finger,7,2,2,7,2,7,2,7,Standard,Standard,233,-0.001,0.046,,,,-0.046,,5,-5,0.995,0.005,31,29,31,30,1,4,3,2,1,1,2.68,0.98,0.98,38.1,,,,,,mauricio dubón,reed garrett
FC,2024-06-28,93.0,-1.91,5.39,"Garrett, Reed",643289,657585,,foul,,,,,12,Foul,R,R,R,NYM,HOU,S,,,2,1,2024,0.46,0.66,0.8649520270245898,2.5265040647767067,673237,676694,,2,9,Top,,,,,,,6.094181761265005,-135.40201542170027,-3.07463517094264,4.521391621829848,26.470466525294267,-23.588825990329298,3.34,1.54,206,76.4,22,93.2,2635,6.1,745804,682626,624413,643446,578428,596019,607043,664056,621438,54.37,,,,,,,,82,4,Cutter,7,2,2,7,2,7,2,7,Standard,Standard,185,0.001,-0.06,63.5,7.8,,0.06,88.0,5,-5,0.994,0.006,31,29,31,30,1,4,3,2,1,1,1.95,-0.46,-0.46,37.7,4.083850290718422,9.954819840476771,25.316131529328292,46.67710072811937,26.208472383156757,mauricio dubón,reed garrett
FS,2024-06-28,90.4,-2.02,5.49,"Garrett, Reed",643289,657585,,blocked_ball,,,,,14,Ball In Dirt,R,R,R,NYM,HOU,B,,,1,1,2024,-0.57,0.02,0.207801541018977,-0.2969688277474205,673237,676694,,2,9,Top,,,,,,,6.740913814204367,-131.46615884965465,-8.584595190526759,-7.910966387348756,24.129254344692303,-30.51749509987483,3.41,1.57,,,,90.8,1492,6.2,745804,682626,624413,643446,578428,596019,607043,664056,621438,54.26,,,,,,,,82,3,Split-Finger,7,2,2,7,2,7,2,7,Standard,Standard,234,-0.001,0.016,,,,-0.016,,5,-5,0.995,0.005,31,29,31,30,1,4,3,2,1,1,2.74,0.57,0.57,35.3,,,,,,mauricio dubón,reed garrett
FC,2024-06-28,92.0,-1.99,5.42,"Garrett, Reed",643289,657585,,swinging_strike,,,,,6,Swinging Strike,R,R,R,NYM,HOU,S,,,1,0,2024,0.32,0.52,0.5824265689149446,2.102895988709143,673237,676694,,2,9,Top,,,,,,,5.821438219238494,-133.98580602024566,-3.7807092485252927,2.729172908810555,25.64062325822653,-25.26325572164435,3.34,1.54,,,,92.3,2521,6.1,745804,682626,624413,643446,578428,596019,607043,664056,621438,54.35,,,,,,,,82,2,Cutter,7,2,2,7,2,7,2,7,Standard,Standard,182,0.001,-0.03,67.4,8.0,,0.03,,5,-5,0.994,0.006,31,29,31,30,1,4,3,2,1,1,2.14,-0.32,-0.32,36.5,3.916858403361096,6.0504364738778325,32.06658451260153,42.73148229847457,26.33142208817548,mauricio dubón,reed garrett
FC,2024-06-28,91.3,-1.91,5.57,"Garrett, Reed",643289,657585,,ball,,,,,11,Ball,R,R,R,NYM,HOU,B,,,0,0,2024,0.4,0.33,-0.1944924011998998,3.897774209223121,673237,676694,,2,9,Top,,,,,,,3.46057403117929,-133.08853115218852,0.8790008004868375,4.119668951610739,25.845947396336143,-28.540411622183605,3.41,1.57,,,,91.5,2512,6.1,745804,682626,624413,643446,578428,596019,607043,664056,621438,54.38,,,,,,,,82,1,Cutter,7,2,2,7,2,7,2,7,Standard,Standard,159,-0.001,0.021,,,,-0.021,,5,-5,0.995,0.005,31,29,31,30,1,4,3,2,1,1,2.37,-0.4,-0.4,41.2,,,,,,mauricio dubón,reed garrett
FC,2024-06-28,92.3,-1.92,5.54,"Garrett, Reed",665161,657585,field_out,hit_into_play,,,,,3,"Jeremy Peña grounds out softly, pitcher Reed Garrett to first baseman Pete Alonso.",R,R,R,NYM,HOU,X,1,ground_ball,1,0,2024,0.32,0.25,0.6397976292124089,3.0815394723851206,673237,676694,,1,9,Top,124.8,191.96,,,,,5.797822180878241,-134.3988844520306,-1.05292473741998,2.82845469044466,25.95523336601829,-29.083269473661264,3.57,1.7,0,59.7,-85,92.6,2505,6.2,745804,682626,624413,643446,578428,596019,607043,664056,621438,54.29,0.176,0.199,0.0,1,0,0,2,81,2,Cutter,7,2,2,7,2,7,2,7,Standard,Standard,160,0.018,-0.212,62.4,6.3,0.182,0.212,88.0,5,-5,0.977,0.023,31,26,31,27,1,4,3,2,1,1,2.4,-0.32,-0.32,41.1,2.86955537503222,18.23933214687618,14.180210075177662,43.98466261484478,10.744375453353426,jeremy peña,reed garrett
FC,2024-06-28,93.7,-2.13,5.5,"Garrett, Reed",665161,657585,,ball,,,,,11,Ball,R,R,R,NYM,HOU,B,,,0,0,2024,0.33,0.49,-1.194297327903049,2.921813893568988,673237,676694,,1,9,Top,,,,,,,1.6807763705660124,-136.6962066233319,-2.117624858351977,3.923207870708581,25.385183683592388,-25.70448075757264,3.53,1.75,,,,94.2,2600,6.1,745804,682626,624413,643446,578428,596019,607043,664056,621438,54.4,,,,,,,,81,1,Cutter,7,2,2,7,2,7,2,7,Standard,Standard,189,-0.002,0.025,,,,-0.025,,5,-5,0.979,0.021,31,26,31,27,1,4,3,2,1,1,2.06,-0.33,-0.33,35.2,,,,,,jeremy peña,reed garrett
SI,2024-06-28,96.3,-2.1,5.52,"Garrett, Reed",676694,657585,double,hit_into_play,,,,,13,Jake Meyers doubles (11) on a line drive to left fielder Brandon Nimmo. Yainer Diaz to 3rd.,R,R,R,NYM,HOU,X,7,line_drive,0,1,2024,-1.41,0.65,-0.9139292501510934,1.9812699896791663,,,673237,1,9,Top,51.93,124.6,,,,,6.332363609123837,-140.14891348531393,-5.320012155864454,-20.029063866834974,29.703165119096603,-22.596531812080624,3.32,1.5,175,83.5,13,96.3,2124,6.2,745804,682626,624413,643446,578428,596019,607043,664056,621438,54.34,0.761,0.734,1.25,1,1,1,4,80,2,Sinker,7,2,2,7,2,7,2,7,Standard,Standard,223,-0.016,0.852,75.9,7.3,0.907,-0.852,88.0,5,-5,0.995,0.005,31,28,31,28,1,4,3,2,1,1,1.79,1.41,1.41,36.6,9.020789830647342,-6.807860915234997,37.90343856317322,29.193095094640043,33.98063786996224,jake meyers,reed garrett
SI,2024-06-28,97.4,-2.1,5.55,"Garrett, Reed",676694,657585,,swinging_strike,,,,,11,Swinging Strike,R,R,R,NYM,HOU,S,,,0,0,2024,-1.33,0.83,-1.4616117816912015,2.523200417866476,,,673237,1,9,Top,,,,,,,4.73929371500128,-141.77803367180817,-4.518207024671977,-19.06028089403826,31.849164455118306,-20.17666743141397,3.32,1.5,,,,97.1,2218,6.0,745804,682626,624413,643446,578428,596019,607043,664056,621438,54.45,,,,,,,,80,1,Sinker,7,2,2,7,2,7,2,7,Standard,Standard,219,0.001,-0.04,52.9,5.8,,0.04,,5,-5,0.994,0.006,31,28,31,28,1,4,3,2,1,1,1.57,1.33,1.33,36.9,-11.0563109884096,10.813892943211147,39.870088302475935,21.98523459131695,22.851950029096397,jake meyers,reed garrett
