pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
SI,2024-03-31,98.0,-1.0,6.65,"Holmes, Clay",663656,605280,field_out,hit_into_play,,,,,13,Kyle Tucker lines out to left fielder Alex Verdugo.,R,L,R,HOU,NYY,X,7,line_drive,0,0,2024,-1.43,0.55,-0.8305718370298916,2.266342011517299,643289,,514888,2,9,Bot,70.19,119.41,,,,,3.731050746253149,-142.50374808247096,-7.515932628560083,-20.259134932992797,35.5136035914364,-23.069940921378624,3.5,1.69,243,80.2,23,96.9,2451,5.9,746413,624431,519203,650402,542932,665828,657077,592450,665742,54.59,0.655,0.629,0.0,1,0,0,4,78,1,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,221,-0.202,-0.299,,,0.769,0.299,88.0,-1,-1,0.202,0.202,31,27,31,27,1,4,1,1,3,1,1.84,1.43,-1.43,45.3,,,,,,kyle tucker,clay holmes
SI,2024-03-31,98.2,-0.86,6.64,"Holmes, Clay",670541,605280,field_out,hit_into_play,,,,,4,Yordan Alvarez flies out sharply to center fielder Aaron Judge. Mauricio Dubón to 3rd.,R,L,R,HOU,NYY,X,8,fly_ball,3,1,2024,-1.1,0.94,-0.3823034446348569,2.9508110754868158,,643289,514888,1,9,Bot,99.02,45.93,,,,,3.8289640997016825,-142.72888199957242,-6.587779964001553,-15.932331424675608,35.98981136233922,-17.94504242179055,3.53,1.75,383,106.3,33,97.1,2332,6.0,746413,624431,519203,650402,542932,665828,657077,592450,665742,54.53,0.815709677419355,1.6421612903225795,0.0,1,0,0,6,77,5,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,223,-0.222,-0.361,,,3.2298709677419364,0.361,106.3,-1,-1,0.424,0.424,31,27,31,27,1,4,1,1,3,1,1.45,1.1,-1.1,46.2,,,,,,yordan álvarez,clay holmes
SI,2024-03-31,96.9,-0.77,6.68,"Holmes, Clay",670541,605280,,ball,,,,,13,Ball,R,L,R,HOU,NYY,B,,,2,1,2024,-1.14,0.83,-1.8862353592314491,1.973860642692487,,643289,514888,1,9,Bot,,,,,,,-0.3851254460482233,-140.9198464836715,-8.7816893910685,-14.961398170537995,35.15665669336706,-19.291286855062676,3.46,1.7,,,,95.8,2348,5.9,746413,624431,519203,650402,542932,665828,657077,592450,665742,54.62,,,,,,,,77,4,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,220,0.061,0.104,,,,-0.104,,-1,-1,0.363,0.363,31,27,31,27,1,4,1,1,3,1,1.62,1.14,-1.14,48.1,,,,,,yordan álvarez,clay holmes
SL,2024-03-31,89.4,-0.77,6.78,"Holmes, Clay",670541,605280,,ball,,,,,14,Ball,R,L,R,HOU,NYY,B,,,1,1,2024,0.19,-0.48,1.3636293145272085,1.9449395707041508,,643289,514888,1,9,Bot,,,,,,,4.844048066113701,-130.23592895569743,-4.93194003579701,1.1811795914648702,25.504607045628468,-36.90091089002893,3.52,1.78,,,,89.2,2819,5.9,746413,624431,519203,650402,542932,665828,657077,592450,665742,54.55,,,,,,,,77,3,Slider,3,4,3,4,4,3,3,4,Standard,Standard,36,0.028,0.042,,,,-0.042,,-1,-1,0.335,0.335,31,27,31,27,1,4,1,1,3,1,3.31,-0.19,0.19,53.8,,,,,,yordan álvarez,clay holmes
SI,2024-03-31,98.1,-0.83,6.62,"Holmes, Clay",670541,605280,,foul,,,,,13,Foul,R,L,R,HOU,NYY,S,,,1,0,2024,-1.37,0.61,-1.1920014779291646,2.2389629749587616,,643289,514888,1,9,Bot,,,,,,,2.1755208093408527,-142.6490816547399,-7.649280895790774,-19.04105669717832,36.825582854971216,-22.194694466923902,3.53,1.75,237,78.9,26,97.0,2341,6.0,746413,624431,519203,650402,542932,665828,657077,592450,665742,54.52,,,,,,,,77,2,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,219,-0.028,-0.054,,,,0.054,88.0,-1,-1,0.363,0.363,31,27,31,27,1,4,1,1,3,1,1.79,1.37,-1.37,43.7,,,,,,yordan álvarez,clay holmes
SI,2024-03-31,97.3,-0.89,6.66,"Holmes, Clay",670541,605280,,ball,,,,,14,Ball,R,L,R,HOU,NYY,B,,,0,0,2024,-1.32,0.73,0.3289044453220613,1.0177638064355323,,643289,514888,1,9,Bot,,,,,,,6.236224299316446,-141.16784932454192,-11.12226140635889,-19.102067842444452,36.11169012565041,-19.797144201750218,3.52,1.81,,,,96.0,2391,6.0,746413,624431,519203,650402,542932,665828,657077,592450,665742,54.52,,,,,,,,77,1,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,231,0.02,0.03,,,,-0.03,,-1,-1,0.343,0.343,31,27,31,27,1,4,1,1,3,1,1.71,1.32,-1.32,47.0,,,,,,yordan álvarez,clay holmes
SI,2024-03-31,97.6,-0.78,6.73,"Holmes, Clay",514888,605280,force_out,hit_into_play,,,,,4,"Jose Altuve grounds into a force out, fielded by third baseman Jon Berti. Jeremy Peña out at 3rd. Mauricio Dubón to 2nd. Jose Altuve to 1st.",R,R,R,HOU,NYY,X,5,ground_ball,1,2,2024,-1.39,0.51,-0.3411083550924574,1.8514849147200672,,665161,643289,0,9,Bot,102.84,169.83,,,,,4.364049065096807,-141.8642755232281,-8.678822489021343,-19.811283495506363,34.153071122810225,-23.475181420512133,2.85,1.3,15,89.2,-7,96.7,2306,5.9,746413,624431,519203,650402,542932,665828,657077,592450,665742,54.56,0.2,0.194,0.0,1,0,0,2,76,4,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,219,-0.129,-0.238,,,0.226,0.238,89.2,-1,-1,0.472,0.472,31,34,31,34,1,4,1,1,3,1,1.9,1.39,1.39,46.1,,,,,,josé altuve,clay holmes
SI,2024-03-31,97.3,-0.84,6.65,"Holmes, Clay",514888,605280,,called_strike,,,,,5,Called Strike,R,R,R,HOU,NYY,S,,,1,1,2024,-1.51,0.15,0.1206274701212111,2.1245882062793,,665161,643289,0,9,Bot,,,,,,,5.995329337167055,-141.4348229948066,-6.888466381442304,-21.567183972974025,34.31597513428469,-28.701638809979343,2.74,1.4,,,,96.5,2252,6.0,746413,624431,519203,650402,542932,665828,657077,592450,665742,54.48,,,,,,,,76,3,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,222,-0.034,-0.069,,,,0.069,,-1,-1,0.506,0.506,31,34,31,34,1,4,1,1,3,1,2.28,1.51,1.51,47.6,,,,,,josé altuve,clay holmes
SI,2024-03-31,97.6,-0.73,6.69,"Holmes, Clay",514888,605280,,called_strike,,,,,8,Called Strike,R,R,R,HOU,NYY,S,,,1,0,2024,-1.59,0.43,0.0948853508571678,1.817852148093272,,665161,643289,0,9,Bot,,,,,,,5.820759603052254,-141.72579881383191,-8.494563688336449,-22.71954516064635,34.198383054173824,-24.51064942544447,2.82,1.41,,,,96.6,2275,5.9,746413,624431,519203,650402,542932,665828,657077,592450,665742,54.56,,,,,,,,76,2,Sinker,3,4,3,4,4,3,3,4,Standard,Standard,224,-0.03,-0.055,,,,0.055,,-1,-1,0.536,0.536,31,34,31,34,1,4,1,1,3,1,1.98,1.59,1.59,47.9,,,,,,josé altuve,clay holmes
ST,2024-03-31,84.0,-0.97,6.56,"Holmes, Clay",514888,605280,,ball,,,,,14,Ball,R,R,R,HOU,NYY,B,,,0,0,2024,1.38,-0.25,1.4462515514122114,0.9240137694413236,,665161,643289,0,9,Bot,,,,,,,2.8311728584456266,-122.16813693776466,-6.074024535893609,13.146819056251688,25.641048068039392,-33.572751127961006,2.8,1.43,,,,83.0,2821,5.8,746413,624431,519203,650402,542932,665828,657077,592450,665742,54.68,,,,,,,,76,1,Sweeper,3,4,3,4,4,3,3,4,Strategic,Standard,37,0.021,0.045,,,,-0.045,,-1,-1,0.515,0.515,31,34,31,34,1,4,1,1,3,1,3.5,-1.38,-1.38,42.7,,,,,,josé altuve,clay holmes
