pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FF,2024-08-28,94.0,2.2,5.7,"King, Bryan",669016,687911,strikeout,called_strike,,,,,13,Brandon Marsh called out on strikes.,R,L,L,PHI,HOU,S,2,,2,2,2024,0.47,1.2,-0.9915487240299036,1.6225032202725915,664761,,,2,9,Bot,,,,,,,-9.343506069726248,-136.49056577745728,-7.570340088309893,7.817565787632644,27.281349006373663,-15.603199099712135,3.2,1.53,,,,94.5,2214,6.5,745541,605170,701305,643289,694376,665161,676801,676694,592325,54.0,,0.0,0.0,1,0,0,,78,5,4-Seam Fastball,0,10,0,10,10,0,0,10,Strategic,Standard,147,-0.001,-0.202,,,,0.202,,-10,-10,0.001,0.001,27,26,28,27,1,3,2,1,19,1,1.37,0.47,0.47,36.8,,,,,,brandon marsh,bryan king
ST,2024-08-28,83.2,2.66,5.66,"King, Bryan",669016,687911,,blocked_ball,,,,,13,Ball In Dirt,R,L,L,PHI,HOU,B,,,1,2,2024,-1.37,0.39,-1.5326656770131817,0.6669064332465071,664761,,,2,9,Bot,,,,,,,-6.9634383386744485,-120.99316447618556,-5.764165436853695,-12.04246395245416,24.42506494182555,-27.399667137560435,3.22,1.62,,,,83.5,2302,6.6,745541,605170,701305,643289,694376,665161,676801,676694,592325,53.89,,,,,,,,78,4,Sweeper,0,10,0,10,10,0,0,10,Strategic,Standard,284,0.0,0.017,,,,-0.017,,-10,-10,0.001,0.001,27,26,28,27,1,3,2,1,19,1,2.92,-1.37,-1.37,33.8,,,,,,brandon marsh,bryan king
SI,2024-08-28,92.8,2.4,5.71,"King, Bryan",669016,687911,,called_strike,,,,,7,Called Strike,R,L,L,PHI,HOU,S,,,1,1,2024,0.95,0.69,-0.6052485217721878,1.4037905976463736,664761,,,2,9,Bot,,,,,,,-9.802580899442605,-134.84460951679452,-6.818951852041708,13.587724387764126,26.462236963757142,-22.44386713545621,3.22,1.52,,,,93.4,1932,6.5,745541,605170,701305,643289,694376,665161,676801,676694,592325,53.97,,,,,,,,78,3,Sinker,0,10,0,10,10,0,0,10,Strategic,Standard,148,0.0,-0.073,,,,0.073,,-10,-10,0.001,0.001,27,26,28,27,1,3,2,1,19,1,1.94,0.95,0.95,34.7,,,,,,brandon marsh,bryan king
SI,2024-08-28,91.5,2.42,5.71,"King, Bryan",669016,687911,,called_strike,,,,,5,Called Strike,R,L,L,PHI,HOU,S,,,1,0,2024,1.19,0.6,-0.1603122225520177,2.228529299793601,664761,,,2,9,Bot,,,,,,,-9.122067078995414,-133.02202920879898,-4.2437415220615895,16.076927856802495,27.661121545790337,-24.284654668986544,3.29,1.53,,,,92.0,2017,6.6,745541,605170,701305,643289,694376,665161,676801,676694,592325,53.93,,,,,,,,78,2,Sinker,0,10,0,10,10,0,0,10,Strategic,Standard,153,0.0,-0.039,,,,0.039,,-10,-10,0.001,0.001,27,26,28,27,1,3,2,1,19,1,2.12,1.19,1.19,36.7,,,,,,brandon marsh,bryan king
ST,2024-08-28,82.0,2.69,5.73,"King, Bryan",669016,687911,,ball,,,,,13,Ball,R,L,L,PHI,HOU,B,,,0,0,2024,-1.37,0.41,-1.3295694780005505,1.095427886393879,664761,,,2,9,Bot,,,,,,,-6.465790502483054,-119.1592837417496,-4.672839666013467,-11.672486747161315,24.018512556596843,-27.52099984910831,3.28,1.68,,,,82.0,2375,6.5,745541,605170,701305,643289,694376,665161,676801,676694,592325,54.01,,,,,,,,78,1,Sweeper,0,10,0,10,10,0,0,10,Strategic,Standard,295,0.0,0.032,,,,-0.032,,-10,-10,0.001,0.001,27,26,28,27,1,3,2,1,19,1,3.0,-1.37,-1.37,36.4,,,,,,brandon marsh,bryan king
FF,2024-08-28,91.2,2.43,5.79,"King, Bryan",624641,687911,grounded_into_double_play,hit_into_play,,,,,3,"Edmundo Sosa grounds into a double play, shortstop Jeremy Peña to second baseman Mauricio Dubón to first baseman Zach Dezenzo. Alec Bohm to 3rd. Johan Rojas out at 2nd. Edmundo Sosa out at 1st.",R,R,L,PHI,HOU,X,6,ground_ball,0,1,2024,0.07,1.16,0.3281703261575139,3.0958870337606315,,664761,679032,0,9,Bot,121.55,147.62,,,,,-5.4715538279415785,-132.7419182509671,-3.374111367317603,2.085914846016739,29.32278078573049,-17.915401447681067,3.61,1.72,10,82.7,-16,91.4,2214,6.5,745541,605170,701305,643289,694376,665161,676801,676694,592325,54.03,0.076,0.077,0.0,1,0,0,2,77,2,4-Seam Fastball,0,10,0,10,10,0,0,10,Standard,Standard,155,0.0,-0.272,71.9,7.4,0.092,0.272,88.0,-10,-10,0.001,0.001,27,28,28,28,1,0,2,2,19,1,1.58,0.07,-0.07,39.3,6.061627667036716,16.111939805852412,30.343467673761943,38.22641469389258,21.07351539488985,edmundo sosa,bryan king
FF,2024-08-28,91.6,2.48,5.88,"King, Bryan",624641,687911,,called_strike,,,,,3,Called Strike,R,R,L,PHI,HOU,S,,,0,0,2024,0.11,1.11,0.8036333895062634,3.4006786675165994,,664761,679032,0,9,Bot,,,,,,,-4.482309371838679,-133.3594292382038,-2.804980403304054,2.212224424914142,27.96026498109193,-18.524358988786567,3.59,1.78,,,,91.9,2133,6.4,745541,605170,701305,643289,694376,665161,676801,676694,592325,54.1,,,,,,,,77,1,4-Seam Fastball,0,10,0,10,10,0,0,10,Standard,Standard,154,0.0,-0.044,,,,0.044,,-10,-10,0.001,0.001,27,28,28,28,1,0,2,2,19,1,1.6,0.11,-0.11,43.1,,,,,,edmundo sosa,bryan king
ST,2024-08-28,83.7,2.57,5.57,"King, Bryan",679032,687911,hit_by_pitch,hit_by_pitch,,,,,13,Johan Rojas hit by pitch. Alec Bohm to 2nd.,R,R,L,PHI,HOU,B,,,0,2,2024,-1.29,0.55,-2.103074393153305,0.0433568066512242,,,664761,0,9,Bot,,,,,,,-8.25754987115944,-121.45191155148277,-7.403695506256704,-11.06791984424379,24.25961879249424,-25.414520917702685,3.48,1.66,,,,83.9,2496,6.6,745541,605170,701305,643289,694376,665161,676801,676694,592325,53.88,,0.720192,0.7,1,0,0,,76,3,Sweeper,0,10,0,10,10,0,0,10,Standard,Standard,292,0.0,0.49,,,,-0.49,,-10,-10,0.001,0.001,27,23,28,24,1,0,2,3,19,2,2.73,-1.29,1.29,36.5,,,,,,johan rojas,bryan king
FF,2024-08-28,91.9,2.56,5.72,"King, Bryan",679032,687911,,foul_tip,,,,,6,Foul Tip,R,R,L,PHI,HOU,S,,,0,1,2024,0.73,1.55,0.6427148165513482,2.849376827319544,,,664761,0,9,Bot,,,,,,,-6.486514194642231,-133.72861888727593,-4.840628028454169,10.173283231806147,27.382338027662627,-12.737649018286078,3.48,1.66,,,,92.6,2215,6.6,745541,605170,701305,643289,694376,665161,676801,676694,592325,53.9,,,,,,,,76,2,4-Seam Fastball,0,10,0,10,10,0,0,10,Standard,Standard,153,0.0,-0.048,72.9,7.1,,0.048,,-10,-10,0.001,0.001,27,23,28,24,1,0,2,3,19,2,1.14,0.73,-0.73,39.1,4.18702203994765,9.970790206784438,18.409835185892465,41.61353667144432,27.37261296531478,johan rojas,bryan king
FF,2024-08-28,91.6,2.46,5.81,"King, Bryan",679032,687911,,foul_tip,,,,,3,Foul Tip,R,R,L,PHI,HOU,S,,,0,0,2024,0.67,1.42,0.3503948855176683,3.3534172160587614,,,664761,0,9,Bot,,,,,,,-6.801599845229145,-133.21881163894238,-3.43061113935712,9.34321049342214,27.158399572636583,-14.712985672153817,3.48,1.66,,,,92.2,2293,6.6,745541,605170,701305,643289,694376,665161,676801,676694,592325,53.93,,,,,,,,76,1,4-Seam Fastball,0,10,0,10,10,0,0,10,Standard,Standard,154,0.0,-0.042,71.6,6.5,,0.042,,-10,-10,0.001,0.001,27,23,28,24,1,0,2,3,19,2,1.29,0.67,-0.67,46.8,4.577006010177683,25.14573609479576,16.292062612725008,37.54470726812754,15.97924532568686,johan rojas,bryan king
FF,2024-08-28,92.0,2.55,5.81,"King, Bryan",664761,687911,single,hit_into_play,,,,,12,Alec Bohm singles on a sharp ground ball to right fielder Ben Gamel.,R,R,L,PHI,HOU,X,9,ground_ball,3,2,2024,0.55,1.17,1.0949108086805992,2.833075827362758,,,,0,9,Bot,158.21,110.57,,,,,-4.889487462288409,-134.1353158270318,-4.393414160012623,7.531183639424728,22.91578387100377,-17.195755755235705,3.58,1.64,104,103.1,3,93.2,2207,6.4,745541,605170,701305,643289,694376,665161,676801,676694,592325,54.06,0.55,0.505,0.9,1,1,0,4,75,6,4-Seam Fastball,0,10,0,10,10,0,0,10,Standard,Standard,158,0.0,0.369,71.9,7.4,0.613,-0.369,103.1,-10,-10,0.001,0.001,27,27,28,28,1,3,2,1,19,1,1.46,0.55,-0.55,38.6,7.195608381035982,20.180377383773237,23.630678431306016,49.51958491514387,18.23752422318257,alec bohm,bryan king
FF,2024-08-28,92.9,2.45,5.73,"King, Bryan",664761,687911,,ball,,,,,9,Ball,R,R,L,PHI,HOU,B,,,2,2,2024,0.44,1.52,0.5879531761624541,1.5354499540049495,,,,0,9,Bot,,,,,,,-5.743941426107538,-135.1274903390932,-8.378657879535323,6.4948971032914375,25.85624405884948,-11.981427652605602,3.59,1.58,,,,93.7,2173,6.5,745541,605170,701305,643289,694376,665161,676801,676694,592325,54.01,,,,,,,,75,5,4-Seam Fastball,0,10,0,10,10,0,0,10,Standard,Standard,150,0.0,0.107,,,,-0.107,,-10,-10,0.001,0.001,27,27,28,28,1,3,2,1,19,1,1.1,0.44,-0.44,39.6,,,,,,alec bohm,bryan king
FF,2024-08-28,91.7,2.5,5.83,"King, Bryan",664761,687911,,swinging_strike,,,,,12,Swinging Strike,R,R,L,PHI,HOU,S,,,2,1,2024,0.34,1.28,0.9454017125175664,3.2237871571508965,,,,0,9,Bot,,,,,,,-4.690187548767391,-133.58051357662706,-3.56190705165803,5.033275940723938,26.048189766106987,-16.22839773532495,3.58,1.64,,,,92.5,2168,6.5,745541,605170,701305,643289,694376,665161,676801,676694,592325,54.03,,,,,,,,75,4,4-Seam Fastball,0,10,0,10,10,0,0,10,Standard,Standard,155,0.0,-0.069,70.7,7.0,,0.069,,-10,-10,0.001,0.001,27,27,28,28,1,3,2,1,19,1,1.4,0.34,-0.34,40.5,-0.6853217829427843,25.167895253145428,27.46009276495949,48.63629645975695,12.92005406197909,alec bohm,bryan king
