pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
CU,2024-08-21,77.9,-1.95,5.86,"Bednar, David",694671,670280,single,hit_into_play,,,,,4,Wyatt Langford singles on a ground ball to center fielder Billy McKinney. Ezequiel Duran scores. Adolis García to 3rd.,R,R,R,TEX,PIT,X,8,ground_ball,2,1,2024,0.74,-1.08,-0.7461430581269183,2.3531098874055827,677649,666969,,2,9,Bot,116.02,95.99,,,,,1.22157064691232,-113.42098631674816,1.4126436752826257,6.114118830456427,22.85140506120775,-41.95351443642409,3.28,1.54,153,82.1,12,77.5,2592,6.2,744973,518735,642133,643396,669707,665833,668804,641856,650559,54.3,0.587,0.532,0.9,1,1,0,4,71,4,Curveball,0,0,0,0,0,1,1,0,Standard,Standard,48,0.363,0.72,67.8,6.2,0.64,-0.72,88.0,0,0,0.637,0.637,29,22,30,23,1,3,1,2,2,2,4.86,-0.74,-0.74,37.4,0.5511172928843482,7.165982157229729,33.393446330629786,27.55993139924664,25.13350425649081,wyatt langford,david bednar
FF,2024-08-21,97.2,-1.64,5.96,"Bednar, David",694671,670280,,ball,,,,,12,Ball,R,R,R,TEX,PIT,B,,,1,1,2024,-0.72,1.6,0.2913606905722226,4.257087334309061,677649,666969,,2,9,Bot,,,,,,,6.868767452004446,-141.3030416211099,-2.6636034440443046,-11.30373187935933,34.23466370636173,-10.3776734124347,3.32,1.58,,,,97.3,2472,6.5,744973,518735,642133,643396,669707,665833,668804,641856,650559,53.98,,,,,,,,71,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,208,0.01,0.016,,,,-0.016,,0,0,0.627,0.627,29,22,30,23,1,3,1,2,2,2,0.83,0.72,0.72,40.5,,,,,,wyatt langford,david bednar
FS,2024-08-21,93.8,-1.96,5.68,"Bednar, David",694671,670280,,blocked_ball,,,,,14,Ball In Dirt,R,R,R,TEX,PIT,B,,,0,1,2024,-1.17,0.46,0.0386802629145297,0.7357785875569494,677649,666969,,2,9,Bot,,,,,,,7.800658147307512,-136.29561058669464,-8.126512771051654,-16.28418811240728,28.658754332179413,-24.804426627619332,3.32,1.58,,,,94.3,1833,6.6,744973,518735,642133,643396,669707,665833,668804,641856,650559,53.92,,,,,,,,71,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,218,0.013,0.037,,,,-0.037,,0,0,0.614,0.614,29,22,30,23,1,3,1,2,2,2,2.12,1.17,1.17,39.0,,,,,,wyatt langford,david bednar
FF,2024-08-21,97.0,-1.72,5.99,"Bednar, David",694671,670280,,called_strike,,,,,6,Called Strike,R,R,R,TEX,PIT,S,,,0,0,2024,-0.81,1.65,0.6320401466538017,2.761075608055457,677649,666969,,2,9,Bot,,,,,,,8.154701536188245,-140.86503656587908,-6.832488399988337,-12.691973257219107,34.85003148617793,-8.835204363846405,3.32,1.54,,,,97.0,2552,6.6,744973,518735,642133,643396,669707,665833,668804,641856,650559,53.92,,,,,,,,71,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210,-0.02,-0.046,,,,0.046,,0,0,0.634,0.634,29,22,30,23,1,3,1,2,2,2,0.8,0.81,0.81,44.4,,,,,,wyatt langford,david bednar
FF,2024-08-21,97.3,-1.7,5.97,"Bednar, David",673962,670280,strikeout,swinging_strike,,,,,11,Josh Jung strikes out swinging.,R,R,R,TEX,PIT,S,2,,3,2,2024,-0.91,1.6,-0.080720090358769,4.3500664904498505,677649,666969,,1,9,Bot,,,,,,,6.466388512302456,-141.43983160882036,-2.422070617968301,-13.784169369731549,36.72060085001511,-10.458057771597682,3.63,1.66,,,,97.0,2591,6.5,744973,518735,642133,643396,669707,665833,668804,641856,650559,54.0,,0.0,0.0,1,0,0,,70,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,210,-0.209,-0.335,63.3,5.5,,0.335,,0,0,0.843,0.843,29,26,30,26,1,3,1,1,2,2,0.84,0.91,0.91,41.1,3.543559444348429,36.60213286904703,20.783702553039213,34.80308791393066,13.263633620639506,josh jung,david bednar
CU,2024-08-21,78.2,-1.84,5.82,"Bednar, David",673962,670280,,called_strike,,,,,9,Called Strike,R,R,R,TEX,PIT,S,,,3,1,2024,0.76,-0.98,0.6565785549828186,1.9859346335226544,677649,666969,,1,9,Bot,,,,,,,3.966875101514738,-113.73303462465572,0.483229697957817,5.707410035005305,23.479674737951637,-40.90610223809864,3.72,1.75,,,,77.5,2560,6.1,744973,518735,642133,643396,669707,665833,668804,641856,650559,54.42,,,,,,,,70,5,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,45,0.0,-0.14,,,,0.14,,0,0,0.843,0.843,29,26,30,26,1,3,1,1,2,2,4.75,-0.76,-0.76,37.5,,,,,,josh jung,david bednar
FF,2024-08-21,96.6,-1.87,5.95,"Bednar, David",673962,670280,,ball,,,,,11,Ball,R,R,R,TEX,PIT,B,,,2,1,2024,-0.84,1.54,-0.7178063874452134,4.728050926015502,677649,666969,,1,9,Bot,,,,,,,4.981807087419272,-140.4902621507633,-1.1491284845241692,-12.295790149336645,34.69085839787312,-11.84369422830633,3.76,1.7,,,,96.3,2539,6.4,744973,518735,642133,643396,669707,665833,668804,641856,650559,54.15,,,,,,,,70,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,212,0.0,0.057,,,,-0.057,,0,0,0.843,0.843,29,26,30,26,1,3,1,1,2,2,0.92,0.84,0.84,40.1,,,,,,josh jung,david bednar
FF,2024-08-21,96.5,-1.8,6.05,"Bednar, David",673962,670280,,ball,,,,,11,Ball,R,R,R,TEX,PIT,B,,,1,1,2024,-0.87,1.59,-0.3594462073617209,4.4194523987974605,677649,666969,,1,9,Bot,,,,,,,5.838324424716991,-140.3209261495975,-2.3595424940306886,-12.827856921011442,34.26338335809403,-10.884418382645542,3.76,1.84,,,,96.5,2492,6.5,744973,518735,642133,643396,669707,665833,668804,641856,650559,53.98,,,,,,,,70,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,208,0.01,0.04,,,,-0.04,,0,0,0.833,0.833,29,26,30,26,1,3,1,1,2,2,0.87,0.87,0.87,41.8,,,,,,josh jung,david bednar
CU,2024-08-21,78.4,-1.8,5.8,"Bednar, David",673962,670280,,swinging_strike,,,,,14,Swinging Strike,R,R,R,TEX,PIT,S,,,1,0,2024,0.7,-1.09,0.4469988179919678,0.7405626396653604,677649,666969,,1,9,Bot,,,,,,,3.5418657883448965,-114.0912336812899,-1.9415495694190736,5.231973505470855,24.68785582480942,-41.398474425341526,3.63,1.66,,,,77.5,2560,6.1,744973,518735,642133,643396,669707,665833,668804,641856,650559,54.45,,,,,,,,70,2,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,46,-0.01,-0.062,34.7,7.3,,0.062,,0,0,0.843,0.843,29,26,30,26,1,3,1,1,2,2,4.85,-0.7,-0.7,36.0,18.74471224519543,-9.03915927544119,37.05091088223988,40.59131475166517,43.97789775263508,josh jung,david bednar
CU,2024-08-21,76.6,-2.01,5.83,"Bednar, David",673962,670280,,blocked_ball,,,,,14,Ball In Dirt,R,R,R,TEX,PIT,B,,,0,0,2024,0.56,-0.96,0.7499099312358541,0.7028122404858541,677649,,666969,1,9,Bot,,,,,,,4.784579966687551,-111.42983825302537,-2.0174840434212,3.729091653192824,21.935650906119957,-39.92788107876538,3.72,1.71,,,,76.1,2547,6.1,744973,518735,642133,643396,669707,665833,668804,641856,650559,54.37,,,,,,,,70,1,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,39,0.019,0.024,,,,-0.024,,0,0,0.824,0.824,29,26,30,26,1,3,1,1,2,2,4.87,-0.56,-0.56,35.3,,,,,,josh jung,david bednar
