pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
SL,2024-07-02,88.0,-1.73,5.54,"Hernández, Jonathan",666703,642546,field_out,hit_into_play,,,,,5,"Eguy Rosario grounds out, third baseman Jonathan Ornelas to first baseman Nathaniel Lowe.",R,R,R,TEX,SD,X,5,ground_ball,0,1,2024,0.36,0.36,0.1215641163557475,2.3094303988733187,,,,2,9,Top,99.82,164.88,,,,,3.7516348791419656,-128.17150846562936,-2.4939506361814368,3.164190879297186,26.03802140494883,-27.89391091859027,3.39,1.61,34,78.0,-1,88.0,2402,6.2,744999,641680,663993,543760,680716,669701,694671,665750,666969,54.28,0.129,0.121,0.0,1,0,0,2,66,2,Slider,7,0,0,7,0,7,0,7,Standard,Standard,165,0.001,-0.215,69.5,7.8,0.15,0.215,88.0,7,-7,0.999,0.001,27,24,28,25,1,0,5,6,4,,2.57,-0.36,-0.36,25.7,-0.3927248599411581,-2.4161119270301468,32.96395940162239,35.057846472628604,38.47646766528675,eguy rosario,jonathan hernández
SL,2024-07-02,90.0,-1.7,5.51,"Hernández, Jonathan",666703,642546,,swinging_strike,,,,,8,Swinging Strike,R,R,R,TEX,SD,S,,,0,0,2024,0.35,0.54,0.0071841309121978,2.014522197281292,,,,2,9,Top,,,,,,,3.4840001707240247,-131.0374504267299,-3.881357775131969,3.3340855237008777,27.06266298083724,-25.33088197086985,3.39,1.61,,,,90.1,2413,6.2,744999,641680,663993,543760,680716,669701,694671,665750,666969,54.26,,,,,,,,66,1,Slider,7,0,0,7,0,7,0,7,Standard,Standard,198,0.0,-0.041,73.0,8.7,,0.041,,7,-7,0.999,0.001,27,24,28,25,1,0,5,6,4,,2.26,-0.35,-0.35,28.6,21.61653671633761,-44.66910665088376,29.39055902332697,34.24899930540688,54.79956375976121,eguy rosario,jonathan hernández
SI,2024-07-02,97.6,-1.48,5.69,"Hernández, Jonathan",642180,642546,field_out,hit_into_play,,,,,8,"Tyler Wade grounds out, shortstop Josh Smith to first baseman Nathaniel Lowe.",R,L,R,TEX,SD,X,6,ground_ball,2,2,2024,-1.41,0.68,-0.26707855520397,1.9997882190762537,,,,1,9,Top,119.16,140.71,,,,,6.5071671307565975,-141.9725712896671,-6.010086926232199,-20.60989702821762,31.85586719113331,-21.772587668856747,3.22,1.56,28,98.2,-2,97.7,2290,6.3,744999,641680,663993,543760,680716,669701,694671,665750,666969,54.2,0.411,0.428,0.0,1,0,0,2,65,6,Sinker,7,0,0,7,0,7,0,7,Infield shade,Standard,235,0.0,-0.225,64.9,6.2,0.493,0.225,98.2,7,-7,0.999,0.001,27,29,28,30,1,0,5,3,4,2,1.71,1.41,-1.41,30.8,-4.532218830175938,13.227076894064515,32.35336855901575,38.72913872864921,21.244905128391306,tyler wade,jonathan hernández
SL,2024-07-02,89.5,-1.77,5.41,"Hernández, Jonathan",642180,642546,,ball,,,,,13,Ball,R,L,R,TEX,SD,B,,,1,2,2024,0.15,0.43,-0.4430844575621032,0.8639443941601181,,,,1,9,Top,,,,,,,2.969240225396847,-130.25815744597503,-6.167897006513819,1.0962103145483084,26.23394702253801,-26.216975955895347,3.14,1.5,,,,89.8,2301,6.4,744999,641680,663993,543760,680716,669701,694671,665750,666969,54.11,,,,,,,,65,5,Slider,7,0,0,7,0,7,0,7,Infield shade,Standard,211,0.0,0.043,,,,-0.043,,7,-7,0.999,0.001,27,29,28,30,1,0,5,3,4,2,2.4,-0.15,0.15,26.3,,,,,,tyler wade,jonathan hernández
FF,2024-07-02,96.7,-1.71,5.51,"Hernández, Jonathan",642180,642546,,foul,,,,,5,Foul,R,L,R,TEX,SD,S,,,1,2,2024,-1.18,1.05,0.2529048859809037,2.326403947080062,,,,1,9,Top,,,,,,,7.904553286289555,-140.56173235908372,-5.306306765924549,-17.440088886203075,32.27721582499169,-17.23188736602814,3.22,1.56,257,76.1,38,96.6,2294,6.3,744999,641680,663993,543760,680716,669701,694671,665750,666969,54.2,,,,,,,,65,4,4-Seam Fastball,7,0,0,7,0,7,0,7,Infield shade,Standard,240,0.0,0.0,68.0,7.2,,0.0,88.0,7,-7,0.999,0.001,27,29,28,30,1,0,5,3,4,2,1.4,1.18,-1.18,29.0,15.895588159390163,-21.28747492894273,39.33602249696455,33.226198752986775,39.42767336329585,tyler wade,jonathan hernández
SI,2024-07-02,96.8,-1.82,5.42,"Hernández, Jonathan",642180,642546,,foul,,,,,4,Foul,R,L,R,TEX,SD,S,,,1,1,2024,-1.4,0.49,-0.4115770111940964,2.3069508357076165,,,,1,9,Top,,,,,,,6.953127897003937,-140.81054704069206,-3.9193721091802,-20.176718451048707,30.31746657532962,-24.9286685215852,3.22,1.56,284,85.1,30,97.0,2281,6.3,744999,641680,663993,543760,680716,669701,694671,665750,666969,54.2,,,,,,,,65,3,Sinker,7,0,0,7,0,7,0,7,Infield shade,Standard,236,0.0,-0.061,65.1,6.3,,0.061,88.0,7,-7,0.999,0.001,27,29,28,30,1,0,5,3,4,2,1.93,1.4,-1.4,23.1,-0.8624281904543489,17.626543906685853,31.655180828170124,40.49771561353924,18.30803643792561,tyler wade,jonathan hernández
SL,2024-07-02,87.2,-1.87,5.45,"Hernández, Jonathan",642180,642546,,ball,,,,,11,Ball,R,L,R,TEX,SD,B,,,0,1,2024,0.71,-0.01,-2.3133690115941885,2.5430327391885674,,,,1,9,Top,,,,,,,-2.5129895094073142,-126.97699643848142,-0.7674692361758567,8.164230280650763,27.25874407733812,-32.38399106213684,3.27,1.57,,,,86.8,2419,6.1,744999,641680,663993,543760,680716,669701,694671,665750,666969,54.37,,,,,,,,65,2,Slider,7,0,0,7,0,7,0,7,Infield shade,Standard,128,0.0,0.024,,,,-0.024,,7,-7,0.999,0.001,27,29,28,30,1,0,5,3,4,2,3.02,-0.71,0.71,24.8,,,,,,tyler wade,jonathan hernández
SL,2024-07-02,89.2,-1.66,5.6,"Hernández, Jonathan",642180,642546,,foul,,,,,14,Foul,R,L,R,TEX,SD,S,,,0,0,2024,0.36,0.32,1.0268341680538913,1.7166906574814922,,,,1,9,Top,,,,,,,5.912380055063605,-129.7813949491259,-4.249354108646084,2.799925769573046,26.756092299518063,-27.876929875050045,3.22,1.56,,,,90.2,2434,6.9,744999,641680,663993,543760,680716,669701,694671,665750,666969,53.61,,,,,,,,65,1,Slider,7,0,0,7,0,7,0,7,Infield shade,Standard,190,0.0,-0.037,69.8,8.1,,0.037,,7,-7,0.999,0.001,27,29,28,30,1,0,5,3,4,2,2.54,-0.36,0.36,36.9,27.476616182737747,-31.239919324486383,37.5060598958101,24.88260600765771,42.96874842163472,tyler wade,jonathan hernández
CH,2024-07-02,90.7,-1.81,5.43,"Hernández, Jonathan",669369,642546,field_out,hit_into_play,,,,,8,Bryce Johnson lines out to right fielder Adolis García.,R,L,R,TEX,SD,X,9,line_drive,0,1,2024,-1.47,0.6,0.1108198494124668,1.8632294800470344,,,,0,9,Top,192.33,93.97,,,,,8.010539123456738,-131.83568014387313,-4.294727479277462,-18.903221110693288,27.875002627613757,-24.43145093245183,3.33,1.53,306,98.1,19,91.2,2031,6.6,744999,641680,663993,543760,680716,669701,694671,665750,666969,53.87,0.311,0.347,0.0,1,0,0,4,64,2,Changeup,7,0,0,7,0,7,0,7,Infield shade,Standard,240,0.0,-0.217,73.1,7.3,0.53,0.217,98.1,7,-7,0.999,0.001,27,28,28,29,1,2,5,2,4,1,2.17,1.47,-1.47,25.1,12.113065706949923,-4.43456105028852,37.80620814336534,34.56121986838338,40.30999726201117,bryce johnson,jonathan hernández
SI,2024-07-02,95.7,-1.83,5.38,"Hernández, Jonathan",669369,642546,,called_strike,,,,,9,Called Strike,R,L,R,TEX,SD,S,,,0,0,2024,-1.53,0.42,0.7066456554401761,1.7817283293023067,,,,0,9,Top,,,,,,,10.131547344077172,-139.04535865583364,-4.83952095706538,-22.059080126522623,29.587725558123665,-25.864103793425517,3.33,1.6,,,,95.8,2282,6.3,744999,641680,663993,543760,680716,669701,694671,665750,666969,54.19,,,,,,,,64,1,Sinker,7,0,0,7,0,7,0,7,Infield shade,Standard,240,0.0,-0.037,,,,0.037,,7,-7,0.999,0.001,27,28,28,29,1,2,5,2,4,1,2.07,1.53,-1.53,21.0,,,,,,bryce johnson,jonathan hernández
