pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FF,2024-05-28,98.2,-0.85,6.29,"Stanek, Ryne",572138,592773,field_out,hit_into_play,,,,,6,Jon Singleton flies out to left fielder Luke Raley.,R,L,R,SEA,HOU,X,7,fly_ball,2,1,2024,-0.59,1.57,0.3378763995050008,2.226037968266605,,,,2,9,Top,81.78,116.91,,,,,4.556661295838775,-142.7849269584432,-9.133189022804052,-9.123698211778803,31.879344418975453,-8.807655758552523,3.21,1.45,234,77.1,46,97.9,2253,6.1,745258,663728,664034,669208,668942,641487,670042,677594,686527,54.38,0.089,0.101,0.0,1,0,0,3,66,4,4-Seam Fastball,4,2,2,4,2,4,2,4,Infield shade,Standard,213,0.014,-0.303,71.4,6.5,0.13,0.303,88.0,2,-2,0.986,0.014,32,32,33,33,1,3,2,1,3,1,0.79,0.59,-0.59,48.9,1.7723901284544965,4.607944346120145,32.78621847795989,35.864777878080915,24.9255403527872,jon singleton,ryne stanek
FF,2024-05-28,98.4,-0.47,6.53,"Stanek, Ryne",572138,592773,,ball,,,,,13,Ball,R,L,R,SEA,HOU,B,,,1,1,2024,-0.64,1.62,-0.3940311411027399,0.975564793079074,,,,2,9,Top,,,,,,,1.6805073468781198,-142.85352985779153,-13.300656776634842,-9.182690713530434,30.17597845216632,-7.229299364378892,3.16,1.33,,,,98.2,2286,6.1,745258,663728,664034,669208,668942,641487,670042,677594,686527,54.39,,,,,,,,66,3,4-Seam Fastball,4,2,2,4,2,4,2,4,Infield shade,Standard,204,-0.003,0.058,,,,-0.058,,2,-2,0.989,0.011,32,32,33,33,1,3,2,1,3,1,0.73,0.64,-0.64,49.8,,,,,,jon singleton,ryne stanek
FF,2024-05-28,98.4,-0.67,6.46,"Stanek, Ryne",572138,592773,,called_strike,,,,,9,Called Strike,R,L,R,SEA,HOU,S,,,1,0,2024,-0.58,1.6,0.3801179449850266,1.7256291965782715,,,,2,9,Top,,,,,,,4.161137013296887,-142.8389345912532,-11.00755390549905,-8.90981950232955,32.69855246291547,-7.923293917084356,3.17,1.33,,,,97.8,2260,6.1,745258,663728,664034,669208,668942,641487,670042,677594,686527,54.42,,,,,,,,66,2,4-Seam Fastball,4,2,2,4,2,4,2,4,Infield shade,Standard,205,0.003,-0.051,,,,0.051,,2,-2,0.986,0.014,32,32,33,33,1,3,2,1,3,1,0.76,0.58,-0.58,48.7,,,,,,jon singleton,ryne stanek
FF,2024-05-28,99.2,-0.7,6.47,"Stanek, Ryne",572138,592773,,ball,,,,,13,Ball,R,L,R,SEA,HOU,B,,,0,0,2024,-0.56,1.62,-0.8418160779320453,1.5413537297785918,,,,2,9,Top,,,,,,,0.8982277461726939,-144.04487683121752,-11.76154582236221,-7.982796096253226,33.220636034419904,-7.096752200144834,3.21,1.37,,,,98.7,2345,6.1,745258,663728,664034,669208,668942,641487,670042,677594,686527,54.4,,,,,,,,66,1,4-Seam Fastball,4,2,2,4,2,4,2,4,Infield shade,Standard,205,-0.002,0.04,,,,-0.04,,2,-2,0.988,0.012,32,32,33,33,1,3,2,1,3,1,0.7,0.56,-0.56,50.3,,,,,,jon singleton,ryne stanek
FS,2024-05-28,89.9,-0.52,6.37,"Stanek, Ryne",676694,592773,strikeout,swinging_strike,,,,,7,Jake Meyers strikes out swinging.,R,R,R,SEA,HOU,S,2,,1,2,2024,-1.05,0.27,-0.4721917273987739,1.570326422995557,,,,1,9,Top,,,,,,,2.344019002025072,-130.88391451936266,-6.540476600011905,-12.594876633579451,25.543851606357045,-27.97182745333264,3.3,1.5,,,,90.3,805,6.3,745258,663728,664034,669208,668942,641487,670042,677594,686527,54.18,,0.0,0.0,1,0,0,,65,4,Split-Finger,4,2,2,4,2,4,2,4,Standard,Standard,245,0.019,-0.182,70.8,7.8,,0.182,,2,-2,0.969,0.031,32,28,33,28,1,3,2,1,3,1,2.53,1.05,1.05,50.8,25.309180821660988,-37.15611001133037,25.396031707433256,36.24977006413943,49.06340636506888,jake meyers,ryne stanek
SL,2024-05-28,88.6,-1.23,6.17,"Stanek, Ryne",676694,592773,,foul,,,,,2,Foul,R,R,R,SEA,HOU,S,,,1,1,2024,0.25,0.38,0.1332679918102688,3.3192061426462907,,,,1,9,Top,,,,,,,2.799584745386696,-129.0099367661797,-1.7030134763483824,2.2055818218368923,26.145258451123347,-27.77728903289631,3.3,1.5,,,,88.5,2408,6.2,745258,663728,664034,669208,668942,641487,670042,677594,686527,54.34,,,,,,,,65,3,Slider,4,2,2,4,2,4,2,4,Standard,Standard,74,0.005,-0.061,67.7,6.6,,0.061,,2,-2,0.964,0.036,32,28,33,28,1,3,2,1,3,1,2.51,-0.25,-0.25,43.4,11.045168295955762,7.16847082911431,23.70085931334229,43.24400647272032,28.0425898135046,jake meyers,ryne stanek
FS,2024-05-28,89.8,-0.52,6.38,"Stanek, Ryne",676694,592773,,ball,,,,,1,Ball,R,R,R,SEA,HOU,B,,,0,1,2024,-0.76,0.17,-0.6651728231426155,2.876773135423189,,,,1,9,Top,,,,,,,1.2290946486144696,-130.85837820464306,-3.107494913826892,-8.975980934437185,25.233440389855524,-29.80780272882345,3.4,1.51,,,,90.0,779,6.1,745258,663728,664034,669208,668942,641487,670042,677594,686527,54.39,,,,,,,,65,2,Split-Finger,4,2,2,4,2,4,2,4,Standard,Standard,233,-0.003,0.024,,,,-0.024,,2,-2,0.967,0.033,32,28,33,28,1,3,2,1,3,1,2.63,0.76,0.76,47.1,,,,,,jake meyers,ryne stanek
FF,2024-05-28,98.5,-0.8,6.38,"Stanek, Ryne",676694,592773,,swinging_strike,,,,,2,Swinging Strike,R,R,R,SEA,HOU,S,,,0,0,2024,-0.69,1.52,0.1270882216369786,3.0665532643268865,,,,1,9,Top,,,,,,,4.079051104012393,-143.30373797075129,-7.058821771256342,-10.387484047880184,31.7408161933774,-9.732793495098155,3.3,1.5,,,,98.0,2277,6.0,745258,663728,664034,669208,668942,641487,670042,677594,686527,54.55,,,,,,,,65,1,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,211,0.004,-0.037,73.4,6.5,,0.037,,2,-2,0.963,0.037,32,28,33,28,1,3,2,1,3,1,0.82,0.69,0.69,45.7,6.141176369022268,9.953692309726732,24.02852801182291,42.52877700510273,23.087236098408724,jake meyers,ryne stanek
FS,2024-05-28,89.7,-0.57,6.42,"Stanek, Ryne",608324,592773,strikeout,swinging_strike,,,,,2,Alex Bregman strikes out swinging.,R,R,R,SEA,HOU,S,2,,2,2,2024,-1.27,0.55,0.0228449479202819,2.9803364919250184,,,,0,9,Top,,,,,,,4.155050712053205,-130.60635732974575,-3.719961675331592,-15.462140663960737,25.81259581115201,-25.30149777265272,3.31,1.55,,,,89.9,803,6.2,745258,663728,664034,669208,668942,641487,670042,677594,686527,54.26,,0.0,0.0,1,0,0,,64,5,Split-Finger,4,2,2,4,2,4,2,4,Standard,Standard,238,0.035,-0.227,74.6,7.2,,0.227,,2,-2,0.928,0.0719999999999999,32,30,33,30,1,3,2,1,3,1,2.26,1.27,1.27,49.4,13.088222897372743,0.043091461803319,25.137151309208484,33.96168191781192,26.923869638984687,alex bregman,ryne stanek
FS,2024-05-28,91.2,-0.53,6.43,"Stanek, Ryne",608324,592773,,ball,,,,,14,Ball,R,R,R,SEA,HOU,B,,,1,2,2024,-1.26,0.75,0.7259777299982031,1.0850537359097043,,,,0,9,Top,,,,,,,5.853529215653849,-132.53021355513252,-9.18772578864513,-16.095891434090607,25.62011578047088,-21.592010814489864,3.27,1.51,,,,91.3,1008,6.2,745258,663728,664034,669208,668942,641487,670042,677594,686527,54.29,,,,,,,,64,4,Split-Finger,4,2,2,4,2,4,2,4,Standard,Standard,230,-0.006,0.04,,,,-0.04,,2,-2,0.934,0.0659999999999999,32,30,33,30,1,3,2,1,3,1,1.97,1.26,1.26,52.5,,,,,,alex bregman,ryne stanek
