pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
CU,2024-06-11,82.4,-0.43,6.02,"Pressly, Ryan",624424,519151,strikeout,swinging_strike,,,,,8,Michael Conforto strikes out swinging.,R,L,R,SF,HOU,S,2,,3,2,2024,1.52,-1.16,0.2265448335725688,1.554251810322698,,,,2,9,Bot,,,,,,,-1.488482933851814,-119.90212635046618,-1.1993259833747585,14.75493620016043,29.31982247086797,-43.08867378674332,3.14,1.48,,,,81.6,3164,6.4,745327,605170,572138,514888,608324,665161,643289,676694,663550,54.15,,0.0,0.0,1,0,0,,66,6,Curveball,1,3,1,3,3,1,1,3,Infield shade,Standard,25,-0.02,-0.325,75.0,8.0,,0.325,,-2,-2,0.02,0.02,35,31,36,31,1,3,2,1,5,3,4.59,-1.52,1.52,59.3,23.83861050599166,-21.275773413428087,35.540165468138234,35.44194679178525,40.9095815027478,michael conforto,ryan pressly
SL,2024-06-11,88.9,-0.47,6.03,"Pressly, Ryan",624424,519151,,foul,,,,,2,Foul,R,L,R,SF,HOU,S,,,3,1,2024,0.47,0.19,0.0610523328684355,2.9977200206870074,,,,2,9,Bot,,,,,,,0.3212165927117111,-129.5737909351297,-1.8214383896953956,5.194853271119545,25.94882424870743,-29.879938853967943,3.14,1.48,,,,89.2,2545,6.3,745327,605170,572138,514888,608324,665161,643289,676694,663550,54.2,,,,,,,,66,5,Slider,1,3,1,3,3,1,1,3,Infield shade,Standard,122,-0.007,-0.089,75.2,7.3,,0.089,,-2,-2,0.027,0.027,35,31,36,31,1,3,2,1,5,3,2.68,-0.47,0.47,59.0,12.942295440299349,-13.119202700610092,21.172520903983944,37.33491077282927,34.827931915895526,michael conforto,ryan pressly
FF,2024-06-11,93.5,-0.45,6.03,"Pressly, Ryan",624424,519151,,ball,,,,,11,Ball,R,L,R,SF,HOU,B,,,2,1,2024,0.08,1.32,-1.0579826942026465,3.993767032563136,,,,2,9,Bot,,,,,,,-1.747866034885842,-136.2802074995475,-2.4643515561638374,1.349827588729004,28.789153217863625,-15.307158977887063,3.18,1.44,,,,94.0,2465,6.4,745327,605170,572138,514888,608324,665161,643289,676694,663550,54.08,,,,,,,,66,4,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shade,Standard,192,0.009,0.112,,,,-0.112,,-2,-2,0.018,0.018,35,31,36,31,1,3,2,1,5,3,1.27,-0.08,0.08,60.9,,,,,,michael conforto,ryan pressly
FF,2024-06-11,93.7,-0.42,6.01,"Pressly, Ryan",624424,519151,,ball,,,,,13,Ball,R,L,R,SF,HOU,B,,,1,1,2024,-0.29,1.39,-0.3030804365788412,1.4602641226285766,,,,2,9,Bot,,,,,,,0.9624876308813552,-136.2805137025331,-9.115146862315155,-3.885176807801317,30.029147682785126,-13.052059341945125,3.15,1.76,,,,93.9,2416,6.5,745327,605170,572138,514888,608324,665161,643289,676694,663550,54.04,,,,,,,,66,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shade,Standard,202,0.003,0.058,,,,-0.058,,-2,-2,0.015,0.015,35,31,36,31,1,3,2,1,5,3,1.21,0.29,-0.29,54.9,,,,,,michael conforto,ryan pressly
SL,2024-06-11,89.8,-0.52,6.06,"Pressly, Ryan",624424,519151,,ball,,,,,14,Ball,R,L,R,SF,HOU,B,,,0,1,2024,0.48,0.06,0.4874664123958871,1.128461923509145,,,,2,9,Bot,,,,,,,1.491380203892431,-130.78672411227248,-6.400329662931219,5.180027910969691,26.373848086160045,-30.340449160062352,3.18,1.47,,,,90.0,2586,6.3,745327,605170,572138,514888,608324,665161,643289,676694,663550,54.22,,,,,,,,66,2,Slider,1,3,1,3,3,1,1,3,Infield shade,Standard,150,0.0,0.029,,,,-0.029,,-2,-2,0.015,0.015,35,31,36,31,1,3,2,1,5,3,2.75,-0.48,0.48,62.0,,,,,,michael conforto,ryan pressly
FF,2024-06-11,93.5,-0.4,5.98,"Pressly, Ryan",624424,519151,,called_strike,,,,,5,Called Strike,R,L,R,SF,HOU,S,,,0,0,2024,0.26,1.1,0.1446594834884083,2.336177130321268,,,,2,9,Bot,,,,,,,0.8204237608975847,-136.19728611562363,-6.130991620428151,3.0931501036051463,28.124538612251232,-17.298679396920097,3.24,1.58,,,,93.9,2440,6.3,745327,605170,572138,514888,608324,665161,643289,676694,663550,54.16,,,,,,,,66,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shade,Standard,199,0.0,-0.041,,,,0.041,,-2,-2,0.015,0.015,35,31,36,31,1,3,2,1,5,3,1.48,-0.26,0.26,58.8,,,,,,michael conforto,ryan pressly
CU,2024-06-11,82.5,-0.4,6.09,"Pressly, Ryan",656305,519151,strikeout,swinging_strike_blocked,,,,,14,Matt Chapman strikes out swinging.,R,R,R,SF,HOU,S,2,,0,2,2024,1.55,-1.02,0.855595931270589,0.908890167133749,,,,1,9,Bot,,,,,,,-0.1527544214060699,-120.01934559150648,-3.114077182799789,14.728263843430003,28.685438620365936,-41.39064215711164,3.52,1.67,,,,81.6,3316,6.2,745327,605170,572138,514888,608324,665161,643289,676694,663550,54.26,,0.0,0.0,1,0,0,,65,3,Curveball,1,3,1,3,3,1,1,3,Standard,Standard,30,-0.021,-0.162,75.0,8.7,,0.162,,-2,-2,0.036,0.036,35,31,36,31,1,3,2,3,5,1,4.44,-1.55,-1.55,53.8,14.747842167057476,-23.297345038794063,29.703733012780127,46.92992437637507,39.27886009964212,matt chapman,ryan pressly
SL,2024-06-11,90.5,-0.48,6.13,"Pressly, Ryan",656305,519151,,foul,,,,,8,Foul,R,R,R,SF,HOU,S,,,0,1,2024,0.13,0.41,-0.1559076778485661,1.870501656685432,,,,1,9,Bot,,,,,,,0.5417223524900385,-131.69068317276373,-5.52705254493941,1.334589768662117,29.282753174204533,-26.427141996905767,3.52,1.67,,,,90.4,2687,6.3,745327,605170,572138,514888,608324,665161,643289,676694,663550,54.17,,,,,,,,65,2,Slider,1,3,1,3,3,1,1,3,Standard,Standard,166,-0.006,-0.057,77.4,8.0,,0.057,,-2,-2,0.042,0.042,35,31,36,31,1,3,2,3,5,1,2.39,-0.13,-0.13,55.0,17.782310376036286,-14.22641953247954,30.031088905582,37.08323085454588,32.88341608828971,matt chapman,ryan pressly
SL,2024-06-11,89.4,-0.49,6.18,"Pressly, Ryan",656305,519151,,called_strike,,,,,8,Called Strike,R,R,R,SF,HOU,S,,,0,0,2024,0.45,0.4,-0.2406464055568844,2.13789966856102,,,,1,9,Bot,,,,,,,-0.3252602801223455,-130.22595443957516,-4.860212168156748,5.227931640530277,24.25978282753186,-26.91427020022052,3.49,1.61,,,,89.8,2647,6.2,745327,605170,572138,514888,608324,665161,643289,676694,663550,54.3,,,,,,,,65,1,Slider,1,3,1,3,3,1,1,3,Standard,Standard,144,-0.005,-0.037,,,,0.037,,-2,-2,0.047,0.047,35,31,36,31,1,3,2,3,5,1,2.42,-0.45,-0.45,60.4,,,,,,matt chapman,ryan pressly
FF,2024-06-11,93.6,-0.43,5.98,"Pressly, Ryan",672275,519151,field_out,hit_into_play,,,,,1,Patrick Bailey lines out sharply to center fielder Jake Meyers.,R,L,R,SF,HOU,X,8,line_drive,2,2,2024,-0.1,1.43,-0.3860121562652996,3.1337998120454724,,,,0,9,Bot,101.81,66.75,,,,,0.317895026116496,-136.26735373860424,-4.779468126798121,-1.2899256859622843,29.196509848602027,-13.481713454730746,3.44,1.6,334,100.4,17,93.8,2454,6.3,745327,605170,572138,514888,608324,665161,643289,676694,663550,54.18,0.458,0.499,0.0,1,0,0,4,64,6,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shade,Standard,198,-0.043,-0.227,66.5,6.7,0.74,0.227,100.4,-2,-2,0.09,0.09,35,25,36,25,1,3,2,1,5,1,1.16,0.1,-0.1,56.6,1.5464655399991545,4.394450874687446,26.911409993822176,42.20437860507579,22.65430343915566,patrick bailey,ryan pressly
FF,2024-06-11,94.2,-0.62,6.0,"Pressly, Ryan",672275,519151,,foul,,,,,4,Foul,R,L,R,SF,HOU,S,,,2,2,2024,0.21,1.24,-0.5493670379133146,2.6043259495049886,,,,0,9,Bot,,,,,,,-0.2699551356631435,-137.20388830092446,-5.936023746521864,2.665911533844016,26.71233425474033,-15.379918318895005,3.44,1.6,263,83.3,27,94.7,2487,6.3,745327,605170,572138,514888,608324,665161,643289,676694,663550,54.22,,,,,,,,64,5,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shade,Standard,197,0.0,0.0,66.4,6.8,,0.0,88.0,-2,-2,0.09,0.09,35,25,36,25,1,3,2,1,5,1,1.3,-0.21,0.21,50.7,-5.586518844310908,17.22566811186943,29.381029985439252,43.95682972468819,15.794139619100749,patrick bailey,ryan pressly
CU,2024-06-11,82.1,-0.63,6.1,"Pressly, Ryan",672275,519151,,ball,,,,,14,Ball,R,L,R,SF,HOU,B,,,1,2,2024,1.3,-1.09,0.4023520079867795,0.3152718471985625,,,,0,9,Bot,,,,,,,-0.1893545303846993,-119.39231397853196,-4.304166288832877,12.304261142936888,27.110686987044243,-41.709855386250695,3.46,1.56,,,,81.1,3303,6.1,745327,605170,572138,514888,608324,665161,643289,676694,663550,54.42,,,,,,,,64,4,Curveball,1,3,1,3,3,1,1,3,Infield shade,Standard,28,0.007,0.04,,,,-0.04,,-2,-2,0.083,0.083,35,25,36,25,1,3,2,1,5,1,4.52,-1.3,1.3,54.8,,,,,,patrick bailey,ryan pressly
CU,2024-06-11,81.1,-0.75,6.08,"Pressly, Ryan",672275,519151,,foul,,,,,5,Foul,R,L,R,SF,HOU,S,,,1,1,2024,1.61,-0.82,0.268363524916275,2.245668784872684,,,,0,9,Bot,,,,,,,-0.8104402099998529,-118.05851716189986,-0.2840790376337703,15.101569188673606,25.78683936929143,-39.9741763514573,3.44,1.6,4,87.6,-31,80.3,3236,6.0,745327,605170,572138,514888,608324,665161,643289,676694,663550,54.46,,,,,,,,64,3,Curveball,1,3,1,3,3,1,1,3,Infield shade,Standard,28,-0.01,-0.056,65.6,8.2,,0.056,88.0,-2,-2,0.093,0.093,35,25,36,25,1,3,2,1,5,1,4.33,-1.61,1.61,51.2,23.80651328437858,-17.812227142375143,27.483284299483103,35.2062049682034,41.83838408033404,patrick bailey,ryan pressly
