pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
CH,2024-07-30,90.2,-1.32,5.56,"Leahy, Kyle",663993,681517,field_out,hit_into_play,,,,,8,"Nathaniel Lowe grounds out, second baseman Nolan Gorman to first baseman Paul Goldschmidt.",R,L,R,STL,TEX,X,4,ground_ball,1,1,2024,-0.97,0.55,0.1024683052605506,1.6422607755966558,,,666969,2,9,Top,153.29,148.86,,,,,5.66193529050612,-131.2282108719535,-5.056815964235568,-12.337939841442756,25.905633276165368,-24.960244848222388,3.43,1.57,10,99.7,-9,91.5,1285,6.9,745149,575929,502671,669357,543063,691026,676475,672279,663457,53.55,0.253,0.229,0.0,1,0,0,2,70,3,Changeup,8,1,1,8,1,8,1,8,Standard,Standard,225,0.001,-0.256,77.4,7.7,0.279,0.256,99.7,7,-7,0.999,0.001,27,28,27,29,1,3,1,1,3,1,2.24,0.97,-0.97,38.6,12.938748618375891,0.0472609683982439,37.708272429586906,37.38304318889073,35.34219279942065,nathaniel lowe,kyle leahy
FF,2024-07-30,95.2,-1.11,5.86,"Leahy, Kyle",663993,681517,,ball,,,,,14,Ball,R,L,R,STL,TEX,B,,,0,1,2024,-0.31,1.15,1.090414538192362,1.7523094668395316,,,666969,2,9,Top,,,,,,,6.586174203660112,-138.4703330246298,-7.896364512584267,-5.289431726520139,27.544752543063204,-15.803808496796208,3.39,1.54,,,,97.2,2152,7.2,745149,575929,502671,669357,543063,691026,676475,672279,663457,53.28,,,,,,,,70,2,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,205,0.0,0.032,,,,-0.032,,7,-7,0.999,0.001,27,28,27,29,1,3,1,1,3,1,1.34,0.31,-0.31,48.7,,,,,,nathaniel lowe,kyle leahy
FF,2024-07-30,94.9,-1.25,5.75,"Leahy, Kyle",663993,681517,,foul,,,,,1,Foul,R,L,R,STL,TEX,S,,,0,0,2024,-0.4,1.2,-0.6484534064509755,3.068347897213262,,,666969,2,9,Top,,,,,,,2.5146197071482224,-138.31112869519615,-4.202278571095446,-5.629435783110321,27.57882317909163,-16.045703184934435,3.43,1.57,294,93.3,46,97.5,2118,7.5,745149,575929,502671,669357,543063,691026,676475,672279,663457,53.05,,,,,,,,70,1,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,205,0.0,-0.047,62.9,7.0,,0.047,93.3,7,-7,0.999,0.001,27,28,27,29,1,3,1,1,3,1,1.31,0.4,-0.4,46.0,1.5420180658803604,21.53396794969149,24.585038541044007,46.99970582750409,19.732789458428726,nathaniel lowe,kyle leahy
SL,2024-07-30,89.3,-1.34,5.92,"Leahy, Kyle",666969,681517,single,hit_into_play,,,,,9,Adolis García singles on a line drive to left fielder Alec Burleson.,R,R,R,STL,TEX,X,7,line_drive,0,1,2024,0.45,0.1,0.3776759833297649,2.092228295540899,,,,2,9,Top,44.58,94.78,,,,,3.3338890267191466,-130.12914442509225,-3.700915912409001,4.437968382961557,25.61463966340206,-30.51685300293904,3.39,1.65,272,99.0,18,90.7,2339,6.9,745149,575929,502671,669357,543063,691026,676475,672279,663457,53.58,0.361,0.39,0.9,1,1,0,4,69,2,Slider,8,1,1,8,1,8,1,8,Standard,Standard,140,0.0,0.373,76.4,8.2,0.585,-0.373,99.0,7,-7,0.999,0.001,27,31,27,31,1,3,1,1,3,1,2.74,-0.45,-0.45,44.9,12.430028103420772,-10.290674452406735,33.07268507964365,37.440208311545234,40.40719067656848,adolis garcía,kyle leahy
SL,2024-07-30,89.4,-1.35,5.83,"Leahy, Kyle",666969,681517,,swinging_strike,,,,,8,Swinging Strike,R,R,R,STL,TEX,S,,,0,0,2024,0.47,0.32,0.250924140761847,1.919168157333739,,,,2,9,Top,,,,,,,3.008504778284504,-130.26783700794363,-4.403615789329317,4.806109793601362,25.50198642445227,-27.88594657708472,3.39,1.65,,,,91.1,2218,7.1,745149,575929,502671,669357,543063,691026,676475,672279,663457,53.42,,,,,,,,69,1,Slider,8,1,1,8,1,8,1,8,Standard,Standard,154,0.0,-0.041,75.1,8.4,,0.041,,7,-7,0.999,0.001,27,31,27,31,1,3,1,1,3,1,2.51,-0.47,-0.47,44.3,20.83242647966263,-26.39877564863658,33.97882812812574,36.8990090833914,46.74085875346917,adolis garcía,kyle leahy
SL,2024-07-30,90.1,-1.53,5.78,"Leahy, Kyle",694671,681517,field_out,hit_into_play,,,,,8,"Wyatt Langford grounds out, third baseman Brandon Crawford to first baseman Paul Goldschmidt.",R,R,R,STL,TEX,X,5,ground_ball,1,1,2024,0.53,0.31,0.1788814017470232,1.7511835606454773,,,,1,9,Top,102.02,171.24,,,,,3.182471085049284,-131.35626969171278,-4.874149125123253,5.634358523559172,23.78083987561887,-27.854106845521724,3.38,1.62,5,99.1,-22,92.4,2293,7.2,745149,575929,502671,669357,543063,691026,676475,672279,663457,53.25,0.126,0.195,0.0,1,0,0,2,68,3,Slider,8,1,1,8,1,8,1,8,Standard,Standard,150,0.0,-0.243,78.6,7.5,0.126,0.243,99.1,7,-7,0.999,0.001,27,22,27,23,1,3,1,1,3,1,2.46,-0.53,-0.53,46.2,6.230634624085308,-6.852778712832757,30.61329426052833,40.27861739696242,36.13012285491317,wyatt langford,kyle leahy
SL,2024-07-30,89.7,-1.45,5.85,"Leahy, Kyle",694671,681517,,foul,,,,,4,Foul,R,R,R,STL,TEX,S,,,1,0,2024,0.49,0.34,-0.2931472203792006,2.4923150246596406,,,,1,9,Top,,,,,,,1.8736306428083265,-130.69964518060274,-3.1473087047825805,5.2589850931584605,25.29112260168675,-27.781872281868534,3.38,1.62,66,66.4,82,91.6,2344,7.2,745149,575929,502671,669357,543063,691026,676475,672279,663457,53.33,,,,,,,,68,2,Slider,8,1,1,8,1,8,1,8,Standard,Standard,165,0.0,-0.051,74.4,7.4,,0.051,88.0,7,-7,0.999,0.001,27,22,27,23,1,3,1,1,3,1,2.46,-0.49,-0.49,43.4,10.87430289675642,-7.4437121179221455,30.38878827617754,34.24366339129731,34.17640928800323,wyatt langford,kyle leahy
SL,2024-07-30,90.7,-1.35,5.81,"Leahy, Kyle",694671,681517,,ball,,,,,14,Ball,R,R,R,STL,TEX,B,,,0,0,2024,0.41,0.23,1.212134001996184,1.4580557635818754,,,,1,9,Top,,,,,,,5.608688422992127,-132.04588888048212,-5.577430558448496,3.770359707803072,25.751423131334334,-28.523840349234803,3.4,1.63,,,,92.2,2301,7.0,745149,575929,502671,669357,543063,691026,676475,672279,663457,53.52,,,,,,,,68,1,Slider,8,1,1,8,1,8,1,8,Standard,Standard,174,0.0,0.039,,,,-0.039,,7,-7,0.999,0.001,27,22,27,23,1,3,1,1,3,1,2.52,-0.41,-0.41,44.7,,,,,,wyatt langford,kyle leahy
FF,2024-07-30,94.4,-1.23,5.89,"Leahy, Kyle",543760,681517,field_out,hit_into_play,,,,,2,Marcus Semien lines out sharply to left fielder Alec Burleson.,R,R,R,STL,TEX,X,7,line_drive,3,2,2024,-0.49,1.41,0.1185313818928516,3.076923683839194,,,,0,9,Top,77.86,88.64,,,,,4.684576830679468,-137.37559907648992,-4.848894175555651,-7.27504699299538,30.22963868554246,-13.43221325747243,3.33,1.62,299,100.0,16,96.0,2232,7.2,745149,575929,502671,669357,543063,691026,676475,672279,663457,53.32,0.576,0.614,0.0,1,0,0,4,67,6,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,202,0.0,-0.333,70.7,7.3,0.863,0.333,100.0,7,-7,0.999,0.001,27,33,27,34,1,3,1,1,3,1,1.15,0.49,0.49,47.3,10.17845432853653,-1.6956221338625186,22.911228265694465,32.959659963994056,30.6558438999251,marcus semien,kyle leahy
SL,2024-07-30,89.3,-1.4,5.83,"Leahy, Kyle",543760,681517,,called_strike,,,,,8,Called Strike,R,R,R,STL,TEX,S,,,3,1,2024,0.5,0.3,-0.0206862286820175,1.808008316216744,,,,0,9,Top,,,,,,,2.3689446618580696,-130.05986051537587,-4.639751029189555,5.241747488493365,25.251860931449663,-28.040383746854666,3.38,1.66,,,,90.9,2293,7.1,745149,575929,502671,669357,543063,691026,676475,672279,663457,53.44,,,,,,,,67,5,Slider,8,1,1,8,1,8,1,8,Standard,Standard,169,0.001,-0.085,,,,0.085,,7,-7,0.998,0.002,27,33,27,34,1,3,1,1,3,1,2.54,-0.5,-0.5,44.2,,,,,,marcus semien,kyle leahy
