pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
SL,2024-08-14,87.9,3.06,5.48,"Hader, Josh",670764,623352,field_out,hit_into_play,,,,,5,"Taylor Walls grounds out, third baseman Alex Bregman to first baseman Zach Dezenzo.",R,R,L,TB,HOU,X,5,ground_ball,0,1,2024,-0.05,0.12,0.1769920956470257,2.229633311776413,,691406,,2,10,Bot,108.46,162.44,,,,,-6.924327457545915,-127.841605059697,-1.9583807080123783,1.0087522828255493,28.836837145486985,-30.632392693136477,3.36,1.52,5,84.8,-25,88.2,2538,6.7,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.78,0.053,0.068,0.0,1,0,0,2,71,2,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,279,-0.148,-0.26,70.3,7.5,0.057,0.26,88.0,-1,-1,0.148,0.148,30,27,30,28,1,3,1,2,4,3,2.85,-0.05,0.05,32.7,11.191861929427692,0.9324068635436962,30.75680644421101,36.98748940127083,30.46589217934066,taylor walls,josh hader
SL,2024-08-14,86.9,3.14,5.4,"Hader, Josh",670764,623352,,swinging_strike,,,,,13,Swinging Strike,R,R,L,TB,HOU,S,,,0,0,2024,0.05,0.26,-0.2485908931309843,0.9009222558387266,,691406,,2,10,Bot,,,,,,,-8.294939122961273,-126.26979681131264,-5.118433862902669,2.297435503023673,26.594770088017363,-28.522003429147645,3.36,1.52,,,,87.4,2465,6.8,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.73,,,,,,,,71,1,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,126,0.0,-0.04,35.6,7.5,,0.04,,-1,-1,0.148,0.148,30,27,30,28,1,3,1,2,4,3,2.78,0.05,-0.05,30.7,9.010715738070422,-0.7881623682512733,38.77919586179742,31.461540800000144,29.047043923986354,taylor walls,josh hader
SI,2024-08-14,97.2,3.01,5.69,"Hader, Josh",676356,623352,strikeout,swinging_strike,,,,,12,Jonny DeLuca strikes out swinging.,R,R,L,TB,HOU,S,2,,3,2,2024,0.8,1.65,0.1034926138472008,3.679626218815976,,691406,,1,10,Bot,,,,,,,-9.67695411287487,-141.2300583339122,-3.603838025582693,12.954560440745928,34.245950305921056,-9.553101963027611,3.14,1.43,,,,97.5,2363,6.7,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.81,,0.0,0.0,1,0,0,,70,7,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,153,-0.15,-0.291,75.4,7.5,,0.291,,-1,-1,0.298,0.298,30,25,30,26,1,3,1,1,4,2,0.79,0.8,-0.8,34.0,7.237534628280431,-17.076434198409608,9.691231765381206,37.60239162298858,38.04609800006199,jonny deluca,josh hader
SL,2024-08-14,86.1,3.28,5.44,"Hader, Josh",676356,623352,,blocked_ball,,,,,14,Ball In Dirt,R,R,L,TB,HOU,B,,,2,2,2024,0.01,0.18,0.3878029821988317,0.3505786162981978,,691406,,1,10,Bot,,,,,,,-6.8898629770825375,-125.1568753680478,-6.224081197083129,1.4104468344650871,24.32959403954492,-29.24777364066549,3.15,1.48,,,,86.3,2397,6.4,745053,605170,701305,514888,608324,665161,676801,676694,643289,54.08,,,,,,,,70,6,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,166,0.022,0.074,,,,-0.074,,-1,-1,0.276,0.276,30,25,30,26,1,3,1,1,4,2,2.89,0.01,-0.01,31.8,,,,,,jonny deluca,josh hader
SI,2024-08-14,96.7,2.87,5.75,"Hader, Josh",676356,623352,,ball,,,,,12,Ball,R,R,L,TB,HOU,B,,,1,2,2024,0.5,1.62,1.5492758592930915,5.0134926352898495,,691406,,1,10,Bot,,,,,,,-4.687208067475149,-140.69046037984555,-0.0588678722645702,7.709830069079605,34.67494936905851,-11.01667906291981,3.26,1.45,,,,97.1,2263,6.7,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.77,,,,,,,,70,5,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,154,0.022,0.018,,,,-0.018,,-1,-1,0.254,0.254,30,25,30,26,1,3,1,1,4,2,0.84,0.5,-0.5,36.1,,,,,,jonny deluca,josh hader
SI,2024-08-14,98.1,2.84,5.69,"Hader, Josh",676356,623352,,foul,,,,,11,Foul,R,R,L,TB,HOU,S,,,1,2,2024,0.64,1.56,-0.3631896140732086,3.4202635427760804,,691406,,1,10,Bot,,,,,,,-10.252615902821844,-142.33649472959658,-4.227160899628695,11.275152321797004,35.95476137538071,-10.287908164942325,3.14,1.43,231,72.5,50,98.6,2353,6.9,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.55,,,,,,,,70,4,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,152,0.0,0.0,74.3,6.7,,0.0,88.0,-1,-1,0.254,0.254,30,25,30,26,1,3,1,1,4,2,0.85,0.64,-0.64,36.9,5.1197643658231655,-2.820994576370584,16.57350381532888,28.92829823805166,26.690690400091327,jonny deluca,josh hader
SI,2024-08-14,97.3,3.11,5.66,"Hader, Josh",676356,623352,,swinging_strike,,,,,2,Swinging Strike,R,R,L,TB,HOU,S,,,1,1,2024,0.68,1.52,-0.2132736142044016,3.12459976678968,,691406,,1,10,Bot,,,,,,,-10.53404578124596,-141.20894021908398,-4.743028118500652,11.687793666686895,34.596883028216574,-10.945301153410531,3.14,1.43,,,,97.5,2240,6.7,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.79,,,,,,,,70,3,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,154,-0.029,-0.062,73.4,7.2,,0.062,,-1,-1,0.283,0.283,30,25,30,26,1,3,1,1,4,2,0.91,0.68,-0.68,34.2,7.191619018356015,-12.042394321778596,19.534713154024992,31.975663517197454,31.43121609697456,jonny deluca,josh hader
SI,2024-08-14,97.5,3.01,5.68,"Hader, Josh",676356,623352,,ball,,,,,11,Ball,R,R,L,TB,HOU,B,,,0,1,2024,0.58,1.51,-0.4343386343188754,4.134331105270307,,691406,,1,10,Bot,,,,,,,-10.658278832839605,-141.4706069160419,-2.038217461014576,10.41217263664862,35.930943278341125,-11.7624716382539,3.17,1.47,,,,97.6,2418,6.8,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.74,,,,,,,,70,2,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,150,0.014,0.021,,,,-0.021,,-1,-1,0.269,0.269,30,25,30,26,1,3,1,1,4,2,0.92,0.58,-0.58,34.7,,,,,,jonny deluca,josh hader
SI,2024-08-14,96.3,2.98,5.69,"Hader, Josh",676356,623352,,swinging_strike,,,,,2,Swinging Strike,R,R,L,TB,HOU,S,,,0,0,2024,0.59,1.57,-0.0589743979311928,3.255209886361035,,691406,,1,10,Bot,,,,,,,-9.47602088911914,-139.9333197883587,-4.447464613013975,9.93700062479579,33.10528218360213,-10.711702198094237,3.14,1.43,,,,96.8,2261,6.7,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.75,,,,,,,,70,1,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,151,-0.021,-0.036,71.7,7.8,,0.036,,-1,-1,0.29,0.29,30,25,30,26,1,3,1,1,4,2,0.9,0.59,-0.59,34.6,13.789728482439996,-17.200315337864108,19.474494881515355,33.693842927153575,28.558145146003675,jonny deluca,josh hader
SL,2024-08-14,86.2,3.38,5.5,"Hader, Josh",666185,623352,field_out,hit_into_play,,,,,8,Dylan Carlson flies out to left fielder Chas McCormick.,R,R,L,TB,HOU,X,7,fly_ball,3,2,2024,-0.17,-0.08,-0.2033865694777459,1.840681306937601,,691406,,0,10,Bot,63.05,129.75,,,,,-8.227983534025187,-125.19424182629264,-2.196942105882851,0.1396102252294386,28.809070925562267,-32.70897000101911,3.43,1.66,264,78.6,41,86.3,2552,6.8,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.74,0.026,0.024,0.0,1,0,0,3,69,8,Slider,1,2,1,2,2,1,1,2,Standard,Standard,332,-0.168,-0.31,64.6,7.5,0.026,0.31,88.0,-1,-1,0.458,0.458,30,25,30,26,1,0,1,1,4,2,3.19,-0.17,0.17,32.7,19.22246178138749,-18.27720071395696,42.21519712851115,32.13185159536037,44.13422308698127,dylan carlson,josh hader
SL,2024-08-14,84.7,3.08,5.48,"Hader, Josh",666185,623352,,blocked_ball,,,,,13,Ball In Dirt,R,R,L,TB,HOU,B,,,2,2,2024,-0.25,-0.13,-1.5590319848292888,-0.6459958596747972,,691406,,0,10,Bot,,,,,,,-10.30489766895085,-122.6816078459664,-7.579578436956588,-0.1873741823316945,27.336405083710808,-31.91440209384107,3.23,1.52,,,,84.1,2521,6.4,745053,605170,701305,514888,608324,665161,676801,676694,643289,54.05,,,,,,,,69,7,Slider,1,2,1,2,2,1,1,2,Standard,Standard,6,0.026,0.063,,,,-0.063,,-1,-1,0.432,0.432,30,25,30,26,1,0,1,1,4,2,3.37,-0.25,0.25,31.6,,,,,,dylan carlson,josh hader
SI,2024-08-14,97.0,2.95,5.73,"Hader, Josh",666185,623352,,foul,,,,,2,Foul,R,R,L,TB,HOU,S,,,2,2,2024,0.65,1.7,0.2361540331842108,3.4116355228652937,,691406,,0,10,Bot,,,,,,,-8.792552108196757,-140.94144477486236,-4.5470338955434055,10.711623445202893,32.81608743670718,-8.677217541192906,3.43,1.66,181,80.7,15,97.3,2317,6.6,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.92,,,,,,,,69,6,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,152,0.0,0.0,67.6,6.9,,0.0,88.0,-1,-1,0.432,0.432,30,25,30,26,1,0,1,1,4,2,0.74,0.65,-0.65,34.2,14.45987754178554,-4.668911425216685,26.79843694873429,36.576912936415646,26.024435312291075,dylan carlson,josh hader
SL,2024-08-14,84.8,2.88,5.53,"Hader, Josh",666185,623352,,ball,,,,,13,Ball,R,R,L,TB,HOU,B,,,1,2,2024,0.0,0.08,-1.2809806090949885,0.9070856648242374,,691406,,0,10,Bot,,,,,,,-9.78108471004972,-123.11922353752948,-4.644123831875429,1.8866946351850664,24.03270890040615,-30.63049086260185,3.19,1.49,,,,85.4,2370,6.7,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.77,,,,,,,,69,5,Slider,1,2,1,2,2,1,1,2,Standard,Standard,18,0.023,0.053,,,,-0.053,,-1,-1,0.409,0.409,30,25,30,26,1,0,1,1,4,2,3.1,0.0,0.0,33.2,,,,,,dylan carlson,josh hader
SI,2024-08-14,96.7,2.79,5.71,"Hader, Josh",666185,623352,,foul,,,,,1,Foul,R,R,L,TB,HOU,S,,,1,2,2024,0.89,1.7,-0.6459429481843112,3.0539721458640234,,691406,,0,10,Bot,,,,,,,-11.231545092257027,-140.3001910985579,-5.353480451990188,14.392451907776996,34.530127094051025,-8.745131031029892,3.43,1.66,229,91.6,67,96.7,2278,6.7,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.83,,,,,,,,69,4,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,151,0.0,0.0,69.8,7.6,,0.0,91.6,-1,-1,0.409,0.409,30,25,30,26,1,0,1,1,4,2,0.77,0.89,-0.89,33.6,28.67422845020874,-33.899910511749106,35.63021337257163,26.745783942475924,44.07990956263068,dylan carlson,josh hader
SI,2024-08-14,96.5,2.65,5.74,"Hader, Josh",666185,623352,,ball,,,,,11,Ball,R,R,L,TB,HOU,B,,,0,2,2024,0.82,1.68,-1.0481233377531791,3.1537537216076035,,691406,,0,10,Bot,,,,,,,-11.749577507853422,-139.86093293833622,-5.093503082708121,13.593190774968802,33.75563108683894,-9.143182658928431,3.28,1.48,,,,96.5,2303,6.7,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.85,,,,,,,,69,3,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,155,0.016,0.031,,,,-0.031,,-1,-1,0.393,0.393,30,25,30,26,1,0,1,1,4,2,0.8,0.82,-0.82,36.0,,,,,,dylan carlson,josh hader
SI,2024-08-14,95.3,2.82,5.76,"Hader, Josh",666185,623352,,swinging_strike,,,,,4,Swinging Strike,R,R,L,TB,HOU,S,,,0,1,2024,0.45,1.68,-0.3355540562280795,2.627588357886729,,691406,,0,10,Bot,,,,,,,-9.303266436679332,-138.31951520278523,-6.363139474062487,7.837548832190115,31.53870785688714,-9.275720603541332,3.43,1.66,,,,95.3,2186,6.5,745053,605170,701305,514888,608324,665161,676801,676694,643289,53.99,,,,,,,,69,2,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,150,-0.031,-0.067,71.4,7.2,,0.067,,-1,-1,0.424,0.424,30,25,30,26,1,0,1,1,4,2,0.84,0.45,-0.45,32.7,12.84376363155816,-7.750572926758406,41.0181588485109,31.52812100142437,23.801079234736783,dylan carlson,josh hader
