pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FF,2024-09-18,93.0,-2.25,5.32,"Yates, Kirby",687462,489446,strikeout,called_strike,,,,,7,Spencer Horwitz called out on strikes.,R,L,R,TEX,TOR,S,2,,2,2,2024,-1.18,1.21,-0.6122031575820863,1.7052520547994074,,,,2,9,Top,,,,,,,6.708982034940821,-135.19702458453557,-6.038251657076762,-15.920513416779908,31.314126623216836,-16.223673978067822,3.6,1.71,,,,92.0,2293,5.9,744959,641680,663993,543760,673962,669701,694671,665750,666969,54.63,,0.0,0.0,1,0,0,,63,7,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,229,0.011,-0.219,,,,0.219,,2,-2,0.989,0.011,37,26,37,27,1,3,1,1,4,1,1.45,1.18,-1.18,24.0,,,,,,spencer horwitz,kirby yates
FF,2024-09-18,92.9,-2.44,5.45,"Yates, Kirby",687462,489446,,foul,,,,,3,Foul,R,L,R,TEX,TOR,S,,,2,2,2024,-0.81,1.35,0.6097264436687869,3.695024196728887,,,,2,9,Top,,,,,,,9.501852770238806,-135.05328294766073,-1.6409234254077991,-11.97161723636014,29.04469682931761,-15.511186572576324,3.6,1.73,,,,92.2,2241,5.9,744959,641680,663993,543760,673962,669701,694671,665750,666969,54.63,,,,,,,,63,6,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,226,0.0,0.0,61.1,5.1,,0.0,,2,-2,0.989,0.011,37,26,37,27,1,3,1,1,4,1,1.3,0.81,-0.81,25.6,-2.9272011199259302,23.982514697043637,35.5033174886113,25.478984092904472,20.00266053082401,spencer horwitz,kirby yates
FF,2024-09-18,93.0,-2.27,5.35,"Yates, Kirby",687462,489446,,foul,,,,,6,Foul,R,L,R,TEX,TOR,S,,,2,2,2024,-1.01,1.34,0.6997258096228212,2.9914853571320954,,,,2,9,Top,,,,,,,9.746614250493195,-135.03423360192505,-3.130527116228964,-14.566481148605924,31.87737042433197,-15.30171855999148,3.6,1.73,139,69.1,72,91.9,2413,5.9,744959,641680,663993,543760,673962,669701,694671,665750,666969,54.57,,,,,,,,63,5,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,229,0.0,0.0,60.7,6.4,,0.0,88.0,2,-2,0.989,0.011,37,26,37,27,1,3,1,1,4,1,1.32,1.01,-1.01,24.5,9.768814387526652,-6.289428466949329,39.00631147276965,24.892546104535164,27.95620785847764,spencer horwitz,kirby yates
FS,2024-09-18,84.4,-2.33,5.3,"Yates, Kirby",687462,489446,,called_strike,,,,,9,Called Strike,R,L,R,TEX,TOR,S,,,2,1,2024,-1.33,0.01,0.3259990467944151,2.0915845849518635,,,,2,9,Top,,,,,,,8.770521497507646,-122.56321168207832,-1.0924009061507345,-15.134869068974252,23.840496524478525,-32.0635375127706,3.67,1.77,,,,83.9,1167,6.0,744959,641680,663993,543760,673962,669701,694671,665750,666969,54.45,,,,,,,,63,4,Split-Finger,2,0,0,2,0,2,0,2,Infield shade,Standard,265,0.003,-0.084,,,,0.084,,2,-2,0.986,0.014,37,26,37,27,1,3,1,1,4,1,3.2,1.33,-1.33,24.4,,,,,,spencer horwitz,kirby yates
FS,2024-09-18,85.3,-2.45,5.25,"Yates, Kirby",687462,489446,,ball,,,,,14,Ball,R,L,R,TEX,TOR,B,,,1,1,2024,-1.33,-0.18,0.0355457413448547,1.307923333685177,,,,2,9,Top,,,,,,,8.484462237380656,-123.91292160923534,-2.5703896407601743,-15.44049564457868,24.77142926361883,-33.739171892862096,3.58,1.72,,,,84.9,1238,6.1,744959,641680,663993,543760,673962,669701,694671,665750,666969,54.36,,,,,,,,63,3,Split-Finger,2,0,0,2,0,2,0,2,Infield shade,Standard,266,-0.003,0.058,,,,-0.058,,2,-2,0.989,0.011,37,26,37,27,1,3,1,1,4,1,3.33,1.33,-1.33,22.7,,,,,,spencer horwitz,kirby yates
FF,2024-09-18,92.8,-2.32,5.28,"Yates, Kirby",687462,489446,,called_strike,,,,,4,Called Strike,R,L,R,TEX,TOR,S,,,1,0,2024,-1.1,1.26,-0.3549373318638211,2.3868555674751164,,,,2,9,Top,,,,,,,7.393374931482987,-134.9101185034356,-4.285369071097148,-15.135675923341632,32.201636293758625,-16.071399449523962,3.72,1.67,,,,91.8,2440,5.9,744959,641680,663993,543760,673962,669701,694671,665750,666969,54.57,,,,,,,,63,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,233,0.003,-0.051,,,,0.051,,2,-2,0.986,0.014,37,26,37,27,1,3,1,1,4,1,1.41,1.1,-1.1,21.8,,,,,,spencer horwitz,kirby yates
FS,2024-09-18,84.7,-2.37,5.28,"Yates, Kirby",687462,489446,,ball,,,,,13,Ball,R,L,R,TEX,TOR,B,,,0,0,2024,-1.14,-0.44,-1.0905152927915442,2.1117736304916725,,,,2,9,Top,,,,,,,5.23180836266238,-123.31619727400664,-0.1596889645102672,-12.642247163502628,25.29243918242962,-36.88957642404731,3.63,1.68,,,,84.2,1017,6.0,744959,641680,663993,543760,673962,669701,694671,665750,666969,54.48,,,,,,,,63,1,Split-Finger,2,0,0,2,0,2,0,2,Infield shade,Standard,269,-0.002,0.04,,,,-0.04,,2,-2,0.988,0.012,37,26,37,27,1,3,1,1,4,1,3.63,1.14,-1.14,23.5,,,,,,spencer horwitz,kirby yates
FS,2024-09-18,86.1,-2.31,5.41,"Yates, Kirby",672386,489446,field_out,hit_into_play,,,,,5,Alejandro Kirk flies out to center fielder Leody Taveras.,R,R,R,TEX,TOR,X,8,fly_ball,0,1,2024,-1.21,0.14,-0.1609627264142363,2.350245635541408,,,,1,9,Top,118.67,92.51,,,,,7.494987237938651,-125.21391127649424,-1.3062471497006884,-14.253971126122655,25.216283160397403,-30.638460741521733,3.05,1.48,266,95.4,51,85.5,1140,5.9,744959,641680,663993,543760,673962,669701,694671,665750,666969,54.58,0.005,0.007,0.0,1,0,0,3,62,2,Split-Finger,2,0,0,2,0,2,0,2,Standard,Standard,259,0.021,-0.219,75.9,7.4,0.011,0.219,95.4,2,-2,0.967,0.033,37,25,37,26,1,3,1,1,4,2,2.94,1.21,1.21,25.0,12.30269634235425,-6.652256306237787,22.05509679034659,39.83225034484104,39.10991226751168,alejandro kirk,kirby yates
FF,2024-09-18,92.9,-2.28,5.32,"Yates, Kirby",672386,489446,,swinging_strike,,,,,2,Swinging Strike,R,R,R,TEX,TOR,S,,,0,0,2024,-1.04,1.36,-0.0031432842270999,3.1126717741671848,,,,1,9,Top,,,,,,,8.04682424498517,-134.9557375651262,-2.7659881670266757,-14.562071293644408,31.79599090953642,-15.232328616392138,3.05,1.48,,,,91.7,2443,5.9,744959,641680,663993,543760,673962,669701,694671,665750,666969,54.63,,,,,,,,62,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,227,0.004,-0.037,70.5,6.4,,0.037,,2,-2,0.963,0.037,37,25,37,26,1,3,1,1,4,2,1.31,1.04,1.04,25.6,5.163466114441513,16.98923278430398,16.88321705945375,40.87097215941364,20.11437031572506,alejandro kirk,kirby yates
FS,2024-09-18,85.7,-2.39,5.32,"Yates, Kirby",665489,489446,strikeout,swinging_strike,,,,,7,Vladimir Guerrero Jr. strikes out swinging.,R,R,R,TEX,TOR,S,2,,2,2,2024,-1.13,0.02,-0.6261362660718537,2.217985735841681,,,,0,9,Top,,,,,,,6.397338843329849,-124.63146366815836,-1.073551718780423,-13.03629405139651,26.06696936806783,-31.975129732235388,3.63,1.69,,,,85.0,1147,6.0,744959,641680,663993,543760,673962,669701,694671,665750,666969,54.51,,0.0,0.0,1,0,0,,61,6,Split-Finger,2,0,0,2,0,2,0,2,Infield shade,Standard,254,0.035,-0.227,77.3,7.6,,0.227,,2,-2,0.928,0.0719999999999999,37,25,37,25,1,3,1,1,4,1,3.1,1.13,1.13,23.8,10.96907002226967,-25.16254891059258,24.829670899786095,29.712531629437983,44.28806567516585,vladimir guerrero,kirby yates
