pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
FF,2024-04-30,96.0,-1.68,5.55,"Winn, Cole",608841,668390,field_out,hit_into_play,,,,,5,"Joey Meneses grounds out, shortstop Corey Seager to first baseman Nathaniel Lowe.",R,R,R,TEX,WSH,X,6,ground_ball,0,1,2024,-0.7,1.32,0.264353087856725,2.448427167126618,,,,2,9,Top,110.45,151.58,,,,,6.843996618596458,-139.53714108709335,-5.684514621152032,-10.705209326178064,31.11375353609264,-13.809123516066814,3.71,1.78,7,96.9,-19,97.4,2518,7.1,745018,641680,663993,543760,669701,608369,694671,665750,666969,53.4,0.166,0.131,0.0,1,0,0,2,69,2,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,205,0.001,-0.215,72.6,7.2,0.191,0.215,96.9,6,-6,0.999,0.001,24,32,25,32,1,3,5,1,3,1,1.16,0.7,0.7,44.9,8.352338241251159,1.2823659114407675,29.424776338043483,39.72410314117724,30.339865961988483,joey meneses,cole winn
FF,2024-04-30,95.8,-1.56,5.77,"Winn, Cole",608841,668390,,called_strike,,,,,4,Called Strike,R,R,R,TEX,WSH,S,,,0,0,2024,-0.67,1.48,-0.3200989985562571,2.948359593162317,,,,2,9,Top,,,,,,,4.852831917114829,-139.44947564222278,-5.239094672455915,-9.876168815920773,31.63587798451704,-11.899301682704497,3.82,1.88,,,,96.9,2535,6.9,745018,641680,663993,543760,669701,608369,694671,665750,666969,53.59,,,,,,,,69,1,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,202,0.0,-0.041,,,,0.041,,6,-6,0.999,0.001,24,32,25,32,1,3,5,1,3,1,1.0,0.67,0.67,52.7,,,,,,joey meneses,cole winn
FF,2024-04-30,95.8,-1.92,5.47,"Winn, Cole",608385,668390,field_out,hit_into_play,,,,,2,Jesse Winker flies out to right fielder Adolis García.,R,L,R,TEX,WSH,X,9,fly_ball,2,2,2024,-0.59,1.48,0.2639295715982914,3.197838944419191,,,,1,9,Top,150.09,117.58,,,,,7.194527036872112,-139.3964485310722,-3.7701766811280497,-9.362954212571738,31.295471650632177,-12.242146276682984,3.52,1.67,214,91.8,57,96.9,2390,6.9,745018,641680,663993,543760,669701,608369,694671,665750,666969,53.57,0.005,0.005,0.0,1,0,0,3,68,7,4-Seam Fastball,7,1,1,7,1,7,1,7,Infield shade,Standard,209,0.0,-0.225,72.8,7.3,0.005,0.225,91.8,6,-6,0.999,0.001,24,30,25,31,1,3,5,1,3,1,1.01,0.59,-0.59,40.8,23.04333814062093,-4.4665518263613135,34.058134572858414,32.75428116991168,35.235786554245685,jesse winker,cole winn
FS,2024-04-30,87.9,-2.19,5.28,"Winn, Cole",608385,668390,,foul,,,,,13,Foul,R,L,R,TEX,WSH,S,,,2,2,2024,-1.07,-0.03,-0.2945537324903553,1.4551618626849594,,,,1,9,Top,,,,,,,6.854709319569756,-127.84947437938212,-3.1275820016713825,-13.126199832349586,25.38509403739275,-32.08153399438292,3.52,1.67,196,75.5,60,88.7,1406,6.7,745018,641680,663993,543760,669701,608369,694671,665750,666969,53.77,,,,,,,,68,6,Split-Finger,7,1,1,7,1,7,1,7,Infield shade,Standard,236,0.0,0.0,63.1,7.4,,0.0,88.0,6,-6,0.999,0.001,24,30,25,31,1,3,5,1,3,1,2.97,1.07,-1.07,37.2,18.901803847676813,10.89666473682892,36.633077587743145,38.86668916511909,30.96211457035463,jesse winker,cole winn
FF,2024-04-30,97.0,-2.05,5.48,"Winn, Cole",608385,668390,,ball,,,,,1,Ball,R,L,R,TEX,WSH,B,,,1,2,2024,-0.63,1.45,-0.4312121502515741,3.5492113504431964,,,,1,9,Top,,,,,,,5.832816228168198,-141.2074831013545,-2.980602343379245,-9.728368410289365,31.42625180110939,-12.247859952554508,3.46,1.73,,,,98.1,2460,6.8,745018,641680,663993,543760,669701,608369,694671,665750,666969,53.66,,,,,,,,68,5,4-Seam Fastball,7,1,1,7,1,7,1,7,Infield shade,Standard,215,0.0,0.043,,,,-0.043,,6,-6,0.999,0.001,24,30,25,31,1,3,5,1,3,1,0.96,0.63,-0.63,37.8,,,,,,jesse winker,cole winn
FF,2024-04-30,96.1,-1.9,5.57,"Winn, Cole",608385,668390,,foul,,,,,3,Foul,R,L,R,TEX,WSH,S,,,1,2,2024,-0.29,1.45,0.3245705626065304,3.606877786556652,,,,1,9,Top,,,,,,,6.633828583777532,-139.76854846399144,-2.920234996004197,-5.313568723818873,31.67949016522057,-12.709582352225349,3.52,1.67,211,75.3,58,97.2,2350,6.9,745018,641680,663993,543760,669701,608369,694671,665750,666969,53.57,,,,,,,,68,4,4-Seam Fastball,7,1,1,7,1,7,1,7,Infield shade,Standard,209,0.0,0.0,60.7,6.1,,0.0,88.0,6,-6,0.999,0.001,24,30,25,31,1,3,5,1,3,1,1.02,0.29,-0.29,41.5,21.90318339602396,19.53183256561721,27.696491981169903,31.65058081279931,24.34983972682738,jesse winker,cole winn
FS,2024-04-30,86.1,-2.27,5.29,"Winn, Cole",608385,668390,,called_strike,,,,,4,Called Strike,R,L,R,TEX,WSH,S,,,1,1,2024,-0.94,-0.13,-0.7456626120943554,2.2611084543288253,,,,1,9,Top,,,,,,,5.58483204640751,-125.38752324252349,-0.7534990157565813,-11.019224178698703,22.806422963913263,-33.596885609640644,3.46,1.68,,,,87.4,1612,6.8,745018,641680,663993,543760,669701,608369,694671,665750,666969,53.65,,,,,,,,68,3,Split-Finger,7,1,1,7,1,7,1,7,Standard,Standard,244,0.0,-0.061,,,,0.061,,6,-6,0.999,0.001,24,30,25,31,1,3,5,1,3,1,3.17,0.94,-0.94,35.3,,,,,,jesse winker,cole winn
FS,2024-04-30,85.3,-2.21,5.29,"Winn, Cole",608385,668390,,ball,,,,,13,Ball,R,L,R,TEX,WSH,B,,,0,1,2024,-0.92,0.04,-1.441932477259263,1.5528159332096774,,,,1,9,Top,,,,,,,3.689140226111049,-124.20346316187536,-2.6359632437702167,-10.282565347615504,23.2911683907157,-31.470328394582687,3.51,1.73,,,,86.4,1614,6.8,745018,641680,663993,543760,669701,608369,694671,665750,666969,53.71,,,,,,,,68,2,Split-Finger,7,1,1,7,1,7,1,7,Standard,Standard,237,0.0,0.024,,,,-0.024,,6,-6,0.999,0.001,24,30,25,31,1,3,5,1,3,1,3.07,0.92,-0.92,38.2,,,,,,jesse winker,cole winn
CU,2024-04-30,80.7,-2.07,5.61,"Winn, Cole",608385,668390,,called_strike,,,,,1,Called Strike,R,L,R,TEX,WSH,S,,,0,0,2024,0.54,-1.16,-0.7258172681606894,3.1472771294973976,,,,1,9,Top,,,,,,,1.9574335882580427,-117.50959048136713,3.3925474507106443,4.629508307653857,22.76627182566383,-43.7558003957795,3.51,1.55,,,,80.9,2688,6.5,745018,641680,663993,543760,669701,608369,694671,665750,666969,54.04,,,,,,,,68,1,Curveball,7,1,1,7,1,7,1,7,Standard,Standard,35,0.0,-0.037,,,,0.037,,6,-6,0.999,0.001,24,30,25,31,1,3,5,1,3,1,4.66,-0.54,0.54,41.1,,,,,,jesse winker,cole winn
FS,2024-04-30,86.8,-2.19,5.26,"Winn, Cole",682928,668390,field_out,hit_into_play,,,,,7,"CJ Abrams grounds out, first baseman Nathaniel Lowe to pitcher Cole Winn.",R,L,R,TEX,WSH,X,3,ground_ball,0,2,2024,-1.08,0.21,-0.3338598764176697,1.670472154212073,,,,0,9,Top,152.02,160.71,,,,,6.710493248808636,-126.3130448107852,-2.876096846262009,-12.920732792243273,24.247433117155413,-29.562197654926475,3.54,1.62,10,92.3,-10,87.7,1749,6.8,745018,641680,663993,543760,669701,608369,694671,665750,666969,53.75,0.205,0.216,0.0,1,0,0,2,67,3,Split-Finger,7,1,1,7,1,7,1,7,Infield shade,Standard,239,0.001,-0.163,71.2,8.0,0.231,0.163,92.3,6,-6,0.998,0.002,24,23,25,24,1,3,5,1,3,1,2.8,1.08,-1.08,35.4,16.86544065936582,-10.184834457790105,28.478809025679254,45.42757570260366,38.18527564218081,cj abrams,cole winn
